#time;x;y;z
738445018311730;1.521053e-01;2.831587e-01;-4.973203e-02
738445219984438;-1.237612e-01;-1.500666e-01;-3.428478e-03
738445423610480;-6.028013e-01;-2.426270e+00;-3.055622e-01
738445625533709;-9.206952e-01;-3.529003e+00;-3.760560e-01
738445829182042;-2.052505e-01;2.210948e-01;5.264356e-01
738446030413657;-2.785543e-01;1.924186e+00;-1.164316e+00
738446234201990;-1.784458e+00;2.059187e+00;-1.814398e+00
738446435552511;2.305159e+00;-6.417417e+00;3.778735e-01
738446638465688;3.625360e+00;-1.044983e+00;1.134124e+00
738446840431209;2.188728e+00;-1.285542e+00;-7.617560e-01
738447043823813;2.668256e-01;8.379461e-01;2.536180e+00
738447246002928;2.206444e-01;-3.889146e-01;2.115050e+00
738447449302667;4.373791e-02;-6.100248e-02;9.544074e-01
738447651073449;2.626719e-01;-7.353972e-01;1.337420e+00
738447853657042;8.686496e-02;-4.496346e-01;7.712702e-01
738448055984595;-4.533838e-01;-5.831696e-01;3.938780e-01
738448258672095;-1.501505e-01;-1.600504e+00;2.360305e-01
738448460887042;-1.221730e-02;-2.562860e+00;-5.143558e-01
738448664076001;-4.346913e-01;-3.067801e+00;-2.648786e-01
738448866486574;-9.578360e-01;-3.438840e+00;-1.393146e+00
738449069462511;3.941299e-01;-2.235192e+00;-1.184596e+00
738449271481365;-1.216843e-01;-1.643631e+00;-2.354349e-01
738449473883553;7.012727e-02;-1.135636e+00;-9.994511e-02
738449676416990;-1.173715e+00;-1.360556e+00;-2.283489e-01
738449878871053;-3.204597e-01;2.940548e-02;-5.133784e-01
738450081343136;1.431378e+00;4.217028e-01;-1.460043e-01
738450284322303;-7.305942e-02;2.594571e-01;-2.441092e-01
738450486969490;4.618138e-02;-1.473788e-01;2.530125e-01
738450689616626;-1.537424e+00;-6.800529e-01;-6.185030e-04
738450891890063;7.930246e-01;1.177465e+00;1.079932e-01
738451094106053;7.706670e-01;2.070449e-01;1.331609e-01
738451296850584;-1.488066e-01;-1.995238e-02;-4.276817e-02
738451499066626;-1.706756e-01;-1.464014e-01;2.658407e-01
738451701799178;-1.651534e+00;-7.082747e-01;-2.317697e-01
738451904565324;1.476094e+00;4.394179e-01;-1.692172e-01
738452107451834;4.720762e-01;5.271381e-01;1.255862e-01
738452309767772;-1.486845e-01;7.790816e-02;-4.679988e-02
738452512298397;-5.494117e-01;2.096106e-01;3.713981e-01
738452714326053;-1.145005e+00;-2.955746e-01;-1.390405e-01
738452917285324;1.374568e+00;1.008377e+00;2.100077e-01
738453119260688;2.757444e-01;1.263841e+00;3.969857e-02
738453322256105;-2.433685e-01;1.301226e+00;2.184376e-01
738453524807667;7.806850e-02;7.788143e-01;5.459833e-01
738453727935324;-1.435899e+00;5.616137e-02;3.505599e-02
738453929917147;-4.123338e-01;3.898157e-01;7.508672e-01
738454132705324;4.665785e-01;1.772813e+00;6.064588e-01
738454334543865;6.323671e-01;2.601757e+00;3.412215e-01
738454537719178;6.918653e-01;2.692165e+00;1.249753e-01
738454739453657;1.191186e-01;1.525413e+00;5.176391e-01
738454942714647;-2.215240e+00;3.751549e-01;2.088393e-02
738455145050376;-9.436639e-01;8.717879e-01;1.446451e-01
738455348419595;1.198639e+00;5.057577e-01;2.370079e-01
738455550066782;-2.539975e-01;4.687619e-02;-1.329318e-01
738455753114178;3.951073e-01;-3.984441e-01;3.197190e-01
738455954761209;-1.335472e+00;-8.966654e-01;-7.673226e-02
738456158152459;2.923599e-01;8.215748e-01;-1.383074e-01
738456359645220;7.053043e-01;-5.291617e-03;1.480660e-01
738456563171365;-9.370665e-02;3.717341e-01;-7.086795e-02
738456765291105;-2.053727e-01;-1.391932e-01;3.114112e-01
738456968902303;-1.655321e+00;-9.101045e-01;-2.018374e-01
738457170215949;1.463021e+00;7.080762e-01;-1.518686e-01
738457373523032;1.016479e-01;5.064908e-01;7.011963e-02
738457574978605;3.354869e-01;1.148043e-01;1.831830e-02
738457778586626;-2.581514e-01;-2.105193e-02;3.143433e-01
738457979836417;-1.724715e+00;-1.103993e+00;-1.092303e-01
738458183628292;1.153313e+00;9.046525e-01;-2.695435e-03
738458385531417;5.054295e-01;2.735070e-01;-3.763690e-02
738458589384647;-4.789182e-02;3.568290e-01;-1.402622e-01
738458790364334;-6.422632e-01;4.044764e-01;4.714577e-01
738458993531886;-1.280739e+00;-4.265439e-01;-1.158276e-01
738459195196470;1.335350e+00;1.159872e+00;5.574675e-01
738459398621313;4.999317e-01;1.361457e+00;-7.013492e-02
738459600028084;1.224173e-01;3.319035e+00;2.707276e-01
738459803870324;4.164876e-01;2.081178e+00;3.136103e-01
738460005551470;-1.992396e+00;9.503452e-01;-2.030591e-01
738460209534282;-1.705778e+00;3.271410e-01;2.688950e-01
738460410771313;1.556484e-01;1.434272e+00;5.430510e-01
738460613749126;-3.384190e-02;1.170012e+00;2.702389e-01
738460815629803;5.198459e-01;1.978064e+00;1.189888e-01
738461018813761;-3.748266e-01;3.480326e-01;4.572857e-01
738461220485220;-9.830036e-01;-6.133463e-01;3.734750e-01
738461424112303;-4.326144e-01;4.579882e-01;-7.722095e-02
738461626034959;1.534737e+00;2.135201e-01;3.340132e-01
738461829683709;-2.828304e-01;1.116279e-01;-3.898080e-02
738462031178917;3.323105e-02;1.410716e-01;2.779358e-01
738462233966678;-1.372857e+00;-9.617836e-01;2.332205e-01
738462436062615;8.076853e-01;9.044082e-01;-2.618243e-01
738462639004855;9.550259e-01;-3.216967e-02;8.856774e-02
738462840942355;-1.065348e-01;2.465068e-01;-1.876653e-01
738463044353657;-2.797760e-01;1.013654e-01;2.674289e-01
738463246517563;-1.557461e+00;-1.044739e+00;-2.356793e-01
738463449832876;1.307251e+00;6.566414e-01;1.398804e-01
738463651587667;3.701836e-02;1.729587e-01;-1.341535e-01
738463854185063;1.303585e-01;2.280587e-01;-2.529743e-02
738464056496626;-8.570433e-01;1.193248e-01;3.490404e-01
738464259196938;-7.892372e-01;5.408443e-02;-1.818010e-01
738464461398605;1.336694e+00;1.236474e+00;6.762196e-01
738464664594542;-2.932151e-01;1.142523e+00;-3.336085e-02
738464867000011;1.193630e-01;1.328470e+00;1.481881e-01
