#time;x;y;z
737960626012543;-4.507607e-01;4.461403e+00;8.301635e+00
737960645291189;-4.148492e-01;4.473373e+00;8.536257e+00
737960664569835;-7.979050e-01;4.518861e+00;8.617656e+00
737960683848481;-1.061256e+00;4.518861e+00;8.296846e+00
737960703127126;-1.070832e+00;4.312968e+00;8.155595e+00
737960722405772;-8.697279e-01;4.339304e+00;8.332758e+00
737960741684418;-6.566532e-01;4.351274e+00;8.624839e+00
737960760963064;-8.050873e-01;4.370427e+00;7.518765e+00
737960780241710;-1.494588e+00;4.528438e+00;6.936999e+00
737960799520356;-1.180961e+00;4.583502e+00;8.402186e+00
737960818798949;-1.262360e+00;4.822911e+00;8.502739e+00
737960838077439;-1.264754e+00;4.710389e+00;8.213053e+00
737960857355929;-9.391567e-01;4.585896e+00;8.505134e+00
737960876634418;-9.774624e-01;4.581107e+00;8.928888e+00
737960895912908;-9.630978e-01;4.590684e+00;8.964801e+00
737960915191397;-6.758059e-01;4.521255e+00;8.840306e+00
737960934469887;7.115290e-02;4.281845e+00;8.598502e+00
737960953748376;7.438946e-01;3.961036e+00;8.524285e+00
737960973026866;6.577071e-01;3.733597e+00;8.095742e+00
737960992305356;9.090874e-01;3.520522e+00;7.820422e+00
737961011496501;1.007246e+00;3.295477e+00;8.217841e+00
737961030696501;1.220320e+00;3.194925e+00;8.509921e+00
737961049992595;1.653652e+00;2.831022e+00;9.161117e+00
737961069288689;1.718293e+00;2.732863e+00;1.010439e+01
737961088584783;1.452548e+00;3.046490e+00;1.042759e+01
737961107880876;9.833045e-01;3.221259e+00;1.036295e+01
737961127176970;9.593636e-01;3.254777e+00;1.002299e+01
737961146473064;1.263414e+00;3.709656e+00;9.407708e+00
737961165769158;1.440577e+00;3.532492e+00;9.529807e+00
737961185065251;1.538735e+00;3.556433e+00;8.778061e+00
737961204361345;1.548312e+00;3.513339e+00;8.742148e+00
737961223648637;1.502824e+00;3.537280e+00;9.046200e+00
737961242927179;1.402272e+00;3.647409e+00;9.158723e+00
737961262205720;2.175566e+00;3.465458e+00;8.928888e+00
737961281484262;2.764514e+00;3.252383e+00;8.667932e+00
737961300762804;3.090111e+00;3.113525e+00;8.624839e+00
737961320041345;2.989559e+00;2.989032e+00;8.799607e+00
737961339319887;3.137993e+00;3.036914e+00;8.756514e+00
737961358598429;3.260092e+00;2.977062e+00;8.701449e+00
737961377876970;3.614419e+00;2.929179e+00;8.617656e+00
737961397155512;3.813129e+00;2.905239e+00;8.646384e+00
737961416351085;3.710183e+00;2.998608e+00;8.576957e+00
737961435554991;3.628784e+00;3.039308e+00;8.466827e+00
737961454850147;3.580902e+00;3.204501e+00;8.483586e+00
737961474145304;3.688636e+00;3.202107e+00;8.222630e+00
737961493440460;3.980716e+00;3.044096e+00;7.947308e+00
737961512735616;4.169850e+00;3.015367e+00;7.691140e+00
737961532030772;4.095633e+00;3.096766e+00;7.889850e+00
737961551325929;4.153091e+00;3.261959e+00;8.265723e+00
737961570621085;4.112391e+00;3.293082e+00;8.191506e+00
737961589916241;4.246461e+00;3.273930e+00;8.138836e+00
737961609211397;4.478688e+00;3.293082e+00;8.090954e+00
737961628498272;4.509812e+00;3.235624e+00;7.873091e+00
737961647776918;4.545723e+00;3.211683e+00;7.614529e+00
737961667055564;4.622334e+00;3.343358e+00;7.499612e+00
737961686334210;4.629517e+00;3.259565e+00;7.564253e+00
737961705612856;5.010179e+00;3.120707e+00;8.114895e+00
737961724891501;5.321412e+00;3.242807e+00;8.354304e+00
737961744170147;5.319017e+00;3.247595e+00;8.078983e+00
737961763448793;4.540936e+00;3.386452e+00;7.396666e+00
737961782727439;3.758065e+00;3.625862e+00;7.051916e+00
737961802006085;4.351801e+00;3.556433e+00;7.564253e+00
737961821284679;4.624728e+00;3.374482e+00;7.679170e+00
737961840563168;4.289555e+00;3.477428e+00;7.054309e+00
737961859841658;3.619207e+00;2.866933e+00;7.554677e+00
737961879120147;4.981450e+00;2.926785e+00;7.396666e+00
737961898398637;5.737985e+00;2.883692e+00;7.379907e+00
737961917677126;5.694891e+00;2.416842e+00;8.141230e+00
737961936955616;6.544796e+00;2.608370e+00;8.248964e+00
737961956234106;6.420303e+00;2.773563e+00;7.078250e+00
737961975512595;6.207228e+00;2.957909e+00;8.378245e+00
737961994791085;6.659712e+00;2.898056e+00;9.024652e+00
737962013994679;7.270208e+00;3.070431e+00;8.105318e+00
737962033205876;7.298937e+00;3.254777e+00;7.597770e+00
737962052499470;6.415514e+00;3.276324e+00;6.697589e+00
737962071793064;5.338170e+00;3.582769e+00;6.577884e+00
737962091086658;7.461735e+00;3.712050e+00;7.667199e+00
737962110380251;8.462469e+00;3.999342e+00;6.245104e+00
737962129673845;8.917349e+00;3.144648e+00;6.242710e+00
737962148967439;9.518268e+00;2.850174e+00;6.728713e+00
737962168261033;1.074165e+01;2.651464e+00;6.477332e+00
737962187554626;1.101697e+01;2.433601e+00;6.170887e+00
737962206848220;1.124202e+01;2.306714e+00;5.646580e+00
737962226134262;1.034184e+01;2.404872e+00;5.043267e+00
737962245412751;9.051417e+00;2.589217e+00;4.516565e+00
737962264691241;9.374621e+00;2.601188e+00;4.442348e+00
737962283969731;9.108876e+00;2.783139e+00;4.404043e+00
737962303248220;8.239819e+00;3.027338e+00;4.882862e+00
737962322526710;7.679598e+00;3.192530e+00;4.755975e+00
737962341805199;7.236691e+00;2.969879e+00;3.549349e+00
737962361083689;4.375742e+00;2.718499e+00;3.355427e+00
737962380362179;4.131545e+00;3.582769e+00;3.487103e+00
737962399640668;5.978546e-01;2.965091e+00;3.206993e+00
737962418919210;-9.152158e-01;3.915548e+00;4.633876e+00
737962438197856;-8.026932e-01;2.546124e+00;5.306618e+00
737962457476501;6.157649e-02;-4.273470e-01;7.818027e+00
737962476755147;9.904868e-01;1.104876e+00;1.037732e+01
737962496033793;1.739840e+00;2.573652e-01;1.219923e+01
737962515312439;6.194015e-01;-3.124302e-01;9.893710e+00
737962534591085;-4.376385e-02;2.741240e-01;6.996851e+00
737962553869731;5.020907e-01;1.571726e+00;1.001342e+01
737962573148376;1.830816e+00;1.562149e+00;1.362850e+01
737962592427022;1.404666e+00;2.956709e-01;1.004214e+01
737962611638012;1.453699e-01;1.137193e-01;6.149341e+00
737962630855720;-1.164202e+00;-3.603122e-01;6.247499e+00
737962650147804;-3.022023e+00;-2.328261e+00;5.775861e+00
737962669439887;-3.476902e+00;-3.805420e+00;6.340868e+00
737962688731970;-1.137867e+00;-4.396763e+00;7.121345e+00
737962708024054;-6.686236e-01;-3.194925e+00;8.493162e+00
737962727316137;8.906305e-03;-3.496582e+00;5.218036e+00
737962746608220;-3.597849e-01;-4.138200e+00;3.748059e+00
737962765900304;3.464742e-01;-4.025678e+00;2.749720e+00
737962785192387;2.139654e+00;-3.996948e+00;2.225413e+00
737962804484470;6.985310e+00;-4.183688e+00;5.641791e+00
737962823769783;1.021016e+01;-3.908366e+00;8.737361e+00
737962843048272;1.301365e+01;-2.871722e+00;1.019776e+01
737962862326762;1.232176e+01;-3.197319e+00;1.193588e+01
737962881605251;1.515158e+01;-2.088851e+00;1.213698e+01
737962900883741;1.443814e+01;-1.787195e+00;9.235333e+00
737962920162231;1.663592e+01;2.992588e-02;6.257075e+00
737962939440720;1.856317e+01;2.737652e+00;5.538845e+00
737962958719210;1.719854e+01;3.692897e+00;5.122272e+00
737962977997699;1.821603e+01;4.181293e+00;-1.035350e+00
737962997276189;2.614289e+01;9.374093e+00;-1.021193e+01
737963016490460;2.058379e+01;4.772635e+00;-6.050987e+00
737963035711241;1.268087e+01;-2.888480e+00;1.748987e+00
737963055002699;1.143833e+01;-4.947406e+00;1.291714e+00
737963074294158;1.052618e+01;-6.005597e+00;7.195244e-01
737963093585616;9.992298e+00;-5.222727e+00;-3.147262e-01
737963112877074;8.548656e+00;-2.378538e+00;9.852694e-01
737963132168533;8.610904e+00;-1.416110e+00;1.832780e+00
737963151459991;9.927657e+00;-1.471174e+00;1.555065e+00
737963170751449;1.047351e+01;-2.385720e+00;1.009210e+00
737963190042908;1.116301e+01;-5.483684e+00;1.401525e-01
737963209334366;1.059801e+01;-4.846853e+00;1.066669e+00
737963228619366;1.031790e+01;-3.719233e+00;-3.793669e-01
737963247897856;1.097148e+01;-2.342626e+00;4.992674e-01
737963267176345;1.000906e+01;-2.548519e+00;2.448064e+00
737963286454835;9.343497e+00;-3.147043e+00;-5.182247e-01
737963305733324;9.693036e+00;-3.788662e+00;-9.108568e-01
737963325011814;9.527843e+00;-4.061589e+00;-1.823008e+00
737963344290304;1.167535e+01;3.603115e-01;-3.407902e+00
737963363568793;1.115104e+01;-1.017495e-01;2.230201e+00
737963382847283;1.124681e+01;-1.215005e+00;2.759296e+00
737963402125772;1.047830e+01;-2.395296e+00;3.309939e+00
737963421404314;1.046154e+01;-2.287562e+00;4.899621e+00
737963440682960;8.981988e+00;-3.010580e+00;1.054730e+01
737963459961606;1.117259e+01;-3.084796e+00;1.429406e+01
737963479240251;1.002582e+01;-2.874116e+00;1.256313e+01
737963498518897;7.057133e+00;-8.630729e-01;6.649707e+00
737963517797543;4.126756e+00;9.588361e-01;3.051377e+00
737963537076189;1.203562e+00;-3.698886e-01;-1.238848e+00
737963556354835;6.451426e+00;-2.017028e+00;-4.602557e+00
737963575633481;1.034902e+01;-2.282773e+00;-5.708631e+00
737963594912126;1.033944e+01;-3.937096e+00;-1.906802e+00
737963614132751;1.175196e+01;-3.941884e+00;-1.042532e+00
737963633359158;1.221642e+01;3.034520e+00;9.996340e-01
737963652649314;6.310174e+00;-6.547863e-01;1.155250e+00
737963671939470;1.229782e+01;-1.988299e+00;6.917846e+00
737963691229626;1.307350e+01;-5.002469e+00;9.987081e+00
737963710519783;7.670022e+00;-8.624741e+00;5.809379e+00
737963729809939;6.489731e+00;-7.339110e+00;-3.575489e+00
737963749100095;7.660446e+00;-5.888286e+00;-4.920972e+00
737963768390251;8.029138e+00;-4.339304e+00;-2.897959e+00
737963787680408;8.656391e+00;-3.836544e+00;1.454513e+00
737963806970564;4.715704e+00;-6.065450e+00;-8.581866e-01
737963826254887;6.772235e+00;-4.372822e+00;3.699860e-01
737963845533376;1.216135e+01;-1.964358e+00;1.569430e+00
737963864811866;5.398023e+00;-4.413522e+00;2.493551e+00
