#time;x;y;z
738322603862886;-1.190537e+00;3.561221e+00;8.646384e+00
738322624012990;-9.846446e-01;3.494187e+00;8.603292e+00
738322644163094;-9.918270e-01;3.496581e+00;8.603292e+00
738322664313199;-1.082803e+00;3.522916e+00;8.612867e+00
738322684463303;-1.116320e+00;3.537280e+00;8.715814e+00
738322704613407;-1.283907e+00;3.563616e+00;8.371063e+00
738322724763511;-1.556834e+00;3.592345e+00;8.124472e+00
738322744913615;-1.496982e+00;3.656986e+00;8.785242e+00
738322765063719;-1.535287e+00;3.762326e+00;9.187451e+00
738322785213824;-1.458676e+00;3.783872e+00;9.261668e+00
738322805487782;-1.293483e+00;3.767114e+00;9.683029e+00
738322825885542;-1.159414e+00;3.721626e+00;9.469954e+00
738322846283303;-2.078748e+00;3.714444e+00;9.182664e+00
738322866681063;-1.892008e+00;3.728809e+00;9.347856e+00
738322887078824;-1.923131e+00;3.609103e+00;8.450068e+00
738322907476584;-1.633446e+00;3.661773e+00;7.530735e+00
738322927874344;-1.123502e+00;3.494187e+00;6.951364e+00
738322948272105;-6.542590e-01;2.589217e+00;7.389483e+00
738322968669865;8.228999e-01;1.981116e+00;9.153934e+00
738322988967678;1.842786e+00;1.954781e+00;1.018100e+01
738323009165594;2.209083e+00;1.904505e+00;1.064546e+01
738323029363511;1.842786e+00;2.230103e+00;1.038929e+01
738323049561428;1.275385e+00;2.905239e+00;9.788369e+00
738323069759344;1.648864e+00;2.998608e+00;8.794820e+00
738323089957261;2.110925e+00;2.945938e+00;8.045466e+00
738323110155178;1.481277e+00;3.297871e+00;9.953563e+00
738323130353094;1.639288e+00;3.544463e+00;1.009721e+01
738323150551011;5.050879e+00;3.132678e+00;7.609741e+00
738323170748928;8.088989e+00;2.900450e+00;7.571435e+00
738323190828824;8.282912e+00;2.139127e+00;5.591516e+00
738323211021949;9.829499e+00;2.639493e+00;4.559659e+00
738323231446428;9.807954e+00;2.345019e+00;5.799802e+00
738323251870907;5.733196e+00;2.907633e+00;6.561125e+00
738323272295386;6.918275e+00;2.306714e+00;6.769412e+00
738323292719865;6.662107e+00;2.455148e+00;6.814900e+00
738323313144344;7.964497e+00;3.242807e+00;4.442348e+00
738323333568824;6.911093e+00;2.579641e+00;5.354499e+00
738323353993303;8.067443e+00;1.957175e+00;6.288198e+00
738323374417782;7.500041e+00;2.570065e+00;7.492430e+00
738323394682730;7.444977e+00;2.924391e+00;6.664072e+00
738323414788147;7.655657e+00;3.137466e+00;5.900354e+00
738323434893563;7.705934e+00;3.003397e+00;4.777522e+00
738323454998980;7.938161e+00;2.570065e+00;4.073657e+00
738323475104397;9.240551e+00;2.131944e+00;4.339402e+00
