#time;x;y;z
1962.000000;3.646042;-7.361618;4.748322
2104.000000;3.915375;-7.494492;4.563370
2261.000000;3.921967;-7.547180;4.526245
2427.000000;3.940521;-7.469955;4.453827
2585.000000;3.883057;-7.565125;4.532242
2747.000000;4.090759;-7.131775;4.786621
2918.000000;4.199692;-6.813354;4.867432
3073.000000;3.880066;-6.451828;4.304794
3235.000000;4.109909;-7.723145;3.508118
3396.000000;3.873489;-8.765228;2.665955
3558.000000;2.811050;-9.916824;1.514343
3729.000000;1.418823;-9.825256;0.845764
3883.000000;1.351791;-9.716324;0.407028
4046.000000;1.430801;-9.557709;0.903824
4208.000000;1.643280;-8.503067;1.716049
4369.000000;1.805481;-9.090240;0.711685
4538.000000;1.971283;-9.740265;0.468079
4694.000000;1.635498;-9.758224;-0.044281
4855.000000;1.378723;-9.309311;-0.210083
5018.000000;1.545120;-9.751038;0.054489
5179.000000;1.536148;-10.679977;0.534515
5346.000000;1.121353;-8.469543;1.389847
5504.000000;1.196762;-8.734695;2.066208
5666.000000;1.577438;-8.632935;2.035095
5827.000000;2.244232;-9.339233;1.906403
5990.000000;2.221481;-9.695969;1.225845
6156.000000;2.463287;-9.721115;0.765564
6315.000000;2.945724;-9.143509;0.695526
6477.000000;3.571213;-8.240891;-0.316025
6639.000000;3.947113;-8.633545;-0.921158
6800.000000;3.410202;-8.788559;-1.352722
6966.000000;3.779510;-9.326660;-1.713654
7125.000000;3.152832;-9.087845;-1.316803
7286.000000;3.071426;-8.729904;-1.317993
7448.000000;3.095367;-8.975922;-1.252762
7611.000000;3.150436;-9.058517;-1.186920
7778.000000;3.260574;-9.075272;-1.118088
7935.000000;3.293488;-8.987289;-1.134842
8097.000000;3.367111;-8.933411;-1.035492
8259.000000;3.286301;-8.903488;-0.995987
8421.000000;3.408401;-8.898102;-0.964859
8589.000000;3.473053;-8.908875;-0.926544
8745.000000;3.455688;-8.915451;-0.948700
8907.000000;3.461075;-8.919052;-0.981613
9069.000000;3.499985;-8.907074;-0.966644
9231.000000;3.468857;-8.870575;-0.951080
9397.000000;3.464081;-8.901093;-0.949890
9556.000000;3.514343;-8.889114;-0.930740
9717.000000;3.417389;-8.913666;-0.914581
9879.000000;3.436539;-8.902893;-0.896027
10041.000000;3.455704;-8.978317;-0.841553
10207.000000;3.449112;-8.923248;-0.835571
10366.000000;3.413193;-8.925629;-0.821808
10528.000000;3.470062;-8.923248;-0.796661
10690.000000;3.435333;-8.922043;-0.799057
10852.000000;3.420975;-8.935806;-0.752975
11017.000000;3.437744;-8.947189;-0.765549
11176.000000;3.373093;-8.962143;-0.757751
11338.000000;3.391647;-8.950775;-0.736801
11500.000000;3.376694;-8.951965;-0.750580
11662.000000;3.382675;-8.938797;-0.745789
11828.000000;3.362915;-8.960342;-0.776321
11986.000000;3.409012;-8.908875;-0.811630
12148.000000;3.312637;-8.980698;-0.746994
12310.000000;3.391647;-8.929230;-0.865494
12473.000000;3.592758;-8.935211;-1.362289
12637.000000;3.292892;-8.827469;-1.999146
12797.000000;3.526917;-8.534790;-3.108261
12959.000000;3.725037;-7.940414;-4.457397
13121.000000;3.441925;-7.328705;-5.465958
13283.000000;2.863129;-6.939041;-6.050735
13447.000000;2.718277;-6.752899;-7.135315
13607.000000;2.528549;-5.831726;-8.297699
13769.000000;2.512970;-4.508926;-9.369110
13931.000000;2.222076;-2.960480;-9.102142
14092.000000;3.097153;-1.682571;-10.752350
14257.000000;2.914597;0.884018;-10.235809
14417.000000;1.555298;2.910706;-8.310867
14579.000000;0.695770;4.902084;-5.376770
14741.000000;0.913651;4.651291;-6.242874
14903.000000;1.414032;3.014862;-8.496414
15067.000000;1.742645;0.601501;-10.290878
15227.000000;1.852783;-1.758591;-10.269913
15389.000000;1.854568;-4.184509;-9.346954
15552.000000;1.633698;-6.035843;-8.626892
15714.000000;1.527771;-6.739136;-7.836823
15878.000000;1.891678;-6.904938;-9.250580
16038.000000;2.061066;-5.327148;-9.699509
16200.000000;1.835419;-3.426147;-9.427155
16362.000000;1.505615;-0.997833;-9.158417
16524.000000;1.373337;0.733185;-9.236221
16688.000000;1.522964;2.475555;-9.557037
16848.000000;1.542130;3.994675;-9.225449
17010.000000;1.305099;4.749451;-7.280167
17172.000000;1.496033;4.454956;-6.618164
17334.000000;1.751617;3.197403;-8.340790
17498.000000;1.932373;1.361664;-9.566620
17658.000000;2.226273;-1.001419;-9.723450
17820.000000;2.259186;-3.310638;-9.222458
17982.000000;2.563858;-5.900558;-8.197144
18144.000000;2.789505;-8.154694;-6.743866
18308.000000;2.905624;-8.427048;-5.784378
18469.000000;2.897247;-8.073898;-6.421844
18631.000000;2.833801;-7.613022;-7.111374
18792.000000;2.523743;-6.197433;-8.582001
18954.000000;1.933578;-3.401611;-9.847946
19119.000000;1.375732;-0.399292;-9.485229
19279.000000;0.985474;1.865646;-8.856735
19441.000000;0.723907;3.628967;-8.367126
19603.000000;0.812500;4.837433;-6.885712
19765.000000;0.840027;4.058731;-7.046738
19929.000000;1.382919;2.139771;-8.568237
20089.000000;1.973083;-0.761414;-10.008957
20251.000000;2.530334;-3.645828;-9.886246
20413.000000;2.703918;-5.315781;-9.026138
20575.000000;2.408234;-6.594879;-7.791916
20739.000000;2.383682;-7.243118;-6.512817
20899.000000;2.544098;-7.909286;-6.816284
21061.000000;2.414215;-7.379578;-7.983459
21223.000000;2.303482;-5.965210;-8.995010
21385.000000;2.032333;-3.440521;-9.389450
21549.000000;1.724686;-1.097198;-9.258972
21709.000000;1.618149;1.031265;-9.569626
21872.000000;1.651657;3.174072;-8.851959
22033.000000;1.469101;4.603409;-7.978668
22196.000000;1.360168;5.359970;-6.637909
22360.000000;1.320068;4.512421;-6.790558
22520.000000;1.654053;2.450424;-8.662216
22682.000000;2.183777;0.350098;-9.876068
22844.000000;2.366928;-2.277542;-9.959869
23006.000000;2.287323;-4.740570;-9.020157
23169.000000;2.526154;-6.440445;-8.044510
23330.000000;2.372314;-7.444824;-6.654678
23492.000000;2.326828;-8.090652;-6.987473
23654.000000;2.255600;-7.603439;-8.182175
23816.000000;2.036530;-6.243530;-8.857941
23980.000000;1.683990;-4.163574;-9.624680
24140.000000;1.359573;-0.788940;-9.416992
24302.000000;1.142288;1.219803;-8.900436
24464.000000;1.021988;3.355423;-8.660416
24626.000000;1.060898;4.651291;-6.859375
24792.000000;1.100998;4.035385;-6.776184
24950.000000;1.619339;1.775848;-8.844772
25113.000000;2.013779;-0.794327;-10.122681
25275.000000;2.239441;-3.310028;-9.397232
25437.000000;2.323227;-5.997528;-9.147049
25600.000000;2.293320;-6.991714;-7.205338
25761.000000;2.544098;-7.667480;-6.880325
25923.000000;2.535721;-7.903900;-7.688980
26085.000000;2.123917;-6.927078;-8.200134
26247.000000;1.959320;-4.936905;-9.265549
26411.000000;1.672607;-2.172195;-9.785095
26571.000000;1.502625;0.580551;-9.532516
26733.000000;1.350586;3.011871;-8.865128
26895.000000;1.120148;4.691986;-7.134109
27057.000000;0.895096;4.943390;-5.925049
27221.000000;1.018402;4.199387;-7.797302
27381.000000;1.544525;2.042801;-9.199112
27543.000000;2.353165;-0.351395;-10.065216
27705.000000;2.524353;-3.211273;-9.976624
27867.000000;2.585403;-4.784866;-8.880692
28031.000000;2.691345;-6.239944;-7.904449
28191.000000;2.691345;-6.850464;-7.688370
28353.000000;2.541702;-6.742722;-8.685562
28515.000000;2.460312;-5.568359;-9.106934
28677.000000;2.080826;-3.684723;-9.727631
28841.000000;1.765381;-0.854782;-9.750977
29002.000000;1.571457;1.331726;-9.491806
29163.000000;1.393097;3.520630;-8.356354
29326.000000;1.358368;4.688400;-6.099823
29487.000000;1.290146;4.118576;-6.612778
29652.000000;2.045502;2.508484;-9.008179
29812.000000;2.437561;0.033463;-10.054443
29974.000000;2.524948;-2.614517;-9.819214
30137.000000;2.908615;-4.539459;-9.060852
30298.000000;2.938538;-5.855667;-7.908646
30462.000000;2.834396;-7.211395;-6.731293
30622.000000;2.664413;-8.075089;-6.953354
30785.000000;2.567444;-7.323914;-8.444336
30946.000000;2.495026;-5.879013;-8.850159
31109.000000;2.083221;-3.706284;-9.424164
31272.000000;1.828827;-0.820663;-9.359528
31433.000000;1.625336;1.686066;-9.393051
31595.000000;1.424820;3.927643;-8.501801
31755.000000;1.257813;5.155869;-6.782761
31918.000000;1.326050;5.307297;-5.653305
32083.000000;1.569061;3.650513;-7.615952
32243.000000;2.240036;1.097702;-9.799454
32405.000000;2.537521;-1.279755;-10.095139
32567.000000;2.712891;-3.875671;-9.464264
32729.000000;2.635086;-5.840714;-8.286926
32893.000000;2.469879;-7.141953;-7.412445
33053.000000;2.546494;-7.642944;-7.617142
33215.000000;2.465088;-7.066544;-8.447937
33376.000000;2.331009;-5.816162;-9.272141
33539.000000;1.866547;-3.149628;-9.461288
33703.000000;1.444565;-0.411850;-9.418182
33863.000000;1.112976;2.002701;-9.218872
34026.000000;0.799332;4.377762;-8.368927
34187.000000;0.501846;5.303711;-6.318298
34349.000000;0.418045;4.700378;-6.634918
34513.000000;0.898682;3.315323;-8.001419
34674.000000;1.387100;0.260925;-9.676163
34836.000000;1.955734;-2.783310;-10.499161
34998.000000;2.199936;-4.938690;-9.328400
35160.000000;1.900665;-6.642166;-7.905655
35323.000000;1.806686;-7.640549;-6.953354
35484.000000;1.875519;-7.797974;-7.354980
