#time;x;y;z
166054.000000;3.105545;-8.962143;1.474838
166216.000000;2.096375;-9.444580;1.690918
166379.000000;0.826859;-10.132919;0.849365
166544.000000;3.344360;-10.797302;-1.425735
166703.000000;1.901260;-9.242859;-2.420532
166867.000000;2.961288;-7.288605;-2.540833
167027.000000;3.037308;-8.526398;-3.167526
167189.000000;3.132477;-8.489288;-3.272278
167354.000000;3.165390;-8.758636;-4.335892
167514.000000;2.832596;-8.565903;-6.627747
167675.000000;2.056290;-8.695801;-9.097351
167837.000000;1.433792;-5.572556;-10.631454
167999.000000;0.310303;-0.915237;-8.526947
168164.000000;0.013428;3.198608;-3.551788
168324.000000;-0.390594;3.044189;-5.516830
168487.000000;0.667038;-0.819473;-9.776718
168647.000000;2.288528;-5.361862;-9.967056
168810.000000;2.483643;-8.749069;-7.629715
168974.000000;3.256973;-8.692200;-8.000214
169134.000000;3.350952;-8.500656;-10.045471
169295.000000;2.126312;-7.893738;-9.315842
169457.000000;0.829849;-3.143036;-8.395859
169618.000000;0.409073;2.146362;-6.177628
169783.000000;0.124161;3.960556;-4.676468
169944.000000;0.468933;1.678894;-6.971313
170106.000000;0.890305;-2.875488;-9.777908
170268.000000;1.704941;-7.369995;-9.369095
170429.000000;2.309464;-9.130341;-7.541122
170594.000000;2.232254;-8.617981;-8.536530
170754.000000;2.152649;-8.940002;-9.621689
170915.000000;1.746826;-7.019852;-9.887451
171078.000000;0.441986;-2.346375;-9.598938
171240.000000;-0.103302;2.646149;-7.024582
171403.000000;0.187607;5.401276;-2.231995
171564.000000;-0.144592;3.854614;-4.719559
171728.000000;0.806503;-0.961929;-9.839569
171888.000000;2.009598;-6.130997;-10.190918
172050.000000;2.743423;-8.854996;-7.907440
172214.000000;2.578812;-8.720932;-7.929596
172374.000000;2.603958;-8.682617;-9.395447
172536.000000;2.053894;-7.912888;-10.011948
172698.000000;0.656281;-2.918579;-9.597748
172859.000000;0.289963;2.076920;-7.994232
173024.000000;-0.014114;5.097214;-2.658157
