#time;x;y;z
1957.000000;-0.027496;0.005447;-0.035736
2099.000000;-0.019394;-0.084671;0.041809
2302.000000;-0.028137;-0.128342;0.043518
2504.000000;0.010208;-0.094681;0.061829
2707.000000;-0.000854;-0.085526;0.019226
2911.000000;0.005096;-0.042694;-0.114365
3114.000000;0.010422;-0.022675;-0.172729
3316.000000;-0.521561;-0.368240;0.242081
3518.000000;-0.574402;-0.440674;0.724426
3721.000000;-0.181534;-0.702728;1.247269
3924.000000;0.170441;-0.618362;0.469406
4127.000000;0.207504;-0.738098;-0.384506
4328.000000;-0.131683;-0.378464;-0.415192
4532.000000;-0.124863;-0.214844;0.157715
4734.000000;-0.190903;0.290939;0.337738
4935.000000;-0.124649;0.672089;0.141510
5138.000000;0.104385;0.577713;-0.049591
5341.000000;0.317017;0.378937;-0.159531
5544.000000;0.138901;0.169083;-0.375137
5746.000000;-0.277191;0.106018;-0.349579
5949.000000;-0.137436;-0.484787;-0.012100
6152.000000;0.203033;-1.035736;0.171127
6355.000000;0.436111;-1.566238;-0.403900
6558.000000;0.161057;-1.592438;-0.316116
6760.000000;0.289749;-1.512756;-0.029144
6963.000000;0.295288;-0.915787;0.233337
7165.000000;0.273972;-0.426834;0.047134
7368.000000;0.145294;-0.166061;-0.052795
7570.000000;-0.024933;0.086838;0.000473
7773.000000;0.014481;0.237045;0.038818
7975.000000;-0.109726;0.161835;-0.030838
8178.000000;-0.110580;0.296478;-0.026581
8380.000000;-0.114212;0.283478;-0.041916
8583.000000;0.007660;0.080231;0.000687
8786.000000;0.013626;-0.002853;-0.000595
8988.000000;0.017670;0.019302;0.003891
9190.000000;0.002762;0.012482;-0.007828
9394.000000;-0.026855;0.049988;-0.008255
9596.000000;-0.004913;0.022278;0.010910
9799.000000;-0.003845;0.039536;0.008362
10001.000000;-0.001495;0.037415;0.012619
10204.000000;-0.028137;0.079590;0.009430
10406.000000;0.014694;0.044861;-0.001862
10609.000000;0.007019;-0.009033;0.004318
10810.000000;0.030670;-0.001358;0.010483
11014.000000;0.005951;0.009506;0.010696
11217.000000;-0.043472;0.092163;0.005157
11418.000000;-0.023453;0.045074;-0.001862
11622.000000;-0.010880;0.033356;0.004303
11824.000000;-0.018967;0.028030;-0.000381
12027.000000;-0.001923;-0.015640;0.006012
12229.000000;0.056656;-0.044617;0.019867
12432.000000;0.026199;-0.274292;-0.014862
12635.000000;0.025986;-0.397217;-0.087936
