#time;x;y;z
166136.000000;0.010986;-0.081314;0.035736
166339.000000;0.117096;-0.354675;0.095825
166541.000000;0.596039;-3.065979;0.536407
166744.000000;1.225174;-4.893127;0.095612
166946.000000;1.513870;-5.044174;-0.803909
167150.000000;0.913483;-3.045532;-0.365448
167352.000000;0.054459;-1.612961;0.064499
167554.000000;-0.185226;-0.397705;0.129059
167756.000000;-1.544510;-0.440521;0.013580
167959.000000;-2.968338;-0.610123;0.093689
168162.000000;-3.078491;-0.750732;0.234085
168363.000000;-0.787537;-0.195724;0.088364
168566.000000;2.332840;0.633041;0.168472
168771.000000;2.763000;0.788788;0.224503
168972.000000;2.349243;0.616638;-0.032654
169174.000000;0.499954;0.216309;0.061096
169376.000000;-2.571213;-0.592224;0.113495
169579.000000;-3.221863;-0.941635;0.338486
169781.000000;-2.115051;-0.120316;0.325058
169983.000000;0.437317;0.209915;-0.036057
170187.000000;2.510742;0.113403;-0.257645
170390.000000;2.786652;0.531204;-0.406342
170592.000000;2.149185;0.320709;-0.116165
170799.000000;-0.000305;-0.210648;0.055771
170996.000000;-2.737808;-0.455017;-0.010712
171199.000000;-3.244034;-0.561966;-0.085281
171402.000000;-2.672623;-0.856201;0.175278
171604.000000;-0.306244;0.222702;0.030197
171807.000000;2.871017;0.658188;0.092621
172013.000000;3.229370;0.693558;-0.066742
172212.000000;2.473038;0.494568;0.094330
172414.000000;0.611801;0.088272;0.111160
172617.000000;-2.396515;-0.603516;-0.002609
172820.000000;-3.410843;-0.653793;0.052780
173022.000000;-3.053345;-0.374481;-0.047989
173224.000000;-0.918549;0.241455;-0.196701
173427.000000;2.464935;0.203522;0.363205
173629.000000;3.061264;0.541000;0.162506
173833.000000;2.748505;0.431915;-0.006668
174034.000000;1.526657;0.206085;0.107956
174237.000000;-1.353180;-0.406235;0.174866
174439.000000;-3.265976;-0.688736;0.328262
174643.000000;-2.809830;-0.487396;0.440323
174846.000000;-1.928635;-0.103058;0.098587
175048.000000;1.298676;0.477295;-0.287674
175250.000000;3.001617;0.560608;-0.110413
175453.000000;2.638153;0.832672;-0.274246
175654.000000;2.062271;0.557831;0.046387
175857.000000;-0.691864;-0.437973;0.079620
176059.000000;-3.232529;-1.135300;-0.071426
176262.000000;-3.335648;-0.680847;0.164001
176464.000000;-2.001297;-0.459702;0.033173
176667.000000;1.349823;0.487320;-0.002823
176870.000000;2.616623;0.287689;-0.043091
177072.000000;2.643692;0.508835;-0.225677
177274.000000;2.369919;0.571045;-0.206924
177478.000000;0.427719;-0.048508;0.123093
177680.000000;-2.829636;-0.708130;0.268173
177883.000000;-3.179901;-0.740936;0.384933
178084.000000;-2.594009;-0.602234;0.437561
178288.000000;0.225327;0.406998;-0.015823
178491.000000;2.816254;0.715927;0.174866
178693.000000;2.748291;0.461746;-0.250610
178895.000000;2.400375;0.241455;-0.124268
179098.000000;-0.822678;-0.343597;0.166122
179299.000000;-3.183945;-0.570709;0.256668
179503.000000;-3.217819;-0.609909;0.358307
179704.000000;-1.765869;-0.090912;0.115631
179908.000000;1.663223;0.505219;-0.135773
180111.000000;2.945160;0.769394;-0.114044
180313.000000;2.804764;0.867828;0.022949
180515.000000;2.158997;0.559967;0.165695
180718.000000;-0.646912;-0.597336;0.141830
180920.000000;-3.290054;-0.839996;0.263916
181123.000000;-3.384430;-0.418579;0.361282
181325.000000;-2.205185;-0.018890;0.156967
181528.000000;1.280792;0.477722;0.148651
181731.000000;2.964767;0.344360;0.166977
181933.000000;2.870377;0.344360;0.051498
182135.000000;2.100189;0.215042;0.057465
182338.000000;-0.737457;-0.447342;0.137573
182541.000000;-3.192047;-0.759262;0.340408
182743.000000;-3.183319;-0.640793;0.345520
182944.000000;-2.031326;-0.500824;0.319092
183148.000000;1.277588;0.464523;-0.114899
183351.000000;2.857376;0.459198;-0.360550
183553.000000;2.642410;0.726791;-0.255295
183755.000000;1.916321;0.538452;-0.107437
183958.000000;-0.176926;-0.240891;0.086227
184161.000000;-2.886307;-0.658051;0.204895
184363.000000;-3.320511;-0.762878;0.436279
184565.000000;-2.241821;-0.188705;0.225784
184768.000000;0.999557;0.449188;-0.147491
184972.000000;2.775574;0.357788;-0.204590
185173.000000;2.744247;0.629852;-0.292145
185376.000000;2.057587;0.510330;-0.214172
185578.000000;-0.049301;-0.370438;0.079407
185782.000000;-2.848816;-0.720490;0.407516
185983.000000;-3.206314;-0.629929;0.587967
186185.000000;-2.295731;-0.303955;0.404312
186388.000000;0.361465;0.446198;-0.286392
186592.000000;2.873566;0.814987;-0.065048
186794.000000;2.759583;0.732330;-0.034576
186996.000000;2.537582;0.394211;-0.079514
187199.000000;-0.202057;-0.522339;0.184875
187402.000000;-3.329895;-0.912231;0.435852
187604.000000;-3.499908;-0.665512;0.595642
187806.000000;-2.003632;-0.091766;0.213852
188008.000000;1.825989;0.780899;0.021881
188211.000000;3.207001;0.681198;-0.005386
188414.000000;2.781952;0.588943;-0.003036
188617.000000;1.860504;0.318146;0.080688
188819.000000;-1.403885;-0.287979;0.270309
189021.000000;-3.534851;-0.590302;0.304184
189224.000000;-3.386139;-0.640167;0.461838
189425.000000;-1.364044;0.057159;-0.049911
189629.000000;2.255081;0.580429;-0.015823
189831.000000;3.079376;0.404221;-0.113403
190034.000000;2.746811;0.230164;-0.153458
190236.000000;1.334473;-0.065338;-0.021576
190439.000000;-1.561340;-0.340179;0.164841
190641.000000;-3.484787;-0.623123;0.357880
190844.000000;-3.156250;-0.367462;0.309723
191046.000000;-0.992920;0.021362;0.054276
191249.000000;2.052475;0.369492;0.041916
191451.000000;3.176315;0.575729;-0.077820
191654.000000;3.116455;0.425110;-0.197342
191857.000000;1.641907;0.293228;0.006760
192059.000000;-1.044464;-0.394928;0.126495
192262.000000;-3.392319;-0.582855;0.310364
192464.000000;-3.468796;-0.219803;0.333801
192666.000000;-2.610199;-0.328888;0.100723
192870.000000;0.769882;0.107651;-0.176895
193073.000000;3.467987;0.434692;-0.093582
193274.000000;3.467560;0.652222;-0.230789
193477.000000;2.280853;0.537170;-0.013260
193680.000000;-0.736389;-0.400482;0.202774
193883.000000;-3.279190;-0.441162;0.273285
194084.000000;-3.372498;-0.235794;0.226425
194286.000000;-2.363907;-0.235779;0.015076
194490.000000;0.937775;0.465576;-0.103821
194691.000000;3.195709;0.466446;0.028275
194895.000000;2.946442;0.580841;-0.007935
195096.000000;2.311111;0.296631;0.119034
195300.000000;-0.074020;-0.241745;0.125854
195502.000000;-2.999222;-0.569855;0.147369
195705.000000;-3.573624;-0.299484;0.218323
195907.000000;-2.714600;-0.234299;0.069397
196110.000000;0.200821;0.417007;0.031906
196313.000000;3.134125;0.503296;0.178268
196515.000000;3.465866;0.867401;0.376831
196717.000000;2.863983;0.371841;0.409424
196920.000000;-0.166473;-0.283081;0.169952
197123.000000;-3.166473;-0.961868;-0.076111
197325.000000;-3.520142;-0.496567;-0.032654
197527.000000;-2.649826;-0.618011;-0.090393
197730.000000;0.120285;0.408279;-0.155380
197932.000000;2.964340;0.701645;0.103912
198136.000000;3.018875;0.321136;0.155258
198337.000000;2.726349;0.249756;-0.092514
198541.000000;0.385544;0.018814;-0.013687
198744.000000;-2.513046;-0.733261;0.020615
198945.000000;-3.532074;-0.718781;0.303116
199147.000000;-3.170731;-0.648682;0.283096
