#time;x;y;z
1094258193974221;-1.307848e+00;1.071359e+00;9.812310e+00
1094258214381200;-9.056394e-01;1.356256e+00;9.127599e+00
1094258234788179;-2.382798e+00;2.122368e+00;4.097598e+00
1094258255195158;-1.578381e+00;4.632578e-01;1.441137e+01
1094258275602137;-5.106131e-01;-1.274858e+00;1.184969e+01
1094258296009116;-5.872242e-01;-2.693365e-01;8.780455e+00
1094258316416096;-1.602322e+00;1.035447e+00;1.008763e+01
1094258336823075;-2.725155e+00;1.095300e+00;9.256881e+00
1094258357230054;-2.801766e+00;9.420775e-01;8.581744e+00
1094258377529481;-2.688091e-01;1.155152e+00;1.012594e+01
1094258397721304;-4.196373e-01;9.588361e-01;1.007806e+01
1094258417913127;-9.295804e-01;8.918014e-01;1.004214e+01
1094258438104950;-9.176099e-01;1.061782e+00;9.654301e+00
1094258458296773;-7.069292e-01;1.392168e+00;9.247304e+00
1094258478488596;-7.763581e-01;1.538208e+00;9.431649e+00
1094258498680419;-1.360518e+00;1.236552e+00;9.625571e+00
1094258518872241;-1.822579e+00;9.420775e-01;9.659088e+00
1094258539064064;-1.710057e+00;1.006718e+00;9.618388e+00
1094258559255887;-1.358124e+00;1.171911e+00;9.589660e+00
1094258579337033;-1.164202e+00;1.203034e+00;9.515443e+00
1094258599538752;-1.161808e+00;1.150364e+00;9.501079e+00
1094258619971669;-1.305454e+00;1.064177e+00;9.577689e+00
1094258640404585;-1.417977e+00;9.468658e-01;9.594447e+00
1094258660837502;-1.245601e+00;9.181365e-01;9.580084e+00
1094258681270419;-1.006191e+00;9.420775e-01;9.496289e+00
1094258701703335;-9.822505e-01;9.420775e-01;9.194633e+00
1094258722136252;-1.051679e+00;9.732008e-01;9.067746e+00
1094258742569169;-1.168990e+00;1.059388e+00;8.809183e+00
1094258763002085;-1.379671e+00;1.147970e+00;8.430917e+00
1094258783268231;-2.852042e+00;3.698878e-01;8.155595e+00
1094258803367554;-2.947806e+00;6.452093e-01;8.514709e+00
1094258823466877;-2.569538e+00;4.536813e-01;8.296846e+00
1094258843566200;-2.504897e+00;5.183220e-01;6.886723e+00
1094258863665523;-2.488139e+00;7.673082e-01;6.817294e+00
1094258883764846;-2.375616e+00;9.779890e-01;6.850811e+00
1094258903864169;-2.140994e+00;6.954854e-01;6.405509e+00
1094258923963491;-1.683722e+00;3.315823e-01;6.594643e+00
1094258944062814;-1.109138e+00;2.286360e-01;7.157256e+00
1094258964162137;-1.106744e+00;6.356329e-01;7.861121e+00
1094258984390783;-2.212817e+00;1.157546e+00;8.165171e+00
1094259004748804;-3.685188e+00;1.033053e+00;8.064619e+00
1094259025106825;-4.932514e+00;6.452093e-01;8.342335e+00
1094259045464846;-5.837483e+00;8.271607e-01;8.706238e+00
1094259065822866;-6.491072e+00;1.382592e+00;8.457252e+00
1094259086180887;-6.634717e+00;2.072092e+00;7.801269e+00
1094259106538908;-6.811881e+00;2.752016e+00;7.418212e+00
1094259126896929;-7.453500e+00;3.515733e+00;6.757442e+00
1094259147254950;-8.624213e+00;3.707261e+00;6.324110e+00
