#time;x;y;z
1094383885265636;-1.352836e-01;-1.422933e-01;1.782351e-01
1094384086309907;-1.244102e-01;1.482110e-02;-5.059487e-02
1094384289446261;3.649153e-02;2.475606e-01;-1.049618e-01
1094384491171782;3.649153e-02;7.737365e-02;5.183644e-01
1094384694570115;6.885285e-01;3.836513e+00;2.365620e+00
1094384896033136;-1.112301e+00;7.811287e+00;7.704072e-01
1094385099859594;-1.702396e+00;4.215127e+00;-9.178241e-03
1094385301582303;-3.305160e-01;7.048539e-01;-1.775326e-01
1094385505552928;-5.911109e-01;4.738249e-01;-1.645822e-01
1094385706830636;-6.024730e-01;-4.089969e-01;6.241510e-02
1094385909799178;-5.303910e-01;1.197577e+00;-4.078286e-01
1094386111717459;-3.632583e-01;1.526467e+00;-7.715374e-01
1094386314894022;-6.696682e-01;1.307533e+00;-4.309192e-01
1094386516602876;-2.383976e-01;9.274530e-01;-1.427133e-01
1094386720229022;4.330649e-01;1.124518e+00;-2.322660e-01
1094386922179647;2.232673e+00;1.345895e+00;-4.763676e-01
1094387125829959;3.308894e+00;7.683839e-01;-5.301237e-01
1094387327353709;2.634255e+00;6.281294e-01;-4.763676e-01
1094387530143969;1.056414e-01;1.132925e-01;1.206916e-01
1094387732265949;-2.206970e+00;-5.606135e-01;5.349801e-01
1094387935211834;-2.290170e+00;-6.545644e-01;4.714502e-01
1094388137173605;-1.841795e+00;-6.454015e-01;4.394408e-01
1094388340592563;-1.535263e+00;-5.727086e-01;3.875173e-01
1094388542776730;-2.391307e-01;-9.733368e-02;8.196278e-02
1094388746100949;1.673120e+00;4.870195e-01;-4.285980e-01
1094388947876834;2.393330e+00;5.466399e-01;-6.003732e-01
1094389150483397;2.014838e+00;4.012541e-01;-3.932900e-01
1094389352815272;1.484241e+00;3.019276e-01;-2.650084e-01
1094389555524855;-4.107836e-01;-1.331303e-01;2.649627e-02
1094389757745844;-1.855112e+00;-4.779024e-01;5.384009e-01
1094389960953553;-1.851325e+00;-4.026439e-01;5.783514e-01
1094390163375376;-1.701174e+00;-3.228649e-01;4.599659e-01
1094390366369230;-1.549435e+00;-1.102840e-01;3.265530e-01
1094390568399438;-2.898324e-01;3.192532e-02;7.707585e-02
1094390770819282;1.598717e+00;5.613007e-01;-3.579820e-01
1094390973364074;2.353257e+00;7.290441e-01;-5.793594e-01
