#time;x;y;z
1094959201985263;7.337243e+00;2.905239e+00;7.358360e+00
1094959222429117;7.049951e+00;2.594006e+00;8.289664e+00
1094959242872971;7.006857e+00;2.917209e+00;7.801269e+00
1094959263316825;7.363577e+00;3.434335e+00;6.510849e+00
1094959283760679;7.576653e+00;4.265086e+00;5.237189e+00
1094959304204534;6.815329e+00;4.502103e+00;4.717669e+00
1094959324648388;6.070765e+00;3.920336e+00;5.364076e+00
1094959345092242;5.922330e+00;3.467851e+00;6.156522e+00
1094959365536096;6.393968e+00;3.436729e+00;6.245104e+00
1094959385802242;6.882364e+00;3.831754e+00;5.854867e+00
1094959405890627;6.322145e+00;3.788661e+00;5.826137e+00
1094959425979013;6.413120e+00;3.925124e+00;5.768679e+00
1094959446067398;6.800964e+00;3.980189e+00;5.826137e+00
1094959466155784;6.985310e+00;4.011312e+00;5.895566e+00
1094959486244169;6.982916e+00;3.953853e+00;5.780649e+00
1094959506332554;6.841664e+00;3.814996e+00;5.792620e+00
1094959526420940;6.851241e+00;3.803025e+00;5.871625e+00
1094959546509325;7.107409e+00;3.987371e+00;5.900354e+00
1094959566597711;7.258237e+00;4.231569e+00;5.816561e+00
1094959586825836;7.037981e+00;4.315363e+00;5.708826e+00
1094959607193700;5.740378e+00;4.233964e+00;5.232400e+00
1094959627561565;4.349407e+00;4.497314e+00;5.162971e+00
1094959647929429;4.026204e+00;5.079080e+00;4.957079e+00
1094959668297294;4.210550e+00;5.737457e+00;5.462234e+00
1094959688665159;4.311102e+00;5.627329e+00;5.701644e+00
1094959709033023;4.617547e+00;6.041508e+00;6.034423e+00
1094959729400888;4.588817e+00;5.656058e+00;5.663339e+00
1094959749768752;5.876842e+00;5.617752e+00;5.823743e+00
1094959769936929;1.075841e+01;5.737457e+00;5.830925e+00
1094959790000211;1.168253e+01;4.731936e+00;5.692068e+00
1094959810158232;1.193631e+01;3.566009e+00;5.945842e+00
1094959830316252;1.165380e+01;2.421631e+00;6.027242e+00
1094959850474273;1.051900e+01;1.523844e+00;6.010482e+00
1094959870632294;8.970018e+00;5.255042e-01;5.569969e+00
1094959890790315;7.643687e+00;-7.170329e-01;4.602753e+00
1094959910948336;6.777023e+00;-1.966753e+00;3.154323e+00
1094959931106357;6.389179e+00;-2.931574e+00;1.684346e+00
1094959951264377;6.161740e+00;-4.085530e+00;3.747742e-01
1094959971422398;5.970212e+00;-5.751822e+00;-7.743932e-01
1094959991697815;5.534486e+00;-7.628796e+00;-9.419801e-01
1094960012090575;4.844986e+00;-9.113137e+00;7.889533e-01
1094960032483336;4.904839e+00;-9.316636e+00;1.280254e+01
1094960052876096;5.453087e+00;-1.034849e+01;9.230229e-01
1094960073268857;4.639093e+00;-1.024555e+01;-6.386160e+00
1094960093661617;5.268742e+00;-7.130823e+00;6.453074e-01
1094960114054377;6.125828e+00;-5.476501e+00;-1.408829e+00
1094960134447138;6.381997e+00;-5.129357e+00;-4.679168e+00
1094960154839898;6.200046e+00;-5.000075e+00;-2.962600e+00
1094960175138596;6.963763e+00;-5.244273e+00;-4.710291e+00
1094960195343232;7.772968e+00;-4.147777e+00;-5.490767e+00
1094960215547867;7.875915e+00;-3.070432e+00;-6.501078e+00
1094960235752502;7.004463e+00;-2.572459e+00;-5.907341e+00
1094960255957138;5.668556e+00;-2.673012e+00;-6.733305e+00
1094960276161773;5.134672e+00;-2.182221e+00;-7.578422e+00
1094960296366409;5.244801e+00;-1.186276e+00;-6.900892e+00
1094960316571044;5.388446e+00;-4.058001e-01;-6.161116e+00
1094960336775679;5.323805e+00;1.639954e-01;-5.936070e+00
1094960356980315;5.443511e+00;2.908826e-01;-7.789103e+00
1094960377061200;5.860084e+00;7.074559e-01;-9.441031e+00
1094960397249846;6.025277e+00;8.678604e-01;-1.135152e+01
1094960417669898;5.620674e+00;4.800164e-01;-1.441118e+01
1094960438089950;4.777951e+00;1.215005e+00;-1.523954e+01
1094960458510002;4.744433e+00;2.684982e+00;-1.625464e+01
1094960478930054;5.113125e+00;3.321812e+00;-1.755463e+01
1094960499350107;3.789188e+00;2.445571e+00;-1.610620e+01
1094960519770159;2.386246e+00;1.121635e+00;-1.422683e+01
1094960540190211;2.635233e+00;6.069037e-01;-1.322850e+01
1094960560610263;3.918469e+00;7.194263e-01;-1.230916e+01
1094960580876409;5.862478e+00;1.253310e+00;-1.096847e+01
1094960600988700;5.680526e+00;1.578908e+00;-1.014490e+01
1094960621100992;5.065243e+00;1.466385e+00;-1.015926e+01
1094960641213284;4.591211e+00;1.006718e+00;-1.046092e+01
1094960661325575;4.315890e+00;7.744906e-01;-9.850423e+00
1094960681437867;4.449959e+00;5.997214e-01;-9.057976e+00
1094960701550159;4.811469e+00;4.632578e-01;-8.390022e+00
1094960721662450;5.187342e+00;5.997214e-01;-7.339012e+00
1094960741774742;5.354929e+00;7.601260e-01;-6.299973e+00
1094960761887034;5.225647e+00;5.662040e-01;-6.175480e+00
1094960781934534;5.129883e+00;3.866466e-01;-6.316732e+00
1094960802148179;5.484210e+00;7.912493e-01;-6.146751e+00
1094960822592867;6.238351e+00;1.248522e+00;-6.443619e+00
1094960843037554;6.769841e+00;1.437656e+00;-6.740488e+00
1094960863482242;6.877575e+00;1.171911e+00;-6.965532e+00
1094960883926929;7.002069e+00;7.673082e-01;-6.663876e+00
1094960904371617;7.344425e+00;4.632578e-01;-5.881006e+00
1094960924816304;7.641293e+00;2.753174e-02;-5.191505e+00
1094960945260992;7.947738e+00;-3.962237e-01;-4.513976e+00
1094960965705679;8.294883e+00;-6.691509e-01;-3.786170e+00
1094960985971877;8.395434e+00;-1.408927e+00;-2.581938e+00
1094961006059534;8.256577e+00;-1.882959e+00;-1.949896e+00
1094961026147190;8.266153e+00;-2.289956e+00;-1.289124e+00
1094961046234846;8.462469e+00;-2.814264e+00;-5.996240e-01
1094961066322502;8.627663e+00;-3.379271e+00;8.748238e-02
1094961086410159;8.795249e+00;-3.882031e+00;8.200766e-01
1094961106497815;9.041842e+00;-4.504498e+00;2.021914e+00
1094961126585471;9.046629e+00;-4.923465e+00;1.861510e+00
1094961146673127;9.168729e+00;-4.660113e+00;1.095398e+00
1094961166760784;9.116058e+00;-4.341699e+00;1.030757e+00
1094961186988961;8.895802e+00;-4.686449e+00;1.030757e+00
1094961207357659;8.970018e+00;-4.990499e+00;1.535912e+00
1094961227726357;9.041842e+00;-4.916283e+00;1.983608e+00
1094961248095054;8.914954e+00;-4.808548e+00;1.629282e+00
1094961268463752;8.701880e+00;-4.741513e+00;1.234256e+00
1094961288832450;8.565416e+00;-4.782212e+00;1.172009e+00
1094961309201148;8.627663e+00;-4.971347e+00;1.064275e+00
1094961329569846;8.814403e+00;-4.973741e+00;8.727467e-01
1094961349938544;9.001142e+00;-4.763060e+00;6.860071e-01
1094961370107554;8.840737e+00;-4.521255e+00;1.616994e-01
1094961390170836;9.022689e+00;-4.229176e+00;1.138175e-01
1094961410328075;9.554178e+00;-3.939490e+00;-6.095175e-02
1094961430485315;9.843864e+00;-3.604316e+00;-1.303806e-01
1094961450642554;9.867805e+00;-3.331389e+00;-3.721846e-01
1094961470799794;9.848653e+00;-3.068038e+00;-5.732889e-01
1094961490957034;9.819923e+00;-3.008185e+00;-1.035350e+00
1094961511114273;9.860623e+00;-3.012974e+00;-1.595569e+00
1094961531271513;9.750494e+00;-2.792717e+00;-1.858920e+00
1094961551428752;9.544602e+00;-2.694559e+00;-2.500539e+00
1094961571585992;9.611636e+00;-2.629918e+00;-2.945841e+00
1094961591861304;9.800771e+00;-2.687376e+00;-2.984146e+00
1094961612254742;9.489537e+00;-2.936363e+00;-2.974570e+00
1094961632648179;9.228581e+00;-2.831022e+00;-3.079910e+00
1094961653041617;9.276464e+00;-2.201374e+00;-2.883594e+00
1094961673435054;9.257311e+00;-1.547785e+00;-3.099063e+00
1094961693828492;8.888619e+00;-1.195853e+00;-3.525213e+00
1094961714221929;8.519928e+00;-7.649149e-01;-3.767016e+00
1094961734615367;8.275730e+00;-2.645482e-01;-4.013609e+00
1094961755008804;8.455287e+00;5.386686e-02;-4.377512e+00
1094961775307554;8.199119e+00;4.201640e-01;-3.881933e+00
1094961795511617;7.878309e+00;8.104020e-01;-3.764622e+00
1094961815715679;7.981255e+00;1.136000e+00;-4.727050e+00
1094961835919742;8.127295e+00;1.238946e+00;-6.469954e+00
1094961856123804;7.775362e+00;1.540602e+00;-6.668664e+00
1094961876327867;7.277390e+00;1.954781e+00;-6.208998e+00
1094961896531929;7.097832e+00;2.244467e+00;-6.582477e+00
1094961916735992;7.229508e+00;2.871721e+00;-6.474742e+00
1094961936940054;6.573525e+00;2.914815e+00;-7.025385e+00
1094961957144117;5.457875e+00;2.536547e+00;-6.869769e+00
1094961977225107;4.909626e+00;2.043363e+00;-7.003838e+00
1094961997414377;5.216071e+00;1.569331e+00;-7.762767e+00
1094962017835054;5.711649e+00;1.337104e+00;-7.188183e+00
1094962038255732;6.733930e+00;1.195852e+00;-7.020597e+00
1094962058676409;7.954920e+00;1.717766e+00;-6.927227e+00
1094962079097086;8.227848e+00;1.887747e+00;-7.322254e+00
1094962099517763;6.927851e+00;1.322739e+00;-7.700521e+00
1094962119938440;5.330988e+00;8.343430e-01;-7.497023e+00
1094962140359117;4.615152e+00;8.056139e-01;-7.418017e+00
1094962160779794;4.605576e+00;1.203034e+00;-7.599968e+00
1094962181045888;5.196918e+00;2.129550e+00;-7.710097e+00
1094962201157450;5.026937e+00;1.981116e+00;-8.349322e+00
1094962221269013;4.562482e+00;1.878170e+00;-8.715619e+00
1094962241380575;4.215338e+00;1.959569e+00;-8.981364e+00
1094962261492138;4.284767e+00;2.227709e+00;-9.158527e+00
1094962281603700;4.627123e+00;2.543730e+00;-9.170498e+00
1094962301715263;4.670217e+00;2.716105e+00;-9.125010e+00
1094962321826825;4.428412e+00;2.792716e+00;-9.266261e+00
1094962341938388;4.019022e+00;3.056067e+00;-9.306961e+00
1094962362049950;3.566537e+00;3.501369e+00;-9.311749e+00
1094962382097346;3.272063e+00;3.963430e+00;-9.939004e+00
1094962402311617;3.023077e+00;4.200446e+00;-1.047049e+01
1094962422756929;2.472434e+00;3.965824e+00;-1.040585e+01
1094962443202242;2.024738e+00;3.611498e+00;-1.017362e+01
1094962463647554;2.292876e+00;3.518128e+00;-1.049443e+01
1094962484092867;3.047018e+00;3.826967e+00;-1.071709e+01
1094962504538179;3.544990e+00;3.908366e+00;-1.087510e+01
1094962524983492;3.580902e+00;3.781479e+00;-1.080088e+01
1094962545428804;3.418103e+00;3.585162e+00;-1.090861e+01
1094962565874117;3.403738e+00;3.477428e+00;-1.105705e+01
1094962586140263;3.815523e+00;3.360117e+00;-1.006350e+01
1094962606227190;3.940017e+00;3.127890e+00;-9.637347e+00
1094962626314117;4.066904e+00;3.091978e+00;-9.505672e+00
1094962646401044;4.074086e+00;3.048884e+00;-9.824086e+00
1094962666487971;4.030993e+00;2.938756e+00;-9.934216e+00
1094962686574898;4.098027e+00;2.742440e+00;-9.318933e+00
1094962706661825;4.409260e+00;2.349808e+00;-8.765896e+00
1094962726748752;4.813862e+00;2.131944e+00;-8.232012e+00
1094962746835679;5.254376e+00;2.064910e+00;-7.930355e+00
1094962766922607;5.687708e+00;1.990693e+00;-7.839378e+00
1094962787150679;6.075552e+00;1.902111e+00;-7.693338e+00
1094962807519898;6.379603e+00;1.842258e+00;-7.726856e+00
1094962827889117;6.513672e+00;1.842258e+00;-7.564057e+00
1094962848258336;6.391573e+00;1.686642e+00;-7.358164e+00
1094962868627554;6.190469e+00;1.447232e+00;-7.063691e+00
1094962888996773;6.214410e+00;1.291616e+00;-6.886528e+00
1094962909365992;6.353268e+00;1.183882e+00;-6.757246e+00
1094962929735211;6.537613e+00;1.006718e+00;-6.766822e+00
1094962950104429;6.695624e+00;6.811208e-01;-6.627964e+00
1094962970273961;7.121773e+00;3.196119e-01;-5.392610e+00
1094962990337294;7.495253e+00;3.435527e-01;-4.990401e+00
1094963010494117;7.854368e+00;2.980648e-01;-4.899426e+00
1094963030650940;8.096172e+00;1.975128e-01;-4.858726e+00
1094963050807763;8.179966e+00;1.137193e-01;-4.588192e+00
1094963070964586;8.189542e+00;-9.935540e-02;-4.542705e+00
1094963091121409;8.318824e+00;-2.956716e-01;-4.327236e+00
1094963111278232;8.553446e+00;-3.818591e-01;-3.922633e+00
1094963131435054;8.816796e+00;-5.614165e-01;-3.822081e+00
1094963151591877;9.029870e+00;-8.558906e-01;-3.664070e+00
1094963171748700;8.828767e+00;-1.183882e+00;-3.178068e+00
1094963192024065;8.718638e+00;-1.418504e+00;-2.620243e+00
1094963212417971;9.039448e+00;-1.344287e+00;-1.952290e+00
1094963232811877;9.695431e+00;-1.090512e+00;-1.631480e+00
1094963253205784;1.020059e+01;-8.989844e-01;-1.894831e+00
1094963273599690;1.043281e+01;-8.175851e-01;-2.414351e+00
1094963293993596;1.030832e+01;-8.750435e-01;-2.706431e+00
1094963314387502;9.882171e+00;-1.162335e+00;-2.976964e+00
1094963334781409;9.487144e+00;-1.425686e+00;-2.809377e+00
1094963355175315;9.278857e+00;-1.432868e+00;-2.529268e+00
1094963375474065;9.317163e+00;-1.224582e+00;-2.285069e+00
1094963395677711;9.288433e+00;-1.145577e+00;-2.380833e+00
1094963415881357;9.245339e+00;-1.210217e+00;-2.481385e+00
1094963436085002;9.137606e+00;-1.384987e+00;-2.378439e+00
1094963456288648;9.060994e+00;-1.734525e+00;-2.230005e+00
1094963476492294;8.993959e+00;-2.062516e+00;-1.806250e+00
1094963496695940;9.037053e+00;-2.289956e+00;-1.518958e+00
1094963516899586;9.163940e+00;-2.409661e+00;-1.131114e+00
1094963537103232;9.092117e+00;-2.476696e+00;-6.666588e-01
1094963557306877;9.072965e+00;-2.507819e+00;-5.565302e-01
1094963577387867;9.154365e+00;-2.268409e+00;-3.410613e-01
1094963597577554;9.321950e+00;-2.009846e+00;-3.362731e-01
1094963617998648;9.408138e+00;-1.911688e+00;-5.756830e-01
1094963638419742;9.570937e+00;-2.050546e+00;-6.786292e-01
1094963658840836;9.616426e+00;-2.189404e+00;-6.403236e-01
1094963679261929;9.436868e+00;-2.081669e+00;-6.594765e-01
1094963699683023;9.321950e+00;-1.708190e+00;-1.152661e+00
1094963720104117;9.441655e+00;-1.325134e+00;-1.868496e+00
1094963740525211;9.549391e+00;-1.219794e+00;-2.174941e+00
1094963760946304;9.511085e+00;-1.286828e+00;-2.024113e+00
