#time;x;y;z
1096316952537099;5.572613e-02;-8.816306e-02;-2.817614e-03
1096317155231630;7.502947e-02;-1.889099e-02;1.453094e-02
1096317357465536;2.897026e-02;-3.587303e-02;2.564868e-02
1096317560664494;5.267182e-02;-1.707520e-01;9.589813e-02
1096317763090432;2.151771e-02;-5.380038e-01;4.210003e-01
1096317966077203;1.155909e-01;-8.679929e-01;2.728045e-01
1096318168112203;-2.042579e-01;-5.023293e-01;8.879454e-01
1096318370525640;-9.245896e-01;-2.800968e-01;1.368207e+00
1096318573075536;2.123518e-01;-1.779602e-01;1.559041e+00
1096318775540536;-2.964023e+00;-6.866883e-01;1.412312e+00
1096318978027411;-1.421834e+00;-4.891346e-01;-9.858211e-01
1096319181019078;-1.700754e+00;-1.101710e+00;-2.298203e+00
1096319383679234;-7.610000e-01;-1.821553e+00;-1.770416e+00
1096319586338869;-3.767661e-01;-9.245590e-01;-1.286733e+00
1096319788625067;-3.712530e-02;-9.379981e-01;-5.881482e-01
1096319990854599;-2.771951e-01;1.609674e+00;1.230640e+00
1096320193613192;2.028224e-01;1.254640e+00;9.649143e-01
1096320395842463;-1.916588e-02;7.831745e-01;4.572857e-01
1096320598588817;-2.704757e-01;-5.406916e-01;-5.913247e-01
1096320801368713;-2.510501e-01;-1.309037e+00;-1.563088e+00
1096321004266994;5.987848e-01;-1.244041e+00;-1.266086e+00
1096321206596369;3.561494e-01;-7.568156e-01;-6.755018e-01
1096321409138557;-2.050979e-02;-4.319577e-01;-4.306673e-01
1096321611179963;-7.292197e-02;1.481194e-01;-1.100319e-02
1096321814151317;3.251327e-02;9.924567e-01;6.702331e-01
1096322016140953;-2.095113e-01;1.286038e+00;8.578908e-01
1096322219149599;-3.924042e-01;9.808502e-01;7.657723e-01
1096322421715067;-1.379180e-01;2.783558e-01;9.602030e-02
1096322624854286;1.749669e-01;-6.475929e-01;-5.541841e-01
1096322826851109;-1.981492e-01;-8.168025e-01;-6.377504e-01
1096323029651369;-2.183844e-03;-5.516872e-01;-5.464872e-01
1096323231503453;5.878046e-02;-4.556593e-01;-3.833863e-01
1096323434690305;1.162017e-01;-3.107622e-01;-2.667112e-01
1096323636437908;9.347758e-02;5.649735e-01;5.078653e-01
1096323839710721;-3.749182e-02;9.975880e-01;8.534926e-01
