#time;x;y;z
1095738191996518;-2.564750e+00;2.383325e+00;9.618388e+00
1095738212390946;-8.601515e-01;1.851835e+00;9.386162e+00
1095738232785373;-5.154013e-01;2.567671e+00;8.952829e+00
1095738253179800;-1.003797e+00;2.890874e+00;8.526680e+00
1095738273574227;-8.290283e-01;2.833416e+00;8.945647e+00
1095738293968654;-1.197719e+00;2.807081e+00;8.828337e+00
1095738314363081;-1.836944e+00;2.929179e+00;8.632021e+00
1095738334757508;-2.358857e+00;2.816657e+00;8.478798e+00
1095738355151935;-2.691637e+00;2.716105e+00;8.550620e+00
1095738375450633;-1.997349e+00;2.845386e+00;9.146751e+00
1095738395653654;-1.777092e+00;2.804686e+00;9.357432e+00
1095738415856675;-1.731604e+00;2.814263e+00;9.323915e+00
1095738436059696;-2.140994e+00;2.689770e+00;9.122810e+00
1095738456262716;-1.954255e+00;2.728075e+00;9.089293e+00
1095738476465737;-1.592746e+00;2.742440e+00;9.027046e+00
1095738496668758;-1.647810e+00;2.795110e+00;8.869037e+00
1095738516871779;-1.903979e+00;2.706528e+00;8.770879e+00
1095738537074800;-2.083536e+00;2.754410e+00;8.766089e+00
1095738557277821;-2.038048e+00;2.874115e+00;8.854671e+00
1095738577358758;-2.164935e+00;2.876509e+00;8.706238e+00
1095738597548966;-2.073960e+00;2.991426e+00;8.241782e+00
1095738617970633;-1.683722e+00;3.202107e+00;8.378245e+00
1095738638392300;-1.137867e+00;3.348147e+00;8.584139e+00
1095738658813966;-1.372489e+00;3.180560e+00;8.885795e+00
1095738679235633;-2.454621e+00;3.118313e+00;9.280822e+00
1095738699657300;-3.187216e+00;2.850174e+00;1.061673e+01
1095738720078966;-3.211157e+00;2.998608e+00;9.788369e+00
1095738740500633;-3.290162e+00;3.451093e+00;9.785975e+00
1095738760922300;-3.632518e+00;3.216471e+00;1.074362e+01
1095738781188446;-1.791456e+00;2.701740e+00;1.051139e+01
1095738801299018;-2.035654e+00;2.455148e+00;1.033901e+01
1095738821409591;-2.689243e+00;2.038575e+00;1.051378e+01
1095738841520164;-2.327734e+00;1.863806e+00;1.173717e+01
1095738861630737;-7.931167e-01;2.912421e+00;1.081065e+01
1095738881741310;-1.020556e+00;3.520522e+00;1.024804e+01
1095738901851883;-2.454621e+00;3.374482e+00;8.866642e+00
1095738921962456;-2.875983e+00;3.350541e+00;9.010287e+00
1095738942073029;-2.375616e+00;3.192530e+00;8.960011e+00
1095738962183602;-1.542470e+00;3.307447e+00;9.084504e+00
1095738982230946;-1.291089e+00;3.115919e+00;9.838647e+00
1095739002446050;-1.489799e+00;2.639493e+00;8.679902e+00
1095739022892196;-2.047625e+00;2.184615e+00;7.219502e+00
