#time;x;y;z
1095950128857022;-8.990402e-02;-2.886335e-03;1.184314e-02
1095950331659210;1.589775e-02;-1.437059e-02;-3.898080e-02
1095950533769210;-1.024726e-02;8.410081e-02;4.727329e-02
1095950736725304;-1.518457e-01;-4.022697e-01;6.038932e-01
1095950938676033;-1.261543e+00;1.725250e+00;2.062516e+00
1095951142101397;-2.041983e+00;2.192439e+00;1.001200e+00
1095951344279418;-7.490271e-01;8.781027e-01;-1.550451e-01
1095951547608533;-1.207298e+00;1.920849e+00;-1.295110e-01
1095951749375929;-8.872046e-01;1.159712e+00;-7.510046e-01
1095951951987491;9.032398e-01;-1.478002e+00;-6.615741e-01
1095952154313637;2.296011e+00;-5.969675e-02;-2.045252e-01
1095952357028325;2.385442e+00;5.272222e-01;1.000520e-01
1095952559243897;4.975035e-01;5.983267e-01;-2.728198e-01
1095952762453585;-2.304655e+00;-2.188194e+00;-6.867417e-01
1095952964873272;-3.289980e+00;-8.987347e-02;3.419544e-01
1095953167868377;-2.646862e+00;4.792081e-01;1.996229e-01
1095953369895564;-2.886794e-01;-7.549829e-01;5.018789e-01
1095953572316293;2.381655e+00;4.154338e-01;-2.255389e-01
1095953774857856;3.018909e+00;8.118851e-01;-3.089830e-01
1095953977330252;2.847256e+00;4.763981e-01;-6.116285e-03
1095954179810981;2.175183e+00;6.847031e-01;-3.071505e-01
1095954382804991;-6.571530e-01;-5.823069e-02;1.572289e-01
1095954585466033;-2.848936e+00;-4.342790e-01;-1.780136e-01
1095954788127491;-3.332496e+00;-1.327363e+00;6.083449e-02
1095954990414470;-2.649427e+00;-9.249255e-01;4.207560e-01
1095955192644991;-1.512730e+00;-4.561480e-01;3.742081e-01
1095955395403585;1.486982e+00;4.214203e-01;-3.850968e-01
1095955597633064;3.096977e+00;1.067349e+00;-2.901684e-01
1095955800378377;2.793500e+00;8.112742e-01;1.172097e-02
1095956003156918;2.376646e+00;6.596575e-01;-5.205332e-02
1095956206059835;1.517403e+00;7.091376e-01;2.335870e-01
1095956408386606;-8.865938e-01;-1.404530e-01;-3.898615e-01
1095956610932335;-2.680459e+00;-1.367680e+00;-4.191830e-01
1095956812972543;-3.192975e+00;-1.074221e+00;8.050434e-02
1095957015947752;-2.612042e+00;-1.233657e+00;1.893604e-01
1095957217935877;-1.364168e+00;-4.822930e-01;3.694433e-01
1095957420947335;8.924886e-01;3.747502e-01;-1.733711e-01
1095957623509783;2.672670e+00;1.033629e+00;-2.384892e-01
1095957826654470;2.399981e+00;1.200395e+00;3.343797e-01
1095958028646502;2.067060e+00;4.542848e-01;1.962021e-01
1095958231451189;1.431271e+00;4.774977e-01;-4.894555e-03
1095958433300095;7.356185e-01;1.896582e-01;-5.461894e-02
1095958636491345;-1.280724e+00;-6.248688e-01;-3.104491e-01
1095958838237700;-2.629635e+00;-1.176724e+00;-1.247462e-01
1095959041514679;-2.407036e+00;-9.094096e-01;1.615050e-01
1095959243861762;-2.443932e+00;-9.415411e-01;1.166675e-01
1095959447248272;-1.716759e+00;-5.790539e-01;1.469664e-01
1095959648906397;5.193876e-02;5.074758e-02;1.159879e-02
1095959851970564;2.456913e+00;1.053299e+00;8.331431e-02
1095960053628377;3.061669e+00;5.771908e-01;6.547705e-02
1095960257035981;2.814147e+00;5.390729e-01;2.894735e-02
1095960458539835;1.672685e+00;6.832370e-01;-2.625573e-01
1095960662082022;9.154571e-01;7.302735e-01;2.271654e-02
1095960864212908;-1.611446e+00;-5.824747e-01;-3.747121e-01
1095961067841033;-3.063227e+00;-1.600908e+00;6.022363e-02
1095961269165825;-2.992489e+00;-8.285310e-01;3.435427e-01
1095961472489418;-2.489625e+00;-6.929191e-01;1.028620e-01
1095961673957439;-8.390685e-01;-3.582875e-01;4.223442e-01
1095961877581658;2.412076e+00;1.025321e+00;1.844048e-02
1095962078842439;3.079018e+00;1.435334e+00;2.362749e-01
1095962282649887;2.588371e+00;6.112771e-01;3.274159e-01
1095962484564991;1.984837e+00;7.716901e-01;2.377409e-01
1095962688434835;1.240681e+00;5.875755e-01;3.495291e-01
1095962889424939;-1.355860e+00;-8.244993e-01;-6.880857e-01
1095963092608585;-3.040258e+00;-1.786367e+00;-4.867446e-01
1095963294285668;-3.078865e+00;-1.156810e+00;6.205622e-02
1095963497726606;-2.475819e+00;-7.233402e-01;-1.320766e-01
1095963699145356;-1.397521e+00;-9.720386e-02;1.772653e-01
1095963903002543;1.593884e+00;3.820806e-01;1.154458e-01
1095964104697387;3.270463e+00;5.030318e-01;2.357861e-01
1095964308695356;2.664485e+00;7.536086e-01;1.690797e-01
1095964509943793;2.294545e+00;7.305179e-01;1.310839e-01
1095964712936814;1.974941e+00;7.786540e-01;3.865476e-01
1095964914829783;-5.298488e-01;-1.235932e-01;-2.196746e-01
1095965118327075;-3.105743e+00;-1.547397e+00;-8.227202e-01
1095965320387543;-3.203481e+00;-1.119425e+00;-2.040365e-01
1095965523925460;-2.393108e+00;-8.688481e-01;-1.108185e-01
1095965725300147;-1.609124e+00;-6.804574e-01;2.532569e-01
1095965928990564;8.562033e-01;4.579500e-01;1.219210e-01
1095966130471710;3.040534e+00;8.967953e-01;2.597320e-01
1095966333297595;2.634675e+00;7.159793e-01;2.310214e-01
1095966535381658;2.304686e+00;6.454855e-01;5.050553e-01
1095966738722908;1.976773e+00;6.751735e-01;3.976653e-01
1095966940970877;-2.399324e-01;-2.142455e-01;-3.326845e-01
1095967144229627;-2.662377e+00;-1.074343e+00;-8.813633e-01
1095967345907022;-2.582110e+00;-1.339336e+00;1.897269e-01
1095967549266397;-2.360855e+00;-7.942005e-01;2.045099e-01
1095967751002752;-2.074725e+00;-7.068468e-01;2.196593e-01
1095967953640877;-8.696117e-01;-2.256076e-01;8.203837e-01
1095968155938325;1.885632e+00;4.326602e-01;-1.458821e-01
1095968359106762;3.065090e+00;2.721249e-01;-4.101422e-01
1095968561556658;2.260581e+00;7.473778e-01;-1.474704e-01
1095968764520720;2.225640e+00;1.019579e+00;3.065777e-02
1095968966515981;1.235184e+00;3.490939e-01;7.354048e-02
1095969169530043;-1.010599e+00;-5.272526e-01;-1.387961e-01
1095969371535043;-2.703427e+00;-9.222378e-01;1.522198e-01
1095969573973116;-2.602390e+00;-5.840631e-01;-9.908989e-02
1095969776495200;-2.309175e+00;-5.566963e-01;-6.097194e-02
1095969979481658;-1.690736e+00;-4.623788e-01;-6.585886e-02
1095970182142700;1.068906e+00;4.481762e-01;1.936365e-01
1095970384804158;2.678290e+00;7.264861e-01;1.433012e-01
1095970587127231;2.361863e+00;1.257938e+00;5.412186e-01
1095970789787908;2.134010e+00;6.594133e-01;3.830045e-01
1095970992068637;1.836763e+00;7.399251e-01;4.944263e-01
1095971194299002;1.037019e+00;-2.744768e-01;2.233245e-01
1095971397052908;-1.835511e+00;-7.648790e-01;-7.791045e-01
1095971599851554;-2.830976e+00;-1.804082e+00;-3.835085e-01
1095971802727543;-2.731894e+00;-1.070433e+00;-2.836932e-01
1095972005081814;-2.301234e+00;-9.299346e-01;6.401099e-02
1095972207737283;-1.115790e+00;-3.376402e-01;2.502026e-01
1095972410041033;9.921818e-01;5.014436e-01;2.183154e-01
1095972612602908;3.149512e+00;6.073676e-01;2.477591e-01
1095972814621554;2.446651e+00;6.006480e-01;-2.077704e-02
1095973017610825;2.065838e+00;5.308872e-01;-8.699477e-02
1095973220219418;1.415633e+00;8.054099e-01;1.930256e-01
1095973423313481;3.704437e-01;5.599645e-01;1.402469e-01
1095973625356814;-1.542296e+00;-1.420581e+00;-5.158218e-01
1095973828346762;-3.103910e+00;-9.400749e-01;2.334648e-01
1095974030291554;-2.862008e+00;-7.744084e-01;3.544161e-01
1095974233136658;-2.403127e+00;-2.654360e-01;-6.280452e-02
1095974434942179;-1.316398e+00;-1.194393e-01;3.006600e-01
1095974638169470;1.145020e+00;1.131779e-01;3.459861e-01
1095974840586345;2.926302e+00;6.275260e-01;-6.451495e-02
1095975043899575;2.539136e+00;6.115214e-01;1.127580e-01
1095975245630929;2.255817e+00;5.137830e-01;1.704236e-01
1095975448631970;1.702006e+00;7.575181e-01;1.114141e-01
1095975650356033;3.974439e-01;6.836035e-01;6.032260e-04
1095975853706866;-1.998001e+00;-7.943227e-01;-6.054968e-01
1095976055270408;-2.756939e+00;-1.392359e+00;-1.064203e-01
1095976258761137;-2.268859e+00;-5.488771e-01;-1.649411e-01
1095976460955772;-1.895987e+00;-3.074635e-01;-2.213850e-01
1095976664519106;-1.143035e+00;-3.356855e-01;-7.551051e-02
1095976865908481;1.007942e+00;1.991877e-01;6.059014e-02
1095977069597468;2.603887e+00;3.516595e-01;3.224602e-02
1095977270792104;2.734979e+00;7.163458e-01;5.606974e-02
