#time;x;y;z
1097874237473261;5.200011e-02;3.194925e+00;9.261668e+00
1097874257905553;-4.376385e-02;3.103949e+00;9.065352e+00
1097874278337844;8.312339e-02;3.046490e+00;8.708632e+00
1097874298770136;-6.949587e-01;3.680927e+00;7.090221e+00
1097874319202428;-4.363961e-01;2.785533e+00;9.362221e+00
1097874339634719;1.529159e+00;2.869327e+00;1.014748e+01
1097874360067011;5.571549e-01;3.376876e+00;9.522626e+00
1097874380499303;-6.015889e-01;3.192530e+00;8.521892e+00
1097874400931594;-2.328976e-01;3.537280e+00;8.586533e+00
1097874421198209;-1.562865e-01;3.027338e+00;9.742883e+00
1097874441299094;6.636469e-02;3.166195e+00;9.687818e+00
1097874461399980;4.853320e-01;3.321812e+00;9.381373e+00
1097874481500865;6.265838e-01;3.338570e+00;9.230544e+00
1097874501601751;3.680211e-01;3.261959e+00;9.254485e+00
1097874521702636;6.397060e-02;3.163801e+00;9.283216e+00
1097874541803522;-1.012222e-01;3.077614e+00;9.302367e+00
1097874561904407;-3.179336e-02;3.163801e+00;9.098869e+00
1097874582005292;4.242371e-02;3.230836e+00;9.046200e+00
1097874602106178;9.748797e-02;3.235624e+00;9.204209e+00
1097874622335344;-4.376385e-02;3.170984e+00;9.252091e+00
1097874642692844;-2.017744e-01;3.094372e+00;9.259274e+00
1097874663050344;-2.065626e-01;3.139860e+00;9.156327e+00
1097874683407844;1.130041e-02;3.264353e+00;9.070141e+00
1097874703765344;2.866218e-01;3.271536e+00;9.060563e+00
1097874724122844;1.046703e-01;3.173378e+00;9.127599e+00
1097874744480344;-9.643400e-02;3.159013e+00;9.055776e+00
1097874764837844;-7.967532e-02;3.197319e+00;9.000711e+00
1097874785195344;-1.323455e-01;3.202107e+00;8.960011e+00
1097874805353261;-1.264057e-02;3.178166e+00;9.058169e+00
1097874825417063;-6.531072e-02;3.108737e+00;9.206604e+00
1097874845586334;-1.538924e-01;3.056067e+00;9.208999e+00
1097874865755605;-3.064156e-03;3.132678e+00;9.125204e+00
1097874885924876;4.118115e-03;3.185348e+00;9.129992e+00
1097874906094147;-5.573437e-02;3.168589e+00;9.292791e+00
1097874926263417;-6.531072e-02;3.111131e+00;9.347856e+00
1097874946432688;-2.221695e-02;3.178166e+00;9.197027e+00
1097874966601959;9.509388e-02;3.235624e+00;9.096476e+00
1097874986771230;1.405818e-01;3.214077e+00;9.170692e+00
1097875006940501;1.860696e-01;3.247595e+00;9.098869e+00
1097875027216803;1.094585e-01;3.417576e+00;8.995924e+00
1097875047600136;-1.107986e-01;3.333782e+00;9.072535e+00
1097875067983469;-1.012222e-01;3.252383e+00;9.173086e+00
1097875088366803;-6.052256e-02;3.238018e+00;9.230544e+00
1097875108750136;-1.060104e-01;3.218866e+00;9.053382e+00
1097875129133469;-2.113508e-01;3.144648e+00;9.029441e+00
1097875149516803;-1.443160e-01;3.173378e+00;9.065352e+00
1097875169900136;-2.137448e-01;3.147043e+00;9.113235e+00
1097875190283469;-2.735973e-01;3.206895e+00;8.995924e+00
1097875210467011;-2.939928e-02;3.357723e+00;8.924101e+00
1097875230530605;1.501582e-01;3.453487e+00;8.909736e+00
1097875250674147;3.045321e-02;3.563616e+00;8.928888e+00
1097875270817688;-3.837259e-01;3.532492e+00;8.519498e+00
1097875290961230;-9.008513e-01;3.599527e+00;8.150806e+00
1097875311104772;-8.673337e-01;3.688109e+00;8.138836e+00
1097875331248313;-7.188997e-01;3.491792e+00;7.940127e+00
1097875351391855;-1.305454e+00;3.668956e+00;7.490036e+00
1097875371535397;-1.485011e+00;3.862878e+00;6.788565e+00
1097875391678938;-1.147443e+00;3.920336e+00;6.798141e+00
1097875411822480;-1.121108e+00;3.793449e+00;6.807717e+00
1097875432097636;-1.427553e+00;3.463063e+00;6.932210e+00
1097875452504355;-1.664569e+00;2.780745e+00;7.358360e+00
1097875472911074;-1.781880e+00;1.849441e+00;7.865909e+00
1097875493317792;-1.848914e+00;6.739384e-01;7.925762e+00
1097875513724511;-1.911161e+00;-7.242152e-01;8.399793e+00
1097875534131230;-1.750756e+00;-1.894930e+00;8.299240e+00
1097875554537949;-1.580775e+00;-2.639494e+00;8.399793e+00
1097875574944667;-1.259966e+00;-3.075220e+00;8.873824e+00
1097875595351386;-8.457869e-01;-3.374482e+00;1.021691e+01
1097875615651230;-2.773036e+00;-3.166196e+00;1.313293e+01
1097875635844199;-5.667502e+00;-1.899718e+00;1.091360e+01
1097875656037167;-7.618692e+00;-1.408927e+00;1.030789e+01
1097875676230136;-8.439868e+00;-1.686643e+00;9.515443e+00
1097875696423105;-7.403224e+00;-1.023478e+00;9.620784e+00
1097875716616074;-5.940429e+00;-3.471482e-02;1.088487e+01
1097875736809042;-4.930120e+00;3.244001e-01;1.093754e+01
1097875757002011;-4.618886e+00;2.382125e-01;1.057124e+01
1097875777194980;-4.298078e+00;5.984902e-03;9.745276e+00
1097875797387949;-4.444118e+00;-3.471482e-02;9.024652e+00
1097875817469563;-4.994760e+00;-8.259672e-02;7.856333e+00
1097875837671074;-5.734537e+00;-7.302034e-02;6.927423e+00
1097875858103834;-6.045770e+00;-2.023017e-01;6.999246e+00
1097875878536594;-5.643561e+00;-4.488939e-01;7.111768e+00
1097875898969355;-5.569344e+00;-5.877516e-01;7.434971e+00
1097875919402115;-5.787207e+00;-6.691509e-01;7.729445e+00
1097875939834876;-5.681867e+00;-8.534966e-01;7.755781e+00
1097875960267636;-6.282785e+00;-1.684249e+00;7.518765e+00
1097875980700397;-6.943557e+00;-2.213345e+00;8.181930e+00
1097876001133157;-6.773576e+00;-2.538942e+00;8.306422e+00
1097876021399772;-6.790334e+00;-3.343359e+00;6.154129e+00
1097876041500240;-6.160686e+00;-3.688109e+00;6.292986e+00
1097876061600709;-5.633985e+00;-3.953855e+00;6.163705e+00
1097876081701178;-6.072104e+00;-3.309842e+00;7.853939e+00
1097876101801647;-7.020167e+00;-3.367300e+00;8.435704e+00
1097876121902115;-7.154237e+00;-3.874849e+00;6.632948e+00
1097876142002584;-6.816669e+00;-3.685715e+00;5.244371e+00
1097876162103053;-6.579654e+00;-3.302660e+00;5.297041e+00
1097876182203522;-7.001015e+00;-2.488666e+00;5.464628e+00
1097876202303990;-8.030478e+00;-2.062516e+00;6.371992e+00
1097876222533157;-8.447049e+00;-1.885353e+00;5.797408e+00
1097876242891074;-8.956992e+00;-1.416110e+00;5.763891e+00
1097876263248990;-8.731948e+00;-8.367379e-01;5.323377e+00
1097876283606907;-8.303405e+00;2.094833e-01;4.784704e+00
1097876303964824;-8.449445e+00;1.976328e+00;1.899815e+00
1097876324322740;-9.706346e+00;3.494187e+00;1.660405e+00
1097876344680657;-1.182273e+01;1.784800e+00;4.406436e+00
1097876365038574;-1.354648e+01;-1.638761e+00;4.277155e+00
1097876385396490;-1.264630e+01;-2.589218e+00;5.830925e+00
1097876405554824;-1.087945e+01;-1.435263e+00;3.101653e+00
1097876425618678;-1.125533e+01;-1.159941e+00;1.289320e+00
1097876445787636;-9.270619e+00;-1.926053e+00;7.003716e-01
1097876465956594;-6.811881e+00;-2.579642e+00;1.023575e+00
1097876486125553;-5.011518e+00;-2.356991e+00;2.953218e+00
1097876506294511;-3.345226e+00;-1.344287e+00;5.426322e+00
1097876526463469;-2.081142e+00;-1.197457e-03;6.647313e+00
1097876546632428;-6.159534e-01;1.947599e+00;5.534057e+00
1097876566801386;-3.179336e-02;3.336176e+00;9.299973e+00
1097876586970344;-7.907227e-01;2.356990e+00;1.351598e+01
1097876607139303;-2.725155e+00;3.890406e-01;1.355908e+01
1097876627415657;-4.860691e+00;8.977830e-02;1.112667e+01
1097876647799407;-5.780025e+00;1.243734e+00;1.021691e+01
1097876668183157;-6.280391e+00;1.629184e+00;8.612867e+00
1097876688566907;-6.821457e+00;1.059388e+00;7.815633e+00
1097876708950657;-7.348159e+00;-5.626166e-02;9.122810e+00
1097876729334407;-7.429559e+00;-2.717305e-01;1.049702e+01
1097876749718157;-8.241158e+00;-7.601267e-01;9.299973e+00
1097876770101907;-8.368045e+00;-7.385798e-01;7.470883e+00
1097876790485657;-6.119987e+00;-3.842532e-01;8.790030e+00
1097876810669615;-2.488139e+00;-1.831489e-01;8.849883e+00
1097876830733209;-1.152231e+00;3.674937e-01;9.580084e+00
1097876850876282;-9.080335e-01;6.583738e-02;1.040365e+01
1097876871019355;-2.428286e+00;-4.991699e-01;9.058169e+00
1097876891162428;-4.822385e+00;-6.428158e-01;8.620049e+00
1097876911305501;-5.981129e+00;-1.143183e+00;8.438099e+00
