#time;x;y;z
1094809945110222;-1.333289e-01;-1.535561e-02;-2.493855e-02
1094810148457775;-3.241401e-02;8.201623e-02;-1.658040e-01
1094810350206368;-1.615508e-01;-6.446914e-02;-1.015562e-02
1094810552834285;-2.908098e-01;-1.181260e-02;2.412763e-01
1094810755143295;-6.557404e-01;-4.770472e-01;9.622189e-01
1094810958306420;1.437825e-02;-2.326379e+00;1.439304e+00
1094811160760639;-6.597721e-01;-2.057965e+00;1.528124e+00
1094811363721160;-2.436533e+00;-1.045396e+00;2.522368e+00
1094811565723035;-1.859633e+00;1.952706e-01;-6.179661e-01
1094811768733452;1.040532e-01;-7.064880e-01;-1.658147e+00
1094811970743243;9.611193e-02;2.446284e-01;-3.534616e-01
1094812173177618;8.411224e-01;8.558597e-01;1.558774e-01
1094812375703972;-3.495750e-01;-1.272026e+00;-8.526604e-01
1094812578689650;-1.295927e+00;-8.902583e-02;-1.032010e+00
1094812781350170;-1.665370e-02;7.321975e-02;1.721264e-01
1094812984012150;1.242705e+00;-8.202310e-01;1.628306e+00
1094813186336733;1.380638e+00;-1.570762e-01;2.420842e+00
1094813388998452;9.392274e-01;1.440801e-01;2.128604e+00
1094813591280743;-4.127384e-01;5.562685e-02;-4.929831e-01
1094813793511368;-1.348950e+00;-3.030729e-01;-2.463876e+00
1094813996266056;-1.532453e+00;4.715036e-01;-2.547810e+00
1094814199066785;-1.008332e+00;8.506063e-01;-1.745622e+00
1094814401941316;7.937421e-02;-3.637928e-01;6.318632e-01
1094814604296837;1.488150e+00;-4.375853e-01;2.204840e+00
1094814806950587;1.398231e+00;-3.023399e-01;2.126038e+00
1094815009256629;1.034034e+00;5.079111e-01;1.009744e+00
1094815211817566;-1.212482e+00;-3.073489e-01;-1.667554e+00
1094815413839077;-1.535508e+00;-7.534024e-01;-2.038715e+00
1094815616828556;-8.634344e-01;-2.160938e-03;-1.083812e+00
1094815819439650;4.663187e-02;9.069049e-02;-1.330616e-01
1094816022531264;1.994802e+00;2.899317e-02;2.226465e+00
1094816224577462;1.513318e+00;1.732794e-01;2.133613e+00
1094816427565431;3.568290e-01;4.798113e-01;3.616166e-01
1094816629512150;-1.544915e+00;5.428296e-02;-1.745867e+00
1094816832355535;-1.821881e+00;-2.160858e-01;-1.689178e+00
1094817034163295;-8.666109e-01;1.048626e-01;-8.625563e-01
1094817237389233;3.410687e-01;-1.383838e-01;7.635655e-01
1094817439809025;1.628160e+00;8.555924e-02;1.864833e+00
1094817643119858;1.164026e+00;-2.199953e-01;1.402530e+00
1094817844855379;1.359403e-01;6.268995e-03;-2.101527e-01
1094818048179389;-1.182061e+00;-8.059599e-02;-1.459493e+00
1094818249765847;-1.350171e+00;2.887099e-02;-1.696875e+00
1094818452893556;-6.145682e-01;2.353433e-01;-1.097617e+00
1094818654486368;1.034767e+00;-4.265898e-01;1.284389e+00
1094818857951056;1.976109e+00;-2.329456e-01;2.476553e+00
1094819060177775;9.033085e-01;-6.434696e-02;1.067410e+00
1094819263708452;-8.988645e-01;-1.135827e-01;-1.121807e+00
1094819465131264;-1.783275e+00;2.274020e-01;-2.075855e+00
1094819668791629;-1.127694e+00;2.590448e-01;-1.247279e+00
1094819870017306;5.225185e-02;3.092506e-03;-1.027627e-01
1094820073429754;1.580635e+00;-5.823833e-02;1.835267e+00
1094820274808504;1.605925e+00;-4.422279e-01;1.673998e+00
1094820478512983;6.521209e-01;3.229183e-02;6.451800e-01
1094820680546837;-1.838985e+00;1.872071e-01;-2.131444e+00
1094820884298087;-1.439358e+00;1.813428e-01;-1.416244e+00
1094821085406941;-4.788339e-01;1.551978e-01;-7.282882e-01
1094821289404285;3.396026e-01;-3.979020e-02;4.935634e-01
1094821490268347;1.323706e+00;-2.586249e-02;1.676197e+00
1094821693566368;9.585308e-01;-6.840082e-01;1.053115e+00
1094821895129910;5.110113e-01;2.037005e-01;5.871479e-01
1094822098882983;-1.084323e+00;-2.346561e-01;-1.424185e+00
1094822300670847;-1.313275e+00;1.617952e-01;-1.283931e+00
1094822504576108;-6.839623e-01;3.498193e-01;-1.009652e+00
1094822705556785;-3.252626e-01;-9.146938e-02;-2.278678e-01
1094822909658191;1.501101e+00;-7.387646e-02;1.522992e+00
1094823110802931;1.002880e+00;6.857720e-02;9.754134e-01
1094823313889783;1.011920e+00;-8.328377e-02;8.894036e-01
1094823515689627;-4.569650e-01;5.135081e-02;-4.790554e-01
1094823719252127;-1.741369e+00;6.576721e-02;-1.865107e+00
1094823921257752;-9.774216e-01;1.879402e-01;-9.902270e-01
1094824124852960;-1.272202e-01;1.077947e-01;-2.651305e-01
1094824326169262;1.598228e+00;-2.588463e-01;1.893787e+00
1094824529911346;1.778678e+00;-2.375882e-01;1.852859e+00
1094824731339679;4.363636e-01;1.566639e-01;2.054795e-01
1094824934212283;-1.442534e+00;-2.830366e-01;-1.631268e+00
1094825136249575;-1.485050e+00;2.465832e-01;-1.491258e+00
1094825339621294;-8.523166e-01;1.604513e-01;-9.741002e-01
1094825541844731;6.400259e-01;-4.154720e-01;6.863523e-01
1094825745129210;1.359502e+00;3.334481e-01;1.444435e+00
1094825946780096;1.334213e+00;3.258734e-01;1.774180e+00
1094826150162335;1.374063e-01;3.704666e-01;4.500699e-01
1094826351874939;-8.926338e-01;-6.141485e-02;-1.757107e+00
1094826554534106;-1.142966e+00;-2.121991e-02;-1.658269e+00
