#time;x;y;z
525748646082311;-4.818839e-01;4.399156e+00;7.492430e+00
525748666168040;-4.459724e-01;4.698419e+00;7.626500e+00
525748686253769;-4.699134e-01;5.031198e+00;7.739022e+00
525748706339499;-5.297659e-01;5.179632e+00;7.607347e+00
525748726425228;-7.811462e-01;5.040774e+00;5.670520e+00
525748746510957;-5.920125e-01;4.863611e+00;6.431844e+00
525748766596686;-3.214793e-01;5.103021e+00;8.560198e+00
525748786682415;-7.404466e-01;5.313702e+00;1.006130e+01
525748806768144;-5.513127e-01;5.363978e+00;1.041084e+01
525748826853874;-6.758059e-01;5.184421e+00;1.077234e+01
525748847081582;-7.212938e-01;4.549985e+00;1.215853e+01
525748867451217;-9.223981e-01;3.855695e+00;1.407381e+01
525748887820853;6.002487e-01;3.941883e+00;1.436110e+01
525748908190488;3.118840e+00;2.531759e+00;1.266368e+01
525748928560124;3.324733e+00;1.463991e+00;1.005172e+01
525748948929759;3.011106e+00;2.017028e+00;8.411763e+00
525748969299394;3.458803e+00;2.084063e+00;7.815633e+00
525748989669030;4.603182e+00;2.024210e+00;8.663143e+00
525749010038665;3.535414e+00;1.061782e+00;9.357432e+00
525749030208613;3.310369e+00;2.297137e+00;9.797947e+00
525749050271530;3.600055e+00;2.091245e+00;1.053772e+01
525749070427155;3.315157e+00;1.818318e+00;9.738093e+00
525749090582780;2.477222e+00;2.337837e+00;7.087827e+00
525749110738405;9.066933e-01;3.032126e+00;5.071996e+00
525749130894030;9.593636e-01;3.108737e+00;3.910858e+00
525749151049655;2.484404e+00;2.720893e+00;3.889311e+00
525749171205280;3.240940e+00;2.167856e+00;4.511777e+00
525749191360905;4.356590e+00;2.450360e+00;6.762229e+00
525749211516530;2.745361e+00;2.634705e+00;6.620978e+00
525749231672155;3.681454e+00;2.797504e+00;5.282677e+00
525749251947103;4.739645e+00;2.696952e+00;4.767945e+00
525749272341322;5.637433e+00;2.833416e+00;6.309745e+00
525749292735540;6.626195e+00;3.182954e+00;5.249159e+00
525749313129759;7.114592e+00;2.005057e+00;4.861316e+00
525749333523978;6.537613e+00;2.376143e+00;5.941054e+00
525749353918197;5.292683e+00;3.202107e+00;2.215836e+00
525749374312415;5.805019e+00;2.479089e+00;3.621172e+00
525749394706634;6.465790e+00;2.052939e+00;7.999979e+00
525749415100853;8.079413e+00;1.933234e+00;9.307157e+00
525749435399290;7.976467e+00;4.991692e-01;7.636075e+00
525749455601947;6.161740e+00;-1.400551e-01;6.561125e+00
525749475804603;4.945538e+00;-5.781752e-01;7.202744e+00
525749496007259;4.088450e+00;-2.304320e+00;9.175481e+00
525749516209915;5.105942e+00;-2.656253e+00;8.730179e+00
525749536412572;6.228775e+00;-3.587557e+00;6.695195e+00
525749556615228;8.519928e+00;-5.466925e+00;7.892245e+00
525749576817884;9.326739e+00;-5.917015e+00;9.027046e+00
525749597020540;8.924530e+00;-6.472446e+00;8.320787e+00
525749617223197;6.772235e+00;-6.917748e+00;7.537918e+00
525749637303822;4.181820e+00;-6.357530e+00;8.541044e+00
525749657493874;3.513867e+00;-5.830828e+00;9.333491e+00
525749677915332;4.481083e+00;-5.821252e+00;8.392611e+00
525749698336790;5.888813e+00;-5.694364e+00;6.269045e+00
525749718758249;8.603722e+00;-5.383131e+00;5.282677e+00
525749739179707;1.071053e+01;-5.483684e+00;4.830192e+00
525749759601165;1.298492e+01;-4.861217e+00;3.736089e+00
525749780022624;1.270481e+01;-4.801366e+00;2.589315e+00
525749800444082;1.157719e+01;-3.649804e+00;1.765746e+00
525749820865540;1.209192e+01;-1.995482e+00;2.981631e-01
525749841131322;1.372470e+01;-4.560762e-01;1.013999e+00
525749861241374;1.426337e+01;-5.326873e-01;3.819565e-01
525749881351426;1.303999e+01;-5.350814e-01;-2.471809e+00
525749901461478;1.199616e+01;1.196682e-03;-3.407902e+00
525749921571530;1.123005e+01;9.013779e-01;-1.945107e+00
525749941681582;9.714583e+00;1.777618e+00;2.579739e+00
525749961791634;8.232635e+00;3.697685e+00;1.112667e+01
525749981901686;8.285306e+00;4.142987e+00;1.014509e+01
