#time;x;y;z
526135389706070;-1.429882e-01;-8.318450e-02;1.395902e-01
526135591829091;-8.739488e-01;-1.520671e+00;-4.540482e-01
526135794752007;-3.117090e-01;-2.918330e+00;-1.019464e+00
526135996712737;-3.384649e-01;-1.313344e+00;4.320722e-01
526136200112632;-3.445736e-01;1.044716e+00;7.431246e-01
526136402290184;-8.102968e-01;-1.355005e+00;9.546059e-01
526136605595601;-9.738863e-01;-1.325683e+00;8.551572e-01
526136807364195;-1.147616e+00;-6.037635e-01;-7.997975e-01
526137009953257;-1.263192e+00;1.827860e-01;-4.930213e-01
526137212278674;-2.282649e-01;2.536464e-01;2.062715e+00
526137414971851;-5.841547e-01;1.785206e+00;5.974944e-01
526137617186539;-5.125613e-01;3.280496e-01;4.363483e-01
526137820379351;-6.098109e-01;1.040074e+00;8.712840e-01
526138022791174;-1.935876e+00;9.391588e-01;2.849264e+00
526138225770653;-1.330876e+00;-2.328601e+00;-1.353729e+00
526138427790653;1.487608e-01;-1.574502e-02;9.707403e-02
526138630196122;3.042305e+00;2.667784e+00;1.445993e-01
526138832730184;-8.574556e-01;-1.389946e+00;6.274269e-01
526139035187476;-2.005637e+00;-4.658301e-01;6.269381e-01
526139237660080;3.878533e-01;3.887696e-01;-2.998658e-01
526139440641591;3.353846e+00;3.130941e+00;-4.154415e-01
526139643291122;-2.242653e+00;-3.527851e+00;1.195898e+00
526139845940862;-2.683697e+00;1.052211e-02;2.605414e-01
526140048216643;3.733559e+00;2.692218e+00;-8.955811e-01
526140250435237;7.619015e-02;-1.056170e+00;7.454458e-01
526140453182372;-1.782427e+00;-1.180542e+00;1.300600e+00
526140655400184;-9.939229e-01;-1.213025e-01;-4.272922e-01
526140858134299;4.317668e+00;3.354518e+00;-2.393903e-01
526141060902112;-1.666240e+00;-2.876425e+00;1.091317e+00
526141263791382;-3.116067e+00;1.519984e-01;3.009807e-01
526141466108153;2.764850e+00;1.876958e+00;-7.534940e-01
526141668640757;1.744462e+00;9.501544e-01;4.369591e-01
526141870670601;-1.815780e+00;-2.424018e+00;1.308785e+00
526142073632893;-2.488342e+00;2.964068e-01;2.070297e-01
526142275610445;4.490054e+00;2.999361e+00;-6.808010e-01
526142478609195;-1.614561e+00;-1.323728e+00;7.701248e-01
526142681161591;-2.424079e+00;-3.202001e-01;6.699430e-01
526142884291539;1.028773e+00;7.980489e-01;-2.568610e-01
526143086274455;3.295936e+00;2.324844e+00;2.351295e-01
526143289065549;-2.478813e+00;-3.161454e+00;1.018014e+00
526143490904612;-3.076849e+00;8.282257e-01;2.587088e-01
526143694082164;4.319745e+00;2.388985e+00;-6.435382e-01
526143895818466;-1.379501e+00;-1.177487e+00;5.351863e-01
526144099081955;-1.848278e+00;-6.266097e-01;8.671302e-01
526144301418726;-1.313817e-01;2.964069e-01;-2.358472e-01
526144504790601;4.642526e+00;2.944261e+00;3.227274e-01
526144706439664;-2.843010e+00;-2.965488e+00;4.853397e-01
526144909489872;-3.252534e+00;8.061123e-01;2.970711e-01
526145111137945;4.117549e+00;2.091738e+00;-6.557556e-01
526145314531799;1.050764e+00;3.011715e-01;1.021190e+00
526145516025184;-1.721096e+00;-1.807534e+00;5.156386e-01
526145719553830;-2.380342e+00;7.898635e-01;4.441749e-02
526145921674351;4.994751e+00;2.708467e+00;1.073365e-01
526146125287945;-1.763734e+00;-1.440892e+00;4.747185e-02
526146326603257;-3.198045e+00;2.027002e-01;4.951134e-01
526146529912841;2.067853e+00;8.973755e-01;-3.333412e-01
526146731370549;2.509997e+00;9.285297e-01;4.357374e-01
526146934981122;-2.743562e+00;-2.696830e+00;4.879053e-01
526147136231643;-2.715340e+00;9.723898e-01;1.011057e-01
526147340025914;4.578019e+00;1.999253e+00;-1.246698e-01
526147541930080;-1.603199e+00;-8.711999e-01;1.044044e-01
526147745786382;-2.664271e+00;-7.847016e-01;6.152095e-01
526147946765549;1.340802e+00;8.268818e-01;-1.524031e-01
526148149935184;3.678948e+00;1.843483e+00;6.880246e-01
526148351601851;-2.554438e+00;-2.728107e+00;2.038532e-01
526148555029299;-2.980577e+00;7.708043e-01;4.453891e-01
526148756437632;4.540512e+00;1.787161e+00;-1.731725e-01
526148960281903;-4.750544e-01;-2.857472e-01;1.747760e-01
526149161964664;-2.000994e+00;-6.781666e-01;6.083679e-01
526149365949768;-1.424995e-01;1.484554e-01;-1.326111e-01
526149567186539;4.292134e+00;2.193630e+00;-3.104949e-01
526149770166278;-3.020772e+00;-2.360733e+00;4.932809e-01
526149972047632;-3.582890e+00;1.065501e-01;6.070240e-01
526150175233674;3.982181e+00;1.091631e+00;-5.184671e-03
526150376907164;-6.817709e-01;-4.484816e-01;4.295066e-01
526150580535809;-1.844246e+00;-1.000215e+00;4.864392e-01
526150782460184;-6.398654e-01;-6.583595e-02;1.070922e-01
526150986111330;4.436298e+00;2.318736e+00;-2.143369e-02
526151187608205;-2.696769e+00;-2.773799e+00;5.918744e-01
526151390397632;-2.978622e+00;8.153975e-01;2.667722e-01
526151592493987;3.795623e+00;1.935357e+00;-5.852619e-01
526151795437893;5.946922e-01;-5.551386e-01;9.383570e-01
526151997375809;-1.897392e+00;-1.801180e+00;5.637747e-01
526152200789039;-1.614317e+00;2.794248e-01;-1.236925e-01
526152402954716;4.566779e+00;2.249708e+00;-2.244851e-01
526152606272007;-9.181755e-01;-1.404118e+00;3.684275e-02
526152808027632;-3.396332e+00;-1.397887e+00;7.050067e-01
526153010626747;1.978912e+00;1.116065e+00;-5.286958e-01
526153212940237;2.835832e+00;7.330529e-01;6.518614e-01
526153415641799;-2.720471e+00;-2.948262e+00;4.905931e-01
526153617844299;-2.934151e+00;2.976285e-01;6.571148e-01
526153821041591;4.332818e+00;1.626259e+00;-7.335711e-02
526154023448622;-1.664530e+00;-1.034667e+00;2.413603e-01
526154226431539;-2.338070e+00;-1.008156e+00;5.949287e-01
526154428446018;6.166832e-01;4.669603e-01;-3.548362e-02
526154630854820;4.072712e+00;2.338161e+00;-3.221013e-01
526154833384924;-2.708498e+00;-2.673495e+00;7.945595e-01
526155035844768;-2.927066e+00;4.880961e-01;4.017734e-01
526155238313309;4.531837e+00;1.951484e+00;-1.996765e-02
526155441294820;-1.027398e+00;-5.804284e-01;1.155221e-01
526155643943570;-1.749929e+00;-1.105405e+00;7.445906e-01
526155846591747;-5.893312e-02;4.716028e-01;-1.371315e-01
526156048864924;4.547109e+00;2.502850e+00;1.720882e-01
526156251082737;-2.151267e+00;-2.385167e+00;5.348197e-01
526156453828570;-3.475744e+00;4.727024e-01;3.483838e-01
526156656046382;4.201970e+00;1.988258e+00;9.731843e-02
526156858780237;-3.762164e-01;-3.938702e-01;5.700055e-01
526157061545966;-1.520366e+00;-1.980270e-01;4.222984e-01
526157264436434;-9.735199e-01;3.059363e-01;-8.826233e-02
526157466750601;4.279061e+00;1.953439e+00;4.172973e-02
526157669283309;-2.557858e+00;-2.410824e+00;3.763614e-01
526157871310237;-3.546849e+00;7.494241e-01;7.654899e-02
526158074272216;3.375592e+00;1.517037e+00;-4.527042e-01
526158276247372;9.733058e-01;3.874409e-02;6.386667e-01
526158479246122;-1.759703e+00;-2.579544e+00;1.975002e-01
526158681796070;-2.036180e+00;7.964607e-01;4.396470e-01
526158884928257;4.839346e+00;2.228938e+00;-2.864192e-02
526159086908518;-1.256717e+00;-1.046640e+00;9.744056e-02
526159289700653;-3.300426e+00;-8.068149e-01;4.319500e-01
526159491537320;1.621067e+00;7.701935e-01;-1.287016e-01
526159694715862;3.696541e+00;1.546603e+00;7.935899e-02
526159896448518;-2.047542e+00;-2.659445e+00;4.758101e-01
526160099712528;-3.390467e+00;9.629824e-01;3.081889e-01
526160302046278;4.629576e+00;2.004385e+00;2.462472e-01
526160505420080;-1.140408e+00;-5.627134e-01;-1.129338e-02
526160707065289;-2.743562e+00;-1.142424e+00;5.332315e-01
526160910116434;-4.103024e-01;3.822944e-01;-1.133078e-01
526161111762945;4.283216e+00;2.284649e+00;2.863199e-01
526161315157945;-2.751747e+00;-2.607889e+00;7.272421e-01
526161516648830;-3.464382e+00;1.079658e+00;3.037906e-01
526161720178414;4.311804e+00;2.212934e+00;-1.742721e-01
526161922296330;-6.655219e-01;-4.121962e-01;1.073366e-01
526162125911903;-1.525497e+00;-1.732153e+00;5.844219e-01
526162327222320;-7.588618e-01;2.546237e-01;-1.142852e-01
526162530532737;4.832016e+00;2.710055e+00;1.825951e-01
526162731987789;-2.881250e+00;-2.611554e+00;4.949914e-01
526162935598987;-3.224801e+00;2.455829e-01;2.406272e-01
526163136848205;3.896416e+00;1.834442e+00;-4.843470e-01
526163340643257;1.269453e+00;3.300200e-02;7.764778e-01
526163542544820;-1.933555e+00;-1.879615e+00;5.910193e-01
526163746401695;-2.015655e+00;6.488758e-01;-1.376202e-01
526163947378778;4.911429e+00;2.516900e+00;3.437412e-01
526164150549455;-2.611004e+00;-2.306366e+00;5.345753e-01
526164352211955;-3.465604e+00;6.502197e-01;1.184543e-01
526164555639924;2.665279e+00;1.322538e+00;-3.075628e-01
526164757046174;1.753869e+00;3.055852e-02;1.004208e+00
526164960890705;-2.506058e+00;-2.434769e+00;4.200993e-01
526165162571643;-2.356029e+00;7.604198e-01;-1.884441e-01
526165366556799;4.674536e+00;2.256549e+00;-1.057330e-01
526165567794091;-1.539425e+00;-9.215353e-01;9.768490e-02
526165770774091;-3.023826e+00;-1.722623e+00;4.947470e-01
526165972653570;1.641470e+00;9.602946e-01;-1.130634e-01
526166175839299;3.089707e+00;1.164812e+00;6.213182e-01
526166377510028;-2.400622e+00;-2.598848e+00;5.566887e-01
526166581138674;-2.497383e+00;8.511941e-01;2.032423e-01
526166783061382;4.703613e+00;1.945009e+00;5.932257e-02
526166986712112;-4.398685e-01;-4.305221e-01;6.701948e-02
526167188207320;-2.852296e+00;-7.821358e-01;6.309698e-01
