#time;x;y;z
738136351625501;1.160643e-02;2.008141e-01;-7.147881e-02
738136554037012;-2.254091e-01;-6.165229e-01;6.059015e-02
738136756569616;-1.287825e+00;-2.757115e+00;2.557993e-03
738136959032585;5.448911e-02;-2.397438e+00;3.630904e-01
738137161504251;-4.379900e-01;5.772289e-01;-1.356196e-01
738137364488887;-2.756222e-01;2.872736e+00;-6.228453e-01
738137567140762;-1.919337e-01;2.262239e+00;-1.520939e+00
738137769792585;8.955277e-02;-5.490857e+00;4.732904e-01
738137972069408;2.453110e+00;-3.350998e+00;2.095502e+00
738138174290085;2.063012e+00;-1.167889e+00;-6.811218e-01
738138377038783;1.262047e-01;-8.220178e-01;1.640653e+00
738138579259460;7.269290e-01;3.771097e-01;2.543877e+00
738138781996179;-6.530144e-01;4.752146e-01;4.226420e-02
738138984765033;3.244914e-01;-9.211001e-01;1.591173e+00
738139187658626;1.282816e-02;-3.152443e-01;-2.003713e-01
738139389976543;-8.478804e-02;-8.349681e-01;1.764414e+00
738139592512793;-4.937009e-01;-7.566553e-01;-1.797240e-01
738139794543158;-1.531438e+00;-1.315596e+00;-4.854008e-01
738139997508470;-6.537475e-01;-6.387584e-01;-6.170497e-02
738140199486751;-1.268155e-01;-4.358291e-01;-1.909639e-01
738140402488626;1.641394e+00;2.636088e+00;2.616868e-01
738140605041699;2.382128e+00;4.446713e-01;5.254582e-01
738140808177012;-2.811199e+00;-1.179251e+00;-7.962087e-01
738141010160397;-2.649931e-01;-1.009530e-01;3.896552e-02
738141212955658;9.657772e-01;2.278487e+00;5.843455e-01
738141414795814;1.226372e+00;-1.586187e-01;6.461651e-01
738141617977637;-2.933372e+00;-2.097748e+00;-1.390580e+00
738141819714512;6.685303e-01;5.692878e-01;3.661447e-01
738142022982116;1.124724e+00;2.295836e+00;6.638802e-01
738142225319408;9.773402e-04;-5.858575e-01;7.024182e-02
738142428696439;-2.206199e+00;-1.938801e+00;-1.501269e+00
738142630344772;-2.040285e-02;1.681795e+00;7.668719e-01
738142833399043;2.225380e+00;1.211795e+00;1.315917e+00
738143035048679;-1.353188e+00;-1.796469e+00;-1.144035e+00
738143238446804;-8.659620e-01;-1.128916e+00;-7.640772e-01
738143439941647;1.448971e-01;1.899629e+00;5.437841e-01
738143643474564;1.968328e+00;9.867528e-01;1.718111e+00
738143845596074;-2.223914e+00;-2.304098e+00;-1.841765e+00
738144049214824;3.645641e-01;3.172683e-02;1.661476e-01
738144250529772;2.057392e-01;2.046359e+00;7.834874e-01
738144453843470;9.189849e-01;-8.238274e-02;8.084107e-01
738144655301647;-1.963808e+00;-2.051810e+00;-1.896010e+00
738144858915970;3.865551e-01;8.230410e-01;5.850786e-01
738145060168783;1.410609e+00;1.296095e+00;1.252632e+00
738145263967012;-2.486219e-01;-8.435202e-01;5.839103e-02
738145465872741;-1.415251e+00;-1.608445e+00;-1.491739e+00
738145669733210;1.734856e-01;2.199075e+00;7.619851e-01
738145870714460;2.003270e+00;8.039820e-01;2.089394e+00
738146073888262;-1.918604e+00;-1.802211e+00;-1.501024e+00
738146275555449;1.390328e-01;-2.339993e-01;-1.566333e-01
738146478986543;1.912007e-01;1.888878e+00;8.378544e-01
738146680395918;1.154534e+00;1.927508e-01;8.881897e-01
738146884243731;-2.405830e+00;-2.586928e+00;-2.534363e+00
738147085929199;8.778126e-01;1.024504e+00;1.316895e+00
738147289917897;9.541707e-01;1.817162e+00;1.235649e+00
738147491157845;-3.900982e-01;-9.375933e-01;-2.031812e-01
738147694141126;-1.481103e+00;-2.042403e+00;-1.885258e+00
738147896025137;-1.954746e-03;2.537494e+00;9.690682e-01
738148099214199;1.814635e+00;8.805844e-01;2.260803e+00
738148300889929;-1.513845e+00;-2.180825e+00;-1.967481e+00
738148504521908;-2.840520e-01;-1.213324e-02;-1.517464e-01
738148706448626;1.193629e-01;1.995901e+00;9.428009e-01
738148910103001;1.021244e+00;-2.728273e-02;9.867833e-01
738149111601751;-2.049940e+00;-2.309962e+00;-2.538273e+00
738149314394408;7.611375e-02;1.272760e+00;4.183125e-01
738149516494304;1.371758e+00;1.032323e+00;1.684635e+00
738149719441439;-7.728660e-01;-1.211749e+00;-6.488681e-01
