#time;x;y;z
526237040337039;-2.016501e+00;5.146115e+00;1.041323e+01
526237060446258;-2.593479e+00;5.112597e+00;1.141396e+01
526237080555476;-3.033993e+00;5.016833e+00;1.185687e+01
526237100664695;-3.622941e+00;4.554772e+00;1.202925e+01
526237120773914;-3.895869e+00;4.142987e+00;1.161746e+01
526237140883133;-3.883898e+00;3.601921e+00;1.058082e+01
526237160992351;-3.651671e+00;3.175771e+00;1.160070e+01
526237181101570;-3.649276e+00;3.496581e+00;1.208910e+01
526237201210789;-3.610971e+00;3.386452e+00;1.008045e+01
526237221320008;-3.575060e+00;3.123101e+00;7.628893e+00
526237241365893;-3.891080e+00;3.084796e+00;7.068675e+00
526237261579435;-3.773770e+00;3.326600e+00;7.035157e+00
526237282023966;-2.792189e+00;3.276324e+00;7.406242e+00
526237302468497;-1.391641e+00;3.185348e+00;7.480460e+00
526237322913029;5.332140e-01;2.950726e+00;7.336813e+00
526237343357560;1.419030e+00;2.668223e+00;7.466094e+00
526237363802091;7.354699e-02;2.761593e+00;6.635343e+00
526237384246622;4.589969e-01;2.840598e+00;5.979360e+00
526237404691154;1.031186e+00;2.910027e+00;5.423929e+00
526237425135685;8.396586e-01;2.809474e+00;5.495751e+00
526237445400268;1.744628e+00;3.503763e+00;6.149341e+00
526237465484956;1.598588e+00;3.532492e+00;6.728713e+00
526237485569643;1.136527e+00;3.494187e+00;7.444548e+00
526237505654331;1.557888e+00;3.673744e+00;7.861121e+00
526237525739018;2.362305e+00;4.044829e+00;8.119683e+00
526237545823706;2.647203e+00;4.631384e+00;8.737361e+00
526237565908393;2.211477e+00;5.083869e+00;9.053382e+00
526237585993081;2.118107e+00;4.628989e+00;8.545833e+00
526237606077768;4.378137e+00;5.442983e+00;8.495557e+00
526237626162456;5.639826e+00;5.526776e+00;9.630360e+00
526237646389018;4.148303e+00;5.222726e+00;1.026240e+01
526237666757404;3.777218e+00;5.320884e+00;9.615994e+00
526237687125789;5.240012e+00;4.662507e+00;1.021931e+01
526237707494174;6.346086e+00;4.284240e+00;9.941592e+00
526237727862560;7.040374e+00;3.484610e+00;1.019297e+01
526237748230945;7.942949e+00;2.754410e+00;9.297580e+00
526237768599331;8.601327e+00;2.373749e+00;7.238656e+00
526237788967716;8.445711e+00;1.538208e+00;5.866837e+00
526237809336101;8.462469e+00;1.978722e+00;5.469417e+00
526237829504799;5.134672e+00;2.246861e+00;6.788565e+00
526237849566674;5.333382e+00;2.455148e+00;9.333491e+00
526237869721414;5.383658e+00;1.413715e+00;6.036818e+00
526237889876154;5.603915e+00;1.983510e+00;2.290053e+00
526237910030893;6.183287e+00;1.368227e+00;2.000367e+00
526237930185633;6.738718e+00;1.169517e+00;4.777522e+00
526237950340372;4.969479e+00;1.717766e+00;6.235528e+00
526237970495112;4.150697e+00;1.485538e+00;5.227612e+00
