#time;x;y;z
526237064399279;-9.289724e-02;2.081980e-01;-1.574122e-01
526237267041362;-4.439460e-02;-1.014142e+00;4.120359e-01
526237469327612;-3.449859e-02;-1.095265e+00;2.147266e-01
526237671876674;-4.490314e-01;-1.945589e+00;-2.963229e-01
526237873879279;-9.472526e-01;-8.609374e-01;-4.244747e-02
526238076855039;-1.192454e+00;1.803899e+00;-6.715159e-01
526238279447383;-1.301065e+00;-3.140914e-01;3.802709e-01
526238482529154;-8.141301e-02;-2.338375e+00;1.348369e+00
526238684554154;-1.031308e+00;-2.796768e+00;-6.286332e-01
526238887532643;-2.065181e-01;1.643379e-01;-9.894100e-01
526239089458060;-1.035828e+00;-3.897164e-01;2.429722e+00
526239292290925;-7.614275e-01;1.798538e-01;2.418727e+00
526239494078737;1.713552e+00;5.506487e-01;3.832031e-01
526239697294206;4.811934e-01;9.502764e-01;-2.905807e-01
526239899692539;-3.530034e-01;1.107391e+00;-5.955167e-02
526240102994883;-8.919083e-01;-2.982089e-01;2.028750e+00
526240304708737;-1.805395e+00;6.790525e-01;-1.176212e+00
526240508023008;2.650695e-01;-6.839089e-01;4.372035e-01
526240709588737;2.631070e+00;5.968300e-01;6.227842e-01
526240912706550;5.612166e-01;7.431932e-01;-3.155040e-01
526241114278945;1.895666e-01;-7.752942e-01;2.651840e-01
526241317733008;-2.251204e+00;-1.688293e+00;4.793532e-01
526241519938841;-1.100824e+00;-1.331303e+00;-1.695073e-01
526241723460300;1.644158e+00;1.427973e+00;-3.243005e-01
526241924862175;1.646357e+00;7.310982e-01;1.216308e-01
526242128512383;-3.428631e-01;1.222478e+00;-2.448880e-01
526242329717956;-6.686983e-01;-1.759397e+00;3.882121e-01
526242533120300;-2.033370e+00;-9.110285e-01;-1.677969e-01
526242734478945;-4.098139e-01;2.813796e-01;4.362261e-01
526242938172383;2.421911e+00;1.747577e+00;-4.759170e-01
526243140186445;8.231555e-01;5.091099e-01;-2.184987e-01
526243343927331;-3.205054e-01;2.129627e-01;-2.084805e-01
526243545015872;-1.487623e+00;-1.655184e+00;6.320693e-01
526243749002331;-1.612851e+00;-1.116768e+00;3.498498e-01
526243949846602;1.159742e+00;5.436849e-01;-3.985816e-01
526244153133685;2.146411e+00;1.032499e+00;4.588357e-02
526244354677956;-4.696786e-01;1.076970e+00;-4.496499e-01
526244558418425;4.369215e-02;-1.086591e+00;2.314643e-01
526244760188685;-2.089814e+00;-1.801791e+00;1.474093e-01
526244964080925;-9.526283e-01;-2.539666e-02;5.238242e-01
526245165044466;2.618853e+00;1.537195e+00;-3.124497e-01
526245369132435;1.507080e+00;2.818682e-01;-4.892264e-02
526245570260508;-8.115186e-01;3.924871e-03;-1.350546e-01
526245773333685;-1.432890e+00;-1.330692e+00;5.995713e-01
526245975115404;-1.829830e+00;-3.333801e-02;3.109989e-01
526246178664362;1.158398e+00;2.024558e-01;-5.311393e-01
526246380653216;2.351906e+00;8.436194e-01;1.639026e-01
526246584234258;-4.109591e-02;1.138179e+00;-3.759797e-01
