#time;x;y;z
525429016514517;2.411339e-01;2.847780e+00;9.398131e+00
525429035810976;3.763551e-02;2.842992e+00;8.586533e+00
525429055107434;-4.818839e-01;2.941150e+00;8.260935e+00
525429074403892;-2.424740e-01;3.003397e+00;8.711025e+00
525429093700351;-3.861200e-01;2.938756e+00;8.265723e+00
525429112996809;-6.782000e-01;2.950726e+00;7.899427e+00
525429132293267;-2.783855e-01;3.048884e+00;8.840306e+00
525429151589726;-4.244256e-01;3.259565e+00;9.283216e+00
525429170886184;-4.387901e-01;2.965091e+00;1.000623e+01
525429190182642;-8.745162e-01;2.780745e+00;1.019297e+01
525429209470298;-6.470768e-01;3.010579e+00;9.833858e+00
525429228749153;-3.669672e-01;3.340965e+00;9.048594e+00
525429248028007;-3.526026e-01;3.266748e+00;8.373458e+00
525429267306861;-3.837259e-01;3.221259e+00;8.201082e+00
525429286585715;-7.728124e-02;3.266748e+00;8.169959e+00
525429305864569;8.072929e-02;3.147043e+00;8.280087e+00
525429325143423;-1.826216e-01;3.017761e+00;8.280087e+00
525429344422278;-1.562865e-01;3.115919e+00;8.622443e+00
525429363701132;-5.812845e-02;3.106343e+00;8.933677e+00
525429382979986;4.118115e-03;2.866933e+00;9.544171e+00
525429402258892;-4.220315e-01;2.941150e+00;1.005890e+01
525429421537851;-1.197719e+00;3.451093e+00;9.438831e+00
525429440816809;-3.741494e-01;3.328994e+00;9.276032e+00
525429460095767;1.310054e-01;2.883692e+00;8.833124e+00
525429479374726;9.569694e-01;2.318684e+00;8.675115e+00
525429498653684;1.859545e+00;1.542996e+00;9.091687e+00
525429517932642;2.635233e+00;1.576514e+00;9.505867e+00
525429537211601;2.692691e+00;1.610031e+00;1.030071e+01
525429556490559;2.975195e+00;1.686642e+00;1.206516e+01
525429575769517;2.297665e+00;2.139127e+00;1.211065e+01
525429594969517;1.924185e+00;2.364172e+00;1.080347e+01
525429614177382;9.952750e-01;2.529365e+00;9.864982e+00
525429633472069;1.284961e+00;2.701740e+00;8.809183e+00
525429652766757;2.941677e+00;2.629917e+00;8.258540e+00
525429672061444;3.406132e+00;2.112792e+00;8.399793e+00
525429691356132;4.232097e+00;2.021816e+00;6.788565e+00
525429710650819;5.216071e+00;2.854963e+00;6.822082e+00
525429729945507;5.381264e+00;3.072825e+00;6.139764e+00
525429749240194;2.793243e+00;2.620341e+00;9.115628e+00
525429768534882;-7.931167e-01;1.645942e+00;9.776400e+00
525429787829569;9.665458e-01;2.629917e+00;1.119371e+01
525429807116340;2.750149e+00;3.216471e+00;1.020015e+01
525429826395194;3.020682e+00;2.771169e+00;9.043805e+00
525429845674048;3.942410e+00;2.998608e+00;7.442153e+00
525429864952903;4.414048e+00;2.395296e+00;6.860387e+00
525429884231757;4.488265e+00;2.189403e+00;6.975305e+00
525429903510611;4.579241e+00;2.119974e+00;7.039945e+00
525429922789465;5.493786e+00;1.918870e+00;7.276961e+00
525429942068319;6.293416e+00;1.940417e+00;8.019131e+00
525429961347173;7.160079e+00;1.818318e+00;8.074196e+00
525429980626028;7.157685e+00;1.715372e+00;7.693534e+00
525429999904934;6.489731e+00;1.588484e+00;6.922635e+00
525430019183892;5.570397e+00;1.519055e+00;5.890778e+00
525430038462851;6.178499e+00;1.502296e+00;4.834980e+00
525430057741809;6.669289e+00;1.526237e+00;5.294647e+00
525430077020767;7.813668e+00;1.945205e+00;5.905142e+00
525430096299726;8.926925e+00;1.918870e+00;6.977698e+00
525430115578684;9.264492e+00;1.643548e+00;6.163705e+00
525430134857642;8.060261e+00;1.918870e+00;8.665538e+00
525430154136601;6.571131e+00;2.617947e+00;5.902748e+00
525430173415559;6.578313e+00;2.838204e+00;6.237922e+00
525430192623267;7.346819e+00;2.562882e+00;6.635343e+00
525430211838007;7.732269e+00;2.313896e+00;7.020792e+00
525430231131080;6.381997e+00;2.000269e+00;6.934605e+00
525430250424153;4.552906e+00;1.483144e+00;7.746204e+00
525430269717226;4.227308e+00;1.052206e+00;6.604219e+00
525430289010298;5.082001e+00;8.271607e-01;5.060026e+00
525430308303371;5.283106e+00;2.884885e-01;4.856527e+00
525430327596444;6.085129e+00;-1.017495e-01;4.056898e+00
525430346889517;6.717171e+00;-1.238946e+00;4.518959e+00
525430366182590;6.968552e+00;-2.309109e+00;5.507722e+00
525430385475663;6.793782e+00;-2.112792e+00;5.131848e+00
525430404761705;4.303919e+00;-1.485539e+00;5.811772e+00
525430424040715;4.232097e+00;-2.582036e+00;5.974571e+00
525430443319726;5.472239e+00;-3.451094e+00;5.799802e+00
525430462598736;8.486410e+00;-3.453488e+00;7.078250e+00
525430481877746;1.213741e+01;-4.176506e+00;8.260935e+00
525430501156757;1.103613e+01;-4.166929e+00;7.640864e+00
525430520435767;9.015507e+00;-4.569138e+00;5.601092e+00
525430539714778;8.721032e+00;-4.248328e+00;5.423929e+00
525430558993788;7.919008e+00;-3.307448e+00;6.300169e+00
525430578272798;8.282912e+00;-3.113526e+00;4.676970e+00
525430597484048;1.032987e+01;-3.611498e+00;2.105707e+00
525430616702069;1.080390e+01;-3.319418e+00;9.637225e-01
525430635994517;1.039930e+01;-2.910028e+00;1.904286e-01
525430655286965;1.008327e+01;-3.273931e+00;-8.055164e-01
525430674579413;1.020298e+01;-3.522917e+00;-1.061685e+00
525430693871861;1.033226e+01;-3.283507e+00;-1.614722e+00
525430713164309;1.148622e+01;-3.594740e+00;-2.404774e+00
525430732456757;1.160113e+01;-3.867667e+00;-3.628159e+00
525430751749205;1.255638e+01;-3.223654e+00;-3.541971e+00
525430771041653;1.426337e+01;-2.608371e+00;-2.883594e+00
525430790334101;1.542211e+01;-2.359385e+00;-3.015270e+00
525430809619726;1.623611e+01;-1.689037e+00;-3.625765e+00
525430828898528;1.525692e+01;-3.698886e-01;-4.063885e+00
525430848177330;1.353078e+01;1.088117e+00;-1.985807e+00
525430867456132;1.234091e+01;2.996214e+00;-4.152784e-01
525430886734934;1.064828e+01;3.601921e+00;-9.036745e-01
525430906013736;9.743313e+00;3.920336e+00;1.805349e-02
525430925292538;9.084935e+00;3.443910e+00;8.936070e+00
525430944571340;7.614958e+00;-1.430474e+00;1.498596e+01
525430963850142;1.091642e+01;3.834149e+00;-7.217230e-01
525430983128944;8.053078e+00;2.079274e+00;-3.578200e-01
525431002407851;7.895067e+00;5.949332e-01;2.132043e+00
525431021686861;8.443316e+00;1.835076e+00;8.535939e-01
525431040965871;7.818457e+00;3.531293e-01;-4.898126e-02
525431060244882;9.738524e+00;2.034950e-02;-9.731033e-01
525431079523892;1.470388e+01;-1.509480e+00;-4.200666e-01
525431098802903;1.942984e+01;-2.993821e+00;-2.146212e+00
525431118081913;1.194349e+01;-8.110010e+00;-8.085971e+00
525431137360923;8.215878e+00;-7.188282e+00;2.098525e+00
525431156639934;7.500041e+00;-7.056606e+00;9.173086e+00
525431175918944;6.398756e+00;-5.936168e+00;7.762963e+00
525431195136809;1.323267e+00;-6.977601e+00;2.457640e+00
525431214360663;-1.061850e+01;-2.907633e+00;1.794475e+00
525431233651705;1.739840e+00;-7.363051e+00;-9.838451e+00
525431252942746;1.013355e+01;-9.931919e+00;-1.025502e+01
525431272233788;2.386371e+01;-1.015696e+01;4.566841e+00
525431291524830;3.155355e+01;-7.530638e+00;1.270438e+01
525431310815871;1.483317e+01;-5.926592e+00;-2.610667e+00
525431330106913;1.340868e+01;-4.943817e-01;3.238116e+00
525431349397955;9.156758e+00;-1.995482e+00;4.502201e+00
525431368688996;5.675738e+00;-5.818857e+00;5.297041e+00
525431387980038;2.426946e+00;-7.793989e+00;-9.446914e-02
525431407265038;1.462124e+00;-1.024555e+01;-2.713613e+00
525431426543996;3.355856e+00;-1.217998e+01;7.626182e-01
525431445822955;7.121773e+00;-9.735603e+00;2.515099e+00
525431465101913;8.711455e+00;-7.329534e+00;1.715469e+00
525431484380871;7.942949e+00;-8.337449e+00;-2.452974e-01
525431503659830;5.900784e+00;-7.657525e+00;-8.414279e-01
525431522938788;4.878503e+00;-8.615165e+00;1.746593e+00
525431542217746;4.234490e+00;-9.680539e+00;3.640325e+00
525431561496705;4.809074e+00;-9.194537e+00;2.416940e+00
525431580775663;5.517727e+00;-8.380543e+00;1.361143e+00
525431600054569;8.278124e+00;-8.382937e+00;1.962062e+00
525431619333423;1.141200e+01;-1.171552e+01;5.632215e+00
525431638612278;6.343691e+00;-1.884754e+01;3.350639e+00
525431657891132;-9.439450e-01;-1.996080e+01;-2.696855e+00
525431677169986;-2.011713e+00;-1.658512e+01;-1.088020e+00
525431696448840;-6.805941e-01;-1.209858e+01;-3.147262e-01
525431715727694;2.195870e-01;-7.984323e-01;3.041800e+00
525431735006548;9.642760e+00;-1.431551e+01;-4.703426e-01
525431754285403;-2.664150e-01;-1.578549e+01;-3.192433e+00
525431773564257;-8.676884e+00;-1.524442e+01;-1.145478e+00
525431792788007;-6.184627e+00;-1.156230e+01;1.981215e+00
525431812017330;-3.033993e+00;-9.579988e+00;2.548616e+00
525431831307278;1.474095e+00;-7.389386e+00;7.551187e-02
525431850597226;1.861939e+00;-8.059734e+00;-9.324037e-01
525431869887173;1.980401e-01;-9.917554e+00;-1.016514e-01
525431889177121;-1.323455e-01;-1.004923e+01;2.000050e-01
525431908467069;-1.283907e+00;-9.553651e+00;-4.823132e-01
525431927757017;-2.368434e+00;-9.757151e+00;1.188768e+00
525431947046965;-2.140994e+00;-9.086802e+00;2.196683e+00
525431966336913;-2.260699e+00;-8.284779e+00;2.215836e+00
525431985626861;-2.344493e+00;-6.836349e+00;2.146407e+00
525432004911288;-2.638967e+00;-5.586630e+00;2.297235e+00
525432024190246;-2.224788e+00;-5.062322e+00;2.653956e+00
525432043469205;-7.691757e-01;-5.562689e+00;3.410491e+00
525432062748163;1.354390e+00;-7.329534e+00;4.887650e+00
525432082027121;2.422158e+00;-1.079858e+01;6.867570e+00
525432101306080;3.492320e+00;-1.411441e+01;7.995190e+00
525432120585038;4.720492e+00;-1.329802e+01;5.603486e+00
525432139863996;4.696551e+00;-1.155512e+01;4.660211e+00
525432159142955;2.807608e+00;-1.120319e+01;4.353766e+00
525432178421913;-2.688091e-01;-1.212491e+01;1.066669e+00
525432197648476;-2.358857e+00;-1.234757e+01;-2.955734e-01
525432216880246;-4.568611e+00;-1.353983e+01;-1.674574e+00
525432236169569;-5.720172e+00;-1.394922e+01;-1.511776e+00
525432255458892;-4.484817e+00;-1.079858e+01;1.064275e+00
525432274748215;-2.509686e+00;-7.631190e+00;2.120072e+00
525432294037538;-1.923131e+00;-7.044636e+00;1.827992e+00
525432313326861;-2.093112e+00;-8.373361e+00;1.209997e-01
525432332616184;-1.844126e+00;-9.986983e+00;-6.882056e-01
525432351905507;-1.695692e+00;-1.169637e+01;-8.318515e-01
525432371194830;-1.528105e+00;-1.262767e+01;-2.500856e-01
525432390484153;-9.882811e-02;-1.165328e+01;1.622100e+00
525432409768267;1.342419e+00;-1.044904e+01;3.726512e+00
525432429047226;2.539469e+00;-9.979801e+00;4.540506e+00
525432448326184;3.554566e+00;-9.893613e+00;3.434433e+00
525432467605142;3.451620e+00;-1.000614e+01;2.179925e+00
525432486884101;2.960830e+00;-9.754756e+00;1.753775e+00
525432506163059;2.094166e+00;-9.615898e+00;1.732228e+00
525432525442017;3.081687e-01;-9.900796e+00;1.629282e+00
525432544720976;-1.264754e+00;-1.011866e+01;1.825598e+00
525432563999934;-2.196059e+00;-1.017612e+01;1.677164e+00
525432583278892;-2.746701e+00;-1.016415e+01;1.576612e+00
525432602557798;-3.005264e+00;-1.013542e+01;2.256536e+00
525432621836653;-2.497715e+00;-9.919950e+00;2.579739e+00
525432641115507;-1.310242e+00;-9.824185e+00;2.847878e+00
525432660394361;-1.299514e-01;-9.752362e+00;3.077712e+00
525432679673215;4.973025e-01;-9.706874e+00;3.369792e+00
525432698952069;7.750179e-01;-9.469858e+00;3.388945e+00
525432718230923;1.174832e+00;-8.931186e+00;2.792814e+00
525432737509778;1.586617e+00;-8.279991e+00;2.565375e+00
525432756788632;1.859545e+00;-7.870600e+00;1.626888e+00
525432776067486;1.553100e+00;-7.983123e+00;1.914180e+00
525432795299101;9.641517e-01;-8.409272e+00;1.559853e+00
525432814535455;6.481307e-01;-8.435608e+00;1.212709e+00
525432833823788;2.722572e-01;-7.872994e+00;1.107368e+00
525432853112121;1.381876e-01;-6.841138e+00;8.488058e-01
525432872400455;-2.783855e-01;-7.042242e+00;9.661167e-01
525432891688788;-8.529692e-01;-9.062861e+00;1.768140e+00
525432910977121;-8.266341e-01;-1.123910e+01;4.061687e+00
525432930265455;-5.776479e-01;-1.260613e+01;7.317660e+00
525432949553788;-4.986426e-01;-1.230447e+01;8.873824e+00
525432968842121;-7.404466e-01;-1.048735e+01;5.538845e+00
525432988130455;-5.010367e-01;-8.921610e+00;4.447136e+00
525433007414153;2.004342e-01;-8.694170e+00;5.024114e+00
525433026693163;-6.279240e-01;-9.862491e+00;5.303906e-01
525433045972173;-7.955108e-01;-1.070282e+01;-1.147873e+00
525433065251184;-7.739640e-01;-1.400667e+01;8.248648e-01
525433084530194;-8.936688e-01;-1.730095e+01;2.266112e+00
525433103809205;-1.865673e+00;-1.575916e+01;2.740144e+00
525433123088215;-2.880771e+00;-1.148330e+01;3.293180e+00
525433142367226;-3.773770e+00;-7.698225e+00;2.926883e+00
525433161646236;-2.629390e+00;-4.408733e+00;4.068869e+00
525433180925246;-1.420371e+00;-3.111132e+00;3.654690e+00
525433200204153;-1.097167e+00;-2.989033e+00;2.838302e+00
525433219483007;-8.457869e-01;-3.295477e+00;1.638858e+00
525433238761861;-2.616268e-01;-4.020889e+00;1.583794e+00
525433258040715;2.254571e+00;-6.367106e+00;2.838302e+00
525433277319569;2.369488e+00;-9.661386e+00;3.757636e+00
525433296598423;-1.860885e+00;-1.228053e+01;4.090415e+00
525433315877278;-1.925526e+00;-1.358771e+01;7.303296e+00
525433335156132;2.848307e+00;-1.093505e+01;6.860387e+00
525433354434986;2.891401e+00;-7.999882e+00;6.022453e+00
525433373713840;-5.513127e-01;-8.665441e+00;7.748599e+00
525433392950038;-5.090524e+00;-1.140429e+01;6.841235e+00
525433412190559;-5.325146e+00;-1.561790e+01;-6.706970e+00
525433431478059;-7.379282e+00;-1.703760e+01;8.806789e+00
525433450765559;-6.835822e+00;-1.878769e+01;-9.207504e-02
525433470053059;1.694352e+00;-1.751642e+01;-7.169348e-01
525433489340559;5.149036e+00;-1.378881e+01;3.144747e+00
525433508628059;5.816990e+00;-1.108827e+01;2.756902e+00
525433527915559;4.866532e+00;-1.056875e+01;-1.447452e-01
525433547203059;3.188269e+00;-1.017372e+01;-4.487957e-01
525433566490559;2.079802e+00;-9.924737e+00;1.658011e+00
525433585778059;-5.573437e-02;-9.637445e+00;4.413619e+00
525433605061236;-1.681327e+00;-7.997487e+00;4.506989e+00
525433624340090;-1.939890e+00;-5.718305e+00;2.227807e+00
525433643618944;-1.722027e+00;-4.652931e+00;1.756169e+00
525433662897798;-1.312636e+00;-4.576320e+00;2.392999e+00
525433682176653;-5.812845e-02;-5.632117e+00;3.546955e+00
525433701455507;8.995110e-01;-7.803565e+00;3.944376e+00
525433720734361;2.151625e+00;-9.450706e+00;3.965922e+00
525433740013215;3.118840e+00;-1.021203e+01;3.398521e+00
525433759292069;3.439650e+00;-1.082492e+01;3.192629e+00
525433778570923;2.843519e+00;-1.096138e+01;3.697783e+00
525433797849830;1.773357e+00;-1.068845e+01;5.057631e+00
525433817128788;8.923287e-01;-1.128219e+01;6.297774e+00
525433836407746;7.319242e-01;-1.297242e+01;7.755781e+00
525433855686705;-1.054074e+00;-1.577831e+01;6.123005e+00
525433874965663;-2.490533e+00;-1.754037e+01;2.230201e+00
525433894244621;-1.659781e+00;-1.592674e+01;1.892633e+00
525433913523580;-2.033260e+00;-1.345124e+01;1.540700e+00
525433932802538;-4.444118e+00;-1.214167e+01;2.397788e+00
525433952081496;-4.642828e+00;-1.056157e+01;3.767212e+00
525433971360455;-3.517601e+00;-8.888092e+00;2.725779e+00
525433990600871;-3.098634e+00;-7.008724e+00;2.108102e+00
525434009845142;-2.746701e+00;-5.708729e+00;1.739411e+00
525434029131757;-2.389981e+00;-5.229909e+00;1.607735e+00
525434048418371;-2.241547e+00;-5.225121e+00;2.081767e+00
525434067704986;-1.681327e+00;-5.091051e+00;2.179925e+00
525434086991601;-1.250390e+00;-4.961770e+00;1.830386e+00
525434106278215;-7.787521e-01;-4.949800e+00;1.420995e+00
525434125564830;6.696776e-01;-6.259372e+00;2.076978e+00
525434144851444;1.574647e+00;-8.200986e+00;2.421729e+00
525434164138059;-4.244256e-01;-9.319030e+00;3.295575e+00
525434183424673;-1.101955e+00;-1.098772e+01;7.145286e+00
525434202707382;2.467646e+00;-1.082492e+01;1.007566e+01
525434221986236;3.501896e+00;-9.012586e+00;7.159650e+00
525434241265090;3.188269e+00;-7.463603e+00;6.005694e+00
525434260543944;1.014428e+00;-8.098040e+00;6.434238e+00
525434279822798;-2.768248e+00;-1.126064e+01;3.822277e+00
525434299101653;-5.442457e+00;-1.625234e+01;-6.666588e-01
525434318380507;-7.245213e+00;-1.902710e+01;4.119144e+00
525434337659361;-3.603789e+00;-1.718843e+01;2.804785e+00
525434356938215;-3.897563e-02;-1.608954e+01;6.187646e+00
525434376217069;-8.206943e-02;-1.400907e+01;-1.231983e-01
525434395459361;3.348674e+00;-1.071000e+01;-3.089487e+00
525434414705403;3.571325e+00;-1.144499e+01;-6.044121e-01
525434433991705;2.596927e+00;-1.352067e+01;9.924518e-01
525434453278007;3.248122e+00;-1.276893e+01;2.211048e+00
525434472564309;2.197113e+00;-1.154554e+01;2.325965e+00
525434491850611;5.427903e-01;-1.036046e+01;2.948430e+00
525434511136913;-1.070832e+00;-9.271149e+00;3.740877e+00
525434530423215;-2.131418e+00;-8.244080e+00;3.973105e+00
525434549709517;-2.069172e+00;-7.135612e+00;4.183785e+00
525434568995819;-1.236025e+00;-6.225854e+00;3.558925e+00
525434588282121;-2.328976e-01;-5.457349e+00;2.826331e+00
525434607564673;5.547608e-01;-5.038381e+00;2.977160e+00
525434626843528;1.031186e+00;-5.229909e+00;2.661139e+00
525434646122382;2.146837e+00;-6.223460e+00;2.625227e+00
525434665401236;2.867460e+00;-7.743713e+00;2.907731e+00
525434684680090;3.296004e+00;-9.161019e+00;3.051377e+00
525434703958944;3.073353e+00;-1.041074e+01;3.755242e+00
525434723237798;1.416636e+00;-1.103799e+01;4.964262e+00
525434742516653;1.724035e-03;-1.035807e+01;6.908269e+00
525434761795507;-5.058249e-01;-1.102363e+01;9.989474e+00
525434781074361;-1.049285e+00;-1.387021e+01;8.564985e+00
525434800353267;-3.278191e+00;-1.730574e+01;2.646774e+00
525434819632226;-3.326073e+00;-1.835196e+01;1.856721e+00
525434838911184;-2.485744e+00;-1.584774e+01;2.811967e+00
525434858190142;-3.057934e+00;-1.351349e+01;2.543828e+00
525434877469101;-3.280585e+00;-1.188550e+01;4.339402e+00
525434896748059;-3.182427e+00;-1.093984e+01;4.188573e+00
525434916027017;-2.708396e+00;-9.362124e+00;3.257269e+00
525434935305976;-2.380404e+00;-7.214617e+00;3.278816e+00
