#time;x;y;z
527876941802503;-8.862120e-02;-1.285107e-01;4.551706e-02
527877144140628;-5.586205e-01;-4.543459e-01;1.061148e-01
527877347517868;1.392313e-01;-2.665065e+00;1.759978e-01
527877549167868;-1.086774e+00;-1.506499e+00;-2.667570e-01
527877752222555;-2.867445e+00;-6.681337e-02;8.838679e-01
527877953873441;-1.169607e+00;-3.416062e+00;2.538219e-01
527878157272295;-6.451190e-01;2.111302e-01;-8.555083e-01
527878358767659;-1.525009e+00;1.553689e+00;4.448263e+00
527878562300680;-4.443888e-01;6.096582e-01;7.283417e-01
527878764423128;-5.570322e-01;3.396560e-01;3.394652e-01
527878968042034;3.587304e-02;2.912756e-01;2.648175e-01
527879169357451;1.883250e+00;1.772134e+00;-7.564262e-01
527879372671670;5.811309e-01;9.673806e-01;-6.993714e-01
527879574130836;-1.011271e+00;-9.153044e-01;4.986565e-01
527879777745732;8.994989e-03;5.578569e-01;-2.986365e-02
527879979000003;-4.801855e-01;-1.254563e-01;1.229747e-01
527880182798857;5.211440e-01;1.193889e+00;-2.754238e-02
527880384705107;5.796649e-01;2.474155e-01;-3.916177e-01
527880588565628;-1.933921e+00;-8.777974e-01;3.767278e-01
527880789547399;8.688482e-01;-2.941772e-01;-2.119013e-01
527880992721722;-4.142122e-01;-2.454152e-02;1.525405e-01
527881194389430;1.594433e+00;1.520580e+00;-2.546541e-02
527881397821045;-9.930675e-01;-1.264230e+00;8.119154e-02
527881599231461;-8.153517e-02;-6.919723e-01;-3.307756e-01
527881803079795;1.962404e-02;-7.988582e-02;5.907824e-02
527882004765784;-4.769325e-02;1.044105e+00;1.725769e-01
527882208755107;1.488387e+00;1.216247e+00;-1.594891e-01
527882409996513;-2.063791e+00;-5.139663e-01;3.164966e-01
527882612980316;7.592590e-01;4.668538e-02;-2.010279e-01
527882814864847;-1.106810e+00;6.861385e-01;1.541288e-01
527883018054326;5.934703e-01;1.321682e+00;-3.499493e-02
527883219729638;-3.552026e-01;9.523534e-01;-1.252937e+00
527883423362243;-9.193973e-01;6.571836e-01;1.931020e-01
527883625289899;3.606087e-01;4.774671e-01;-4.667541e-01
527883828944899;-1.787925e+00;7.848543e-01;2.059377e-02
527884030444586;-2.558759e-01;7.613971e-01;3.995742e-01
527884233238076;1.408730e+00;3.277916e+00;-1.169493e+00
527884435339743;-4.621039e-01;2.280617e+00;-1.234611e+00
527884638287295;-2.953379e-01;2.066098e-01;-2.514854e-01
527884840228857;-4.665021e-01;6.507084e-01;2.914588e-02
527885043645732;-5.435932e-01;2.840673e-01;-3.180696e-01
527885245815055;1.393214e+00;1.096029e+00;2.219348e-01
527885449135680;-2.759123e-01;-3.640602e-01;-3.680384e-01
527885650894222;-1.522076e+00;-9.479247e-01;-2.194760e-01
527885853496826;4.324464e-01;2.725983e-02;-4.623483e-02
527886055813753;8.462003e-02;-5.997161e-02;1.715995e-01
527886258519795;1.467007e+00;1.333167e+00;-2.900843e-02
527886460727034;-1.373025e+00;-1.239796e+00;-1.050000e-01
527886663928180;-4.680903e-01;-4.632646e-01;-2.777526e-01
527886866339170;-1.085354e-01;1.048397e-01;3.794234e-02
527887069325941;6.258461e-01;5.271915e-01;2.221791e-01
527887271344378;1.072022e+00;5.614000e-01;-1.541135e-01
527887473756201;-1.763368e+00;-3.183675e-01;8.839977e-02
527887676289222;7.327474e-01;3.336852e-02;-1.446988e-02
527887878752816;-5.798786e-01;-4.909824e-02;8.021417e-02
527888081224618;1.370612e+00;1.261695e+00;1.434998e-01
527888284210034;-8.645415e-01;-4.021781e-01;-5.615602e-01
527888486862221;-7.719343e-01;-1.908188e-01;-1.472718e-01
527888689515086;4.234821e-02;6.307942e-01;-1.940641e-01
527888891792951;-6.869021e-01;3.329365e-01;7.162465e-01
527889094014669;6.864440e-01;2.230527e+00;-1.011523e+00
527889296764669;-9.956331e-01;3.629285e+00;-1.381585e+00
527889498985867;-5.092627e-01;1.340375e+00;-8.545236e-02
527889701722846;-5.101179e-01;9.925484e-01;-1.502040e-01
527889904492534;-1.567891e+00;2.951851e-01;-8.533017e-02
527890107386857;4.483289e-01;9.413578e-01;-5.930734e-02
527890309704982;1.625832e+00;2.716408e+00;-1.209932e+00
527890512241857;-1.146395e+00;4.333626e-01;-4.183737e-01
527890714273576;-1.768301e-01;-3.316843e-01;6.970729e-02
527890917240138;2.060143e-02;-3.734674e-01;-4.110433e-01
527891119219461;-2.342514e-01;-1.319315e-01;2.804556e-01
527891322222065;1.051130e+00;1.573847e+00;-1.473940e-01
527891524776024;-3.068220e-01;-9.203135e-01;-1.687743e-01
527891727912065;-7.956359e-01;-9.600196e-01;3.279809e-01
527891929895971;4.737409e-01;2.912756e-01;-3.377320e-02
527892132692117;-2.189798e-01;2.054032e-02;1.692782e-01
527892334532586;1.577696e+00;1.051313e+00;-1.649869e-01
527892537715138;-6.077340e-01;-4.653414e-01;7.300597e-02
527892739452690;-5.528783e-01;-5.707768e-01;-2.268064e-01
527892942720815;-1.047481e-01;-6.852528e-01;-1.525253e-01
527893145059461;-7.102830e-02;2.745379e-01;3.946873e-01
527893348437274;1.574641e+00;1.279410e+00;-1.704847e-01
527893550086961;-1.255617e+00;-6.799994e-01;-9.730310e-02
527893753142378;-2.948490e-01;-1.720042e-01;-1.274798e-01
527893954791805;-4.728551e-01;1.593289e-01;-1.471421e-02
527894158190659;-7.383828e-02;7.456368e-01;1.664683e-01
527894359685711;1.039402e+00;1.900049e+00;-6.810454e-01
527894563219461;-1.592081e+00;7.982933e-01;-4.718854e-01
527894765342013;5.659814e-01;9.106925e-01;1.937206e-02
527894968961388;-1.308885e+00;6.846724e-01;-5.850175e-01
527895170277794;-1.357876e+00;5.995180e-01;2.466137e-01
527895373592586;1.358762e+00;2.660698e+00;-1.954080e-01
527895575051805;-4.830414e-02;3.278160e+00;-1.629841e+00
527895778667169;-1.280540e+00;1.051436e+00;-2.650466e-01
527895979919617;2.714225e-01;8.920157e-02;1.410563e-01
527896183718732;-7.514094e-01;5.840020e-01;-4.926547e-01
527896385624982;4.656774e-01;7.845030e-02;1.006171e-01
527896589486024;1.403233e+00;7.450259e-01;-1.377424e-01
527896790467794;-2.220783e+00;-4.762149e-01;2.951241e-02
527896993642638;7.447205e-01;-5.795731e-01;-3.183140e-01
527897195311388;-3.765828e-01;-5.545125e-02;1.961640e-02
527897398743524;1.491197e+00;1.107635e+00;1.780747e-01
527897600154461;-7.154906e-01;-7.925207e-01;-1.261359e-01
527897804003211;-1.110109e+00;-4.749473e-03;-8.862887e-02
527898005688784;1.866345e-01;1.248760e-01;8.449022e-02
527898209677951;-1.507310e-02;-2.189187e-01;2.104505e-01
527898410918003;1.603352e+00;1.509095e+00;-5.062544e-03
527898613902274;-1.342238e+00;-8.273399e-01;-2.312046e-01
