#time;x;y;z
738626692368959;-1.586806e-01;4.777424e+00;8.100531e+00
738626712471823;-6.590472e-01;4.925858e+00;6.747865e+00
738626732574688;-1.116320e+00;4.980922e+00;6.965728e+00
738626752677552;-4.004846e-01;5.062322e+00;8.636808e+00
738626772780417;6.636469e-02;5.232303e+00;9.479531e+00
738626792883281;-3.262675e-01;4.935434e+00;8.129259e+00
738626812986146;-7.907227e-01;4.619413e+00;6.170887e+00
738626833089011;-1.633446e+00;4.770242e+00;6.484514e+00
738626853191875;-1.712451e+00;5.167662e+00;7.616923e+00
738626873294740;-5.177954e-01;5.193997e+00;8.373458e+00
738626893522448;1.222714e+00;4.540408e+00;9.378980e+00
738626913875052;2.505951e+00;3.695291e+00;9.211392e+00
738626934227656;1.907427e+00;4.056800e+00;8.646384e+00
738626954580261;5.020907e-01;4.499708e+00;7.868304e+00
738626974932865;9.269978e-02;4.521255e+00;7.509189e+00
738626995285469;6.529189e-01;3.910760e+00;7.269779e+00
738627015638073;1.646470e+00;3.661773e+00;7.743810e+00
738627035990677;2.300059e+00;3.386452e+00;7.865909e+00
738627056343281;2.410187e+00;3.475034e+00;7.427789e+00
738627076496354;2.872248e+00;3.151831e+00;7.537918e+00
738627096558646;3.772429e+00;3.254777e+00;7.523553e+00
738627116729688;4.272796e+00;3.628257e+00;7.451730e+00
738627136900729;3.935228e+00;3.506158e+00;7.748599e+00
738627157071771;3.786794e+00;3.894001e+00;8.244177e+00
738627177242813;5.082001e+00;3.489399e+00;7.904215e+00
738627197413854;6.597466e+00;3.391240e+00;6.874753e+00
738627217584896;7.231903e+00;3.185348e+00;6.113429e+00
738627237755938;7.947738e+00;2.838204e+00;7.456519e+00
738627257926979;9.539813e+00;2.503030e+00;7.116557e+00
738627278098021;9.235764e+00;3.343358e+00;6.668860e+00
738627298372969;1.136891e+01;2.790322e+00;4.492624e+00
738627318751771;1.270721e+01;2.845386e+00;3.403309e+00
738627339130573;8.412193e+00;4.154958e+00;3.403309e+00
738627359509375;9.005929e+00;4.178899e+00;2.562980e+00
738627379888177;8.249394e+00;4.899523e+00;5.220430e+00
738627400266979;7.832821e+00;3.503763e+00;2.261324e+00
738627420645781;9.211823e+00;4.356063e+00;6.764307e-01
738627441024584;9.829499e+00;3.108737e+00;2.134437e+00
738627461403386;9.970752e+00;3.077614e+00;3.963528e+00
738627481582396;8.503169e+00;3.738385e+00;3.032224e+00
738627501644375;9.001142e+00;3.647409e+00;2.668321e+00
738627521789167;9.307587e+00;3.894001e+00;1.679558e+00
738627541933959;1.001385e+01;3.886819e+00;2.383106e-01
738627562078750;9.740918e+00;3.530098e+00;7.793769e-01
738627582223542;9.803164e+00;3.573192e+00;2.050643e+00
738627602368334;1.086854e+01;3.735990e+00;2.290053e+00
738627622513125;1.191955e+01;2.740046e+00;3.159111e+00
738627642657917;1.236006e+01;2.503030e+00;3.920434e+00
738627662802709;1.150058e+01;2.447966e+00;5.225218e+00
738627682947500;9.760072e+00;2.292349e+00;5.349711e+00
738627703221094;6.365239e+00;2.488665e+00;5.270706e+00
738627723623490;4.988631e+00;2.768775e+00;5.711221e+00
738627744025886;3.226575e+00;3.214077e+00;3.271634e+00
738627764428281;2.941677e+00;2.778351e+00;4.035034e-01
738627784830677;-6.531072e-02;1.088117e+00;-3.206798e+00
738627805233073;-8.206943e-02;-1.511874e+00;-1.615039e-01
738627825635469;2.546651e+00;-3.309842e+00;6.142158e+00
738627846037865;1.105404e+00;2.007452e+00;1.493089e+01
738627866440261;3.576113e+00;1.171911e+00;1.337712e+01
738627886738281;3.245728e+00;-1.171912e+00;5.567575e+00
738627906931927;3.542596e+00;-1.116847e+00;7.128527e+00
738627927125573;3.449226e+00;-1.571726e+00;9.419679e+00
738627947319219;2.999136e+00;-2.993821e+00;1.015227e+01
738627967512865;3.847798e-01;-5.565083e+00;1.023128e+01
738627987706511;-2.849648e+00;-7.231376e+00;7.746204e+00
738628007900156;-2.121842e+00;-7.298410e+00;5.577151e+00
738628028093802;1.172438e+00;-7.291228e+00;6.357627e+00
738628048287448;1.859545e+00;-8.313508e+00;1.007327e+01
738628068481094;1.852362e+00;-6.223460e+00;1.608006e+01
738628088561042;6.846452e+00;-4.348881e+00;1.614710e+01
738628108758490;1.161789e+01;-3.348147e+00;1.523734e+01
738628129187188;1.479965e+01;-2.210950e+00;1.166056e+01
738628149615886;1.962615e+01;6.643620e-01;6.400721e+00
738628170044584;2.219502e+01;5.548324e+00;3.156717e+00
738628190473281;1.473501e+01;2.505424e+00;1.325231e+00
738628210901979;1.052618e+01;7.720965e-01;2.146407e+00
738628231330677;6.997281e+00;3.435527e-01;7.296113e+00
738628251759375;6.449032e+00;-3.232068e-02;7.102191e+00
738628272188073;7.126562e+00;-9.732015e-01;5.433505e+00
738628292452969;1.146946e+01;-9.253196e-01;8.895055e-01
738628312554115;1.202968e+01;-2.309109e+00;-7.360876e-01
738628332655261;1.197701e+01;-2.898057e+00;-6.334586e-02
738628352756406;1.154367e+01;-2.878904e+00;2.139225e+00
738628372857552;1.034663e+01;-1.973935e+00;3.731301e+00
738628392958698;5.661374e+00;-6.954861e-01;-1.752351e+01
738628413059844;6.101887e+00;7.864611e-01;-1.628576e+01
738628433160990;1.067462e+01;2.238479e-01;1.015706e+01
738628453262136;1.448363e+01;-1.988299e+00;1.691529e+00
738628473363281;1.318124e+01;-3.369694e+00;-2.778254e+00
738628493590886;8.637239e+00;-4.030466e+00;2.452852e+00
738628513944948;7.332454e+00;-2.797505e+00;5.828531e+00
738628534299011;9.506296e+00;-2.620342e+00;6.374385e+00
738628554653073;1.342065e+01;-1.009113e+00;-3.996850e+00
738628575007136;1.323151e+01;1.938023e+00;-1.329553e+01
738628595361198;9.618819e+00;2.263620e+00;-6.762351e-01
738628615715261;9.724159e+00;-1.128818e+00;2.675503e+00
738628636069323;9.803164e+00;-9.253196e-01;-1.918772e+00
738628656423386;8.735396e+00;-1.687843e-01;-4.317659e+00
738628676577917;9.614032e+00;2.884885e-01;-1.483046e+00
738628696640156;1.090684e+01;1.186276e+00;-1.406435e+00
738628716809636;1.031311e+01;9.803832e-01;-1.676968e+00
738628736979115;9.980329e+00;9.013779e-01;-1.710486e+00
738628757148594;1.105528e+01;1.186276e+00;-1.708092e+00
738628777318073;1.107683e+01;1.711777e-01;-1.430376e+00
738628797487552;1.001863e+01;-6.212690e-01;-1.085626e+00
738628817657031;1.122526e+01;9.468658e-01;-5.900476e-01
738628837826511;1.154128e+01;1.480750e+00;-1.854449e-01
738628857995990;1.146228e+01;1.550179e+00;-3.051499e-01
738628878165469;1.173760e+01;1.600455e+00;5.375729e-01
738628898440313;1.130187e+01;1.698613e+00;1.363537e+00
738628918820469;1.299929e+01;2.993820e+00;9.900576e-01
738628939200625;1.180224e+01;2.172644e+00;-1.159843e+00
738628959580781;1.185012e+01;2.802292e+00;1.018787e+00
738628979960938;8.416982e+00;2.366566e+00;1.693923e+00
738629000341094;4.895262e+00;2.529365e+00;1.059487e+00
738629020721250;1.565070e+00;1.610031e+00;-2.025208e-02
738629041101406;3.600055e+00;-1.687843e-01;-4.419307e-02
738629061481563;9.705007e+00;2.421631e+00;-1.186178e+00
738629081661927;1.787722e+00;1.399350e+00;5.040556e-01
738629101723959;2.426946e+00;-5.087463e-01;1.401843e+00
738629121867448;7.428218e+00;9.061660e-01;5.471493e-01
738629142010938;3.341137e+01;6.493993e+00;2.141619e+00
738629162154427;1.079193e+01;2.871721e+00;3.364686e-01
738629182297917;1.022692e+01;-1.049813e+00;3.285998e+00
738629202441406;1.170647e+01;4.488932e-01;-4.990718e-01
738629222584896;8.855102e+00;2.747228e+00;-1.758368e+00
738629242728386;1.033226e+01;1.200640e+00;6.285487e-01
738629262871875;1.063631e+01;1.759659e-01;-1.492623e+00
738629283015365;1.156043e+01;8.822250e-01;-1.471076e+00
738629303288959;1.161071e+01;8.558900e-01;-7.911519e-01
738629323692656;1.094515e+01;4.943810e-01;7.817710e-01
738629344096354;9.604454e+00;7.529438e-01;4.346267e-01
738629364500052;9.731341e+00;8.367372e-01;3.747742e-01
738629384903750;8.002802e+00;-1.152759e+00;-1.411224e+00
738629405307448;6.122192e-01;-4.770242e+00;-5.254069e-01
738629425711146;6.228775e+00;-1.030660e+00;3.365004e+00
738629446114844;9.463202e+00;-5.733870e-01;1.851933e+00
738629466518542;1.168253e+01;2.254044e+00;-1.870890e+00
738629486816615;1.441659e+01;5.830827e+00;-1.028168e+00
738629507009115;1.193391e+01;3.980189e+00;-2.596620e-01
738629527201615;1.051661e+01;2.536547e+00;-3.352838e+00
738629547394115;1.305435e+01;2.665828e+00;-3.130186e+00
738629567586615;1.489062e+01;2.601188e+00;-3.046393e+00
738629587779115;1.534072e+01;1.667490e+00;-6.499000e-01
738629607971615;1.106725e+01;-9.899602e-01;3.556215e-01
738629628164115;2.197113e+00;-6.072632e+00;2.414546e+00
738629648356615;4.567270e+00;-1.341893e+00;-1.456711e+00
738629668549115;7.717905e+00;1.226975e+00;-1.243636e+00
738629688629063;6.834482e+00;1.880564e+00;-2.740265e-01
738629708827656;6.379603e+00;2.383325e+00;-7.312993e-01
738629729257500;5.479422e+00;1.521450e+00;-1.095202e+00
738629749687344;4.236885e+00;9.971417e-01;-1.439953e+00
738629770117188;7.820850e+00;1.808741e+00;-1.167025e+00
738629790547031;1.143115e+01;-6.045103e-01;5.208142e-01
738629810976875;9.793589e+00;-2.421631e+00;1.914180e+00
738629831406719;9.113665e+00;-3.004597e-01;6.261545e-01
738629851836563;8.991566e+00;-9.396842e-01;-2.062418e+00
738629872266406;1.416521e+01;-4.897129e+00;4.418090e-01
738629892531354;1.401678e+01;-5.943351e+00;-6.573996e-02
738629912631406;1.406227e+01;-5.562689e+00;-4.200666e-01
738629932731459;1.051182e+01;-8.344631e+00;-6.905997e-01
738629952831511;5.259165e+00;-1.015936e+01;-1.384888e+00
738629972931563;5.771502e+00;-8.749234e+00;2.780843e+00
738629993031615;5.855296e+00;-4.401551e+00;-9.371918e-01
738630013131667;4.406866e+00;-6.819591e+00;-1.102385e+00
738630033231719;7.021222e+00;-9.568016e+00;-9.395860e-01
738630053331771;7.109803e+00;-7.913694e+00;9.900576e-01
738630073431823;8.232635e+00;-7.961576e+00;5.208142e-01
738630093659375;6.542402e+00;-9.187354e+00;3.101336e-01
738630114014479;5.682920e+00;-8.739658e+00;5.926372e-01
738630134369584;6.123435e+00;-8.543342e+00;-5.852594e-01
738630154724688;5.783473e+00;-7.834688e+00;-1.128720e+00
738630175079792;6.149769e+00;-8.394908e+00;1.042411e-01
738630195434896;6.772235e+00;-7.975941e+00;6.620660e-01
738630215790000;5.522516e+00;-7.281651e+00;1.640935e-01
738630236145104;4.282372e+00;-6.233036e+00;-7.552404e-01
738630256500209;3.793977e+00;-3.987372e+00;-8.701571e-01
738630276655781;4.648669e+00;-5.087463e-01;-3.434554e-01
738630296717969;5.196918e+00;-2.313897e+00;1.473348e-01
738630316886354;5.211283e+00;-4.779819e+00;-5.887493e-03
738630337054740;4.818650e+00;-8.344631e+00;4.825087e-01
738630357223125;3.810735e+00;-1.331717e+01;-3.314849e-01
738630377391511;2.972800e+00;-2.354716e+01;-6.115945e-01
738630397559896;1.011440e+01;-2.150260e+01;-2.064812e+00
738630417728281;9.341104e+00;-1.580943e+01;-1.040455e-01
738630437896667;3.765247e+00;-1.273541e+01;6.114727e-02
738630458065052;3.871739e-01;-1.117206e+01;-9.228273e-01
738630478233438;3.908893e+00;-9.637445e+00;-1.246031e+00
738630498508125;5.086790e+00;-9.438735e+00;-3.493398e-03
738630518889167;2.137260e+00;-1.130853e+01;5.635907e-02
738630539270209;2.146837e+00;-1.036046e+01;-8.629748e-01
738630559651250;2.549045e+00;-8.363785e+00;-1.468682e+00
738630580032292;3.975928e+00;-7.887359e+00;-2.907853e-01
738630600413334;3.039835e+00;-9.900796e+00;1.162115e-01
738630620794375;3.437256e+00;-9.670962e+00;4.274444e-01
738630641175417;3.631178e+00;-9.857702e+00;3.939270e-01
738630661556459;8.588114e-01;-1.104278e+01;-1.169420e+00
738630681737709;2.818336e-01;-1.081534e+01;-1.011409e+00
738630701799740;4.422382e-01;-1.034849e+01;-6.307473e-01
738630721942292;1.313690e+00;-9.826579e+00;-1.018591e+00
738630742084844;1.311296e+00;-1.026470e+01;-1.519275e-01
738630762227396;1.931368e+00;-9.989377e+00;-6.095175e-02
738630782369948;1.261020e+00;-9.321424e+00;-1.274760e+00
738630802512500;-3.669672e-01;-9.922343e+00;-1.559658e+00
738630822655052;-1.688510e+00;-1.161976e+01;-2.301828e+00
738630842797604;-8.769103e-01;-1.077225e+01;-2.268311e+00
738630862940156;5.678830e-02;-1.058551e+01;-1.894831e+00
738630883082709;7.079831e-01;-1.065733e+01;-1.518958e+00
738630903356198;9.138757e-01;-1.047777e+01;-1.858920e+00
738630923760677;4.111149e-01;-1.080577e+01;-2.325769e+00
738630944165156;8.300822e-01;-1.069085e+01;-1.942713e+00
738630964569636;1.174832e+00;-1.000614e+01;-1.408829e+00
738630984974115;9.234521e-01;-9.699691e+00;-1.454317e+00
738631005378594;1.313690e+00;-9.376489e+00;-8.917040e-01
738631025783073;1.323267e+00;-9.120319e+00;-6.115945e-01
738631046187552;9.449989e-01;-8.248867e+00;-1.389676e+00
738631066592031;1.477641e-01;-9.383670e+00;-2.399986e+00
738631086890156;2.798031e+00;-1.087280e+01;-1.952290e+00
738631107081927;2.862672e+00;-1.135641e+01;-1.818220e+00
738631127273698;2.089378e+00;-1.141387e+01;-2.569967e+00
738631147465469;1.421425e+00;-1.068606e+01;-3.233133e+00
738631167657240;9.904868e-01;-9.745179e+00;-3.494089e+00
738631187849011;1.799692e+00;-9.244813e+00;-3.872357e+00
738631208040781;3.061382e+00;-9.805032e+00;-3.711952e+00
738631228232552;3.815523e+00;-1.047299e+01;-3.034422e+00
738631248424323;4.682187e+00;-1.063100e+01;-2.218035e+00
738631268616094;5.108336e+00;-1.049693e+01;-1.629086e+00
738631288696042;5.242406e+00;-1.066212e+01;-7.911519e-01
738631308895417;4.909626e+00;-1.103560e+01;-3.554259e-01
738631329325990;3.892134e+00;-1.117685e+01;7.003716e-01
738631349756563;2.745361e+00;-1.136838e+01;1.013999e+00
738631370187136;3.391768e+00;-1.138753e+01;1.009210e+00
738631390617709;4.349407e+00;-1.152878e+01;1.952485e+00
738631411048281;6.616619e+00;-1.071000e+01;1.614917e+00
738631431478854;6.233563e+00;-9.716451e+00;1.981215e+00
738631451909427;4.979055e+00;-9.050891e+00;2.807178e+00
738631472340000;4.478688e+00;-9.201719e+00;3.424856e+00
738631492605000;3.652725e+00;-9.366912e+00;4.076051e+00
738631512704427;2.453281e+00;-1.035328e+01;3.120806e+00
738631532803854;1.416636e+00;-1.145457e+01;1.193556e+00
738631552903281;1.222714e+00;-1.193339e+01;-1.231983e-01
738631573002709;1.282567e+00;-1.161497e+01;-6.259591e-01
738631593102136;-6.087711e-01;-1.149287e+01;-7.049643e-01
738631613201563;-2.073960e+00;-1.221828e+01;-2.572361e+00
738631633300990;-1.757939e+00;-1.322141e+01;-3.266650e+00
738631653400417;-8.840925e-01;-1.369784e+01;-2.452974e-01
738631673499844;-1.491042e-01;-1.359250e+01;5.519375e-01
738631693727448;1.621286e-01;-1.337224e+01;-1.234060e+00
738631714083229;-2.113508e-01;-1.287906e+01;-2.526874e+00
738631734439011;-4.244256e-01;-1.243136e+01;-3.087092e+00
738631754794792;2.805911e-02;-1.185677e+01;-2.644184e+00
738631775150573;4.422382e-01;-1.084168e+01;-1.921167e+00
738631795506354;7.115290e-02;-9.769120e+00;-1.246031e+00
738631815862136;-2.855678e-01;-8.533766e+00;-7.552404e-01
738631836217917;-8.960630e-01;-7.379810e+00;-8.390338e-01
738631856573698;-1.264754e+00;-6.063055e+00;-7.863637e-01
738631876729896;-1.001403e+00;-3.745568e+00;-7.504522e-01
738631896792136;-4.914603e-01;-2.888480e+00;-1.250819e+00
738631916959896;-1.778334e-01;-2.325867e+00;-1.866102e+00
738631937127656;-4.866722e-01;-2.000270e+00;-1.966654e+00
738631957295417;-5.704656e-01;-2.103216e+00;-2.522085e+00
738631977463177;-6.770483e-02;-2.725682e+00;-3.036817e+00
738631997630938;1.333995e-01;-4.473373e+00;-3.213980e+00
738632017798698;1.724035e-03;-7.765260e+00;-3.841234e+00
738632037966459;-8.912748e-01;-1.231405e+01;-5.095741e+00
738632058134219;-2.655725e+00;-1.678383e+01;-5.804395e+00
738632078301979;-2.150571e+00;-1.678622e+01;-5.088559e+00
738632098576667;-2.679667e+00;-1.292694e+01;-5.112500e+00
738632118958334;-1.669357e+00;-1.015936e+01;-4.901820e+00
738632139340000;-1.288695e+00;-1.008753e+01;-4.621710e+00
738632159721667;-2.089567e-01;-1.131331e+01;-5.347122e+00
738632180103334;7.008009e-01;-1.158145e+01;-7.786708e+00
738632200485000;2.297665e+00;-1.167243e+01;-7.418017e+00
738632220866667;3.533020e+00;-1.255585e+01;1.145674e+00
738632241248334;2.139654e+00;-1.298918e+01;2.539040e+00
738632261630000;1.591406e+00;-1.417426e+01;8.269417e-02
738632281811875;-5.369482e-01;-1.252233e+01;-1.674574e+00
738632301873802;-1.236025e+00;-1.011148e+01;-3.386672e-01
738632322015625;8.791158e-02;-1.004444e+01;-6.115945e-01
738632342157448;5.523667e-01;-1.028146e+01;-3.338790e-01
738632362299271;7.893825e-01;-1.018809e+01;-1.588387e+00
738632382441094;3.030259e+00;-9.702086e+00;-2.546026e+00
738632402582917;3.896923e+00;-8.871334e+00;-2.701643e+00
738632422724740;3.049412e+00;-8.081281e+00;-3.812505e+00
738632442866563;1.512400e+00;-7.961576e+00;-4.772538e+00
738632463008386;8.851465e-01;-7.655131e+00;-3.412690e+00
738632483150209;6.050369e-01;-6.719039e+00;-2.316193e+00
738632503423594;1.369452e-02;-6.326406e+00;-2.531662e+00
738632523828594;-1.024649e-02;-7.260105e+00;-4.090220e+00
738632544233594;4.470264e-01;-8.756416e+00;-4.133314e+00
738632564638594;6.194015e-01;-9.295089e+00;-4.449335e+00
738632585043594;1.215532e+00;-9.196931e+00;-3.714346e+00
738632605448594;2.142048e+00;-9.398035e+00;-3.513242e+00
738632625853594;2.285694e+00;-1.070761e+01;-4.480458e+00
738632646258594;2.467646e+00;-1.271865e+01;-6.623177e+00
738632666663594;2.525104e+00;-1.417666e+01;-6.424466e+00
738632686961771;2.357517e+00;-1.735841e+01;-3.874751e+00
738632707153125;-1.094773e+00;-1.510317e+01;-2.122271e+00
738632727344479;-3.570271e+00;-1.206267e+01;-1.490229e+00
738632747535834;-2.050019e+00;-9.678145e+00;-2.016930e+00
738632767727188;-1.963831e+00;-7.875388e+00;-2.675308e+00
738632787918542;-1.882432e+00;-7.621614e+00;-2.931476e+00
738632808109896;-1.133079e+00;-7.535426e+00;-2.306617e+00
738632828301250;-3.933023e-01;-6.939296e+00;-9.611329e-01
738632848492604;-5.968006e-01;-6.618486e+00;-9.850739e-01
738632868683959;-1.298272e+00;-5.715911e+00;-1.404041e+00
738632888763959;-1.188143e+00;-4.171718e+00;-2.313799e+00
738632908963750;6.816481e-01;-2.945939e+00;-3.731105e+00
738632929394792;3.463591e+00;-3.015368e+00;-4.719868e+00
738632949825834;4.074086e+00;-4.195659e+00;-5.143623e+00
738632970256875;2.175566e+00;-6.505963e+00;-5.251358e+00
738632990687917;4.757556e-01;-1.060706e+01;-6.089293e+00
738633011118959;2.087681e-02;-1.637205e+01;-7.085238e+00
738633031550000;-1.634688e-01;-1.668088e+01;-5.593714e+00
738633051981042;-5.417364e-01;-1.063818e+01;-4.650439e+00
738633072412084;-8.218458e-01;-7.327140e+00;-3.893904e+00
738633092677031;-4.747016e-01;-1.303707e+01;-2.739948e+00
738633112775886;5.427903e-01;-1.675749e+01;1.610129e+00
738633132874740;1.560282e+00;-1.539286e+01;-5.189112e+00
738633152973594;3.382191e+00;-1.370981e+01;-2.459839e+00
738633173072448;1.311296e+00;-1.271147e+01;3.268923e-01
738633193171302;1.083857e+00;-1.027427e+01;-1.272366e+00
738633213270156;2.960830e+00;-1.068845e+01;-1.466288e+00
738633233369011;1.612952e+00;-1.249839e+01;-2.117483e+00
738633253467865;3.279245e+00;-1.199324e+01;-2.304222e+00
738633273566719;2.833943e+00;-1.045862e+01;-3.733499e+00
738633293794271;2.893795e+00;-9.675750e+00;-4.073462e+00
738633314150469;2.850701e+00;-9.362124e+00;-4.128526e+00
738633334506667;2.285694e+00;-9.105955e+00;-4.478064e+00
738633354862865;1.933762e+00;-8.694170e+00;-3.807716e+00
738633375219063;1.162862e+00;-8.023823e+00;-2.881200e+00
738633395575261;5.092729e-01;-7.133218e+00;-2.981752e+00
738633415931459;9.761223e-01;-6.683127e+00;-3.398325e+00
738633436287656;1.622529e+00;-6.929719e+00;-3.300167e+00
738633456643854;1.160468e+00;-7.114065e+00;-2.323375e+00
738633476800469;1.251444e+00;-7.796383e+00;-2.766283e+00
738633496862709;2.072619e+00;-9.424370e+00;-3.606612e+00
738633517030104;2.379064e+00;-1.114573e+01;-4.037550e+00
738633537197500;2.666356e+00;-1.086801e+01;-3.508454e+00
738633557364896;2.443705e+00;-1.003247e+01;-3.592247e+00
738633577532292;8.947229e-01;-1.140429e+01;-5.708631e+00
738633597699688;3.991444e-01;-1.500262e+01;-4.669592e+00
738633617867084;5.427903e-01;-1.632656e+01;-4.293718e+00
738633638034479;-1.327001e+00;-1.471054e+01;-3.190039e+00
738633658201875;-2.210423e+00;-1.262049e+01;-3.082304e+00
738633678369271;-8.745162e-01;-1.050411e+01;-2.447868e+00
738633698644011;-1.386853e+00;-9.141867e+00;-2.457444e+00
738633719026094;-2.401951e+00;-9.398035e+00;-4.224289e+00
738633739408177;-1.063650e+00;-9.527316e+00;-4.750991e+00
738633759790261;1.190349e-01;-8.593618e+00;-3.716741e+00
738633780172344;7.055891e-01;-6.786074e+00;-2.074389e+00
738633800554427;2.554985e-01;-5.208362e+00;-1.296307e+00
738633820936511;-4.770957e-01;-4.142988e+00;-1.382494e+00
738633841318594;-2.113508e-01;-3.822179e+00;-2.086359e+00
738633861700677;8.109294e-01;-4.066377e+00;-3.515636e+00
738633881882969;1.979250e+00;-6.027144e+00;-6.192238e+00
738633901944948;2.745361e+00;-7.667102e+00;-6.405313e+00
738633922086459;2.256965e+00;-9.965436e+00;-6.326308e+00
738633942227969;8.372645e-01;-1.202915e+01;-5.974376e+00
738633962369479;9.748797e-02;-1.209858e+01;-5.430915e+00
738633982510990;2.722572e-01;-1.004923e+01;-4.432576e+00
738634002652500;-9.882811e-02;-9.505769e+00;-3.704770e+00
738634022794011;-6.997469e-01;-1.050172e+01;-4.061491e+00
738634042935521;-1.726815e+00;-1.465069e+01;-5.859459e+00
738634063077031;6.864363e-01;-1.671201e+01;-9.802857e-01
738634083218542;2.838731e+00;-1.184720e+01;4.250820e+00
738634103491979;-2.478562e+00;-1.052087e+01;-2.103118e+00
738634123897396;-1.944678e+00;-1.052087e+01;-1.303806e-01
738634144302813;1.445366e+00;-1.366671e+01;-5.045465e+00
738634164708229;6.372421e+00;-1.527555e+01;-1.193360e+00
738634185113646;1.543524e+00;-1.379599e+01;-3.190039e+00
738634205519063;2.829155e+00;-1.059030e+01;-5.254069e-01
738634225924479;5.082001e+00;-9.307059e+00;-1.322642e+00
738634246329896;4.196185e+00;-9.840943e+00;-3.757440e+00
738634266735313;3.473167e+00;-1.062381e+01;-4.679168e+00
738634287033542;1.921791e+00;-8.928792e+00;-3.874751e+00
738634307224531;7.893825e-01;-8.196198e+00;-3.683223e+00
738634327415521;-1.754393e-01;-7.748501e+00;-3.884327e+00
738634347606511;-1.826216e-01;-7.116459e+00;-2.933870e+00
738634367797500;6.816481e-01;-6.812408e+00;-2.955417e+00
738634387988490;6.074311e-01;-7.097306e+00;-3.345655e+00
738634408179479;6.768599e-01;-7.264893e+00;-2.596302e+00
738634428370469;1.174832e+00;-7.360657e+00;-1.664998e+00
738634448561459;1.598588e+00;-7.750895e+00;-2.658549e+00
738634468752448;3.003924e+00;-9.034132e+00;-3.697588e+00
738634488832396;3.580902e+00;-1.067409e+01;-4.741415e+00
738634509032552;3.827494e+00;-1.136598e+01;-4.293718e+00
738634529463906;3.449226e+00;-1.110024e+01;-4.626498e+00
738634549895261;2.561015e+00;-1.224701e+01;-4.511581e+00
738634570326615;-4.387901e-01;-1.545989e+01;-6.000710e+00
738634590757969;-5.489187e-01;-1.629783e+01;-4.205137e+00
738634611189323;-1.089985e+00;-1.421975e+01;-3.642524e+00
738634631620677;-1.501770e+00;-1.340815e+01;-3.534789e+00
738634652052031;-3.936569e+00;-1.313283e+01;-3.587459e+00
738634672483386;-4.252590e+00;-1.140190e+01;-4.293718e+00
738634692748281;2.566501e-02;-8.167468e+00;-3.130186e+00
738634712846719;1.201167e+00;-6.015174e+00;-2.627425e+00
738634732945156;2.017555e+00;-4.099895e+00;-2.110300e+00
738634753043594;1.988826e+00;-2.763988e+00;-1.430376e+00
738634773142031;1.237079e+00;-2.110398e+00;-1.097597e+00
738634793240469;6.194015e-01;-2.153492e+00;-1.444741e+00
738634813338906;4.805438e-01;-3.044097e+00;-1.578810e+00
738634833437344;-5.896184e-01;-4.583503e+00;-2.361681e+00
738634853535781;-1.671751e+00;-5.909833e+00;-4.037550e+00
738634873634219;-1.207296e+00;-7.430086e+00;-4.621710e+00
738634893861719;6.361602e-01;-9.805032e+00;-4.619316e+00
738634914218229;2.144442e+00;-1.292215e+01;-5.533862e+00
738634934574740;2.388640e+00;-1.338900e+01;-6.553748e+00
738634954931250;1.275385e+00;-1.065973e+01;-6.853010e+00
738634975287761;-5.010367e-01;-1.018809e+01;-5.071801e+00
738634995644271;-1.147443e+00;-1.194536e+01;-3.853204e+00
738635016000781;-4.579430e-01;-1.627868e+01;-2.847683e+00
738635036357292;1.234685e+00;-1.764571e+01;-1.543216e-01
738635056713802;1.474095e+00;-1.407610e+01;-4.255413e+00
738635076870729;1.105404e+00;-9.639839e+00;-1.621904e+00
738635096932969;1.984038e+00;-1.316395e+01;-4.329630e+00
738635117100000;7.729875e+00;-1.618530e+01;1.784581e-01
738635137267031;3.712577e+00;-1.578310e+01;-2.912323e+00
738635157434063;2.939283e+00;-1.093744e+01;-2.739948e+00
738635177601094;3.348674e+00;-8.679806e+00;-6.211709e-01
738635197768125;1.902638e+00;-8.579253e+00;-1.267578e+00
738635217935156;6.864363e-01;-9.465070e+00;-1.846949e+00
738635238102188;9.449989e-01;-1.017133e+01;-2.340134e+00
738635258269219;2.058255e+00;-9.824185e+00;-2.627425e+00
738635278436250;2.541863e+00;-8.596012e+00;-3.316926e+00
738635298710938;1.993614e+00;-7.351081e+00;-3.874751e+00
738635319093281;1.114980e+00;-6.482022e+00;-4.281748e+00
738635339475625;8.157176e-01;-5.845193e+00;-3.348049e+00
738635359857969;1.656046e+00;-5.323279e+00;-1.933137e+00
738635380240313;2.309635e+00;-5.332855e+00;-9.108568e-01
738635400622656;-1.982287e-02;-7.102095e+00;-2.615455e+00
738635421005000;-4.028786e-01;-8.593618e+00;-2.787830e+00
738635441387344;6.577071e-01;-9.251995e+00;-1.741609e+00
738635461769688;1.577041e+00;-1.006359e+01;-3.412690e+00
738635481952188;4.349407e+00;-1.293173e+01;-7.226490e+00
738635502014219;2.936889e+00;-1.508162e+01;-5.756513e+00
