#time;x;y;z
738626696293386;5.009090e-02;1.325195e-01;-9.017127e-02
738626898570729;-3.170388e-01;-7.858546e-01;-3.009196e-01
738627100789896;-7.822734e-01;-3.226870e+00;-8.565088e-02
738627303539115;-1.611461e-01;-3.282825e+00;-2.602360e-01
738627505757500;1.174082e-01;1.751555e+00;-1.797240e-01
738627708493438;-7.324268e-01;2.315872e+00;-1.850561e+00
738627911264896;-2.148533e+00;-8.207960e-01;-1.567609e+00
738628114149167;2.357571e+00;-3.745128e+00;2.169051e+00
738628316470834;3.303435e+00;-2.648992e+00;1.198143e+00
738628518999792;1.683299e+00;-1.359579e+00;-9.505131e-01
738628721033854;1.094670e+00;8.737426e-01;-9.097074e-01
738628923992709;-1.599244e-01;8.389233e-01;-1.142691e+00
738629125974688;1.341459e-01;7.986294e-02;6.936904e-01
738629328970834;-3.390299e-01;-1.020915e+00;9.509866e-01
738629531529427;-2.355494e-01;6.300076e-01;-7.992631e-01
738629734653334;6.519148e-01;1.664836e-01;1.503575e+00
738629936643229;-7.221643e-01;2.276922e-01;3.996758e+00
738630139429115;-1.391550e-01;2.262261e-01;7.183004e-02
738630341274011;2.623053e-01;-6.820076e-01;1.353180e+00
738630544446459;1.155756e-01;-3.803625e-01;5.535579e-01
738630746187865;-2.186896e-02;-7.852437e-01;1.530575e+00
738630949446875;-6.115978e-01;-7.951397e-01;-6.481352e-01
738631151790000;1.198517e-01;-2.771653e+00;-5.470981e-01
738631355155677;1.418428e-01;-4.254344e+00;-3.125260e-01
738631556812240;-7.048157e-01;-3.980066e+00;-4.438619e-01
738631759857344;-1.902233e+00;-2.031163e+00;-1.033957e+00
738631961511875;9.483064e-01;-5.472509e-01;-4.818577e-01
738632164900729;3.777587e-01;-4.041863e-01;-7.406767e-04
738632366399011;2.245539e-01;3.111592e-02;-1.896200e-01
738632569922656;-5.561313e-01;1.993481e-01;2.520351e-01
738632772049844;-9.566141e-01;-2.154291e-01;-3.321958e-01
738632975658125;1.753793e+00;3.215210e-01;-1.234710e-02
738633176978854;-4.054920e-01;5.481747e-02;-3.775908e-02
738633380283490;3.513694e-01;1.352302e-02;2.616868e-01
738633581747136;-1.740964e+00;-7.876872e-01;-6.903535e-02
738633785353281;6.941867e-01;8.457650e-01;-5.461895e-02
738633986609323;9.326683e-01;-3.179322e-01;-1.303662e-01
738634190399584;-1.959654e-01;3.986121e-01;4.495200e-02
738634392309479;-1.265712e-01;2.069228e-01;3.848372e-01
738634596160625;-1.765277e+00;-8.666108e-01;-6.488147e-02
738634797145000;1.594113e+00;5.377671e-01;-2.118555e-01
738635000310990;2.430020e-01;2.896339e-01;-1.686063e-01
738635201981302;7.502640e-01;5.345906e-01;-8.565088e-02
738635405405104;-1.060339e+00;1.953164e-01;1.865504e-01
738635606818646;-1.540601e+00;-2.702847e-01;4.428693e-01
738635810660469;1.543777e+00;1.381371e+00;5.707843e-01
738636012346198;5.998690e-02;1.597740e+00;-4.373868e-01
738636216328594;4.963886e-01;2.704749e+00;3.508730e-01
738636417570261;-2.577848e-02;1.698166e+00;2.742706e-01
738636620547917;-2.412671e+00;6.191343e-01;4.183125e-01
738636822431354;-7.192323e-01;1.394444e+00;9.099365e-01
738637025615313;5.864299e-02;1.079971e+00;2.696280e-01
738637227290990;-1.808158e-02;1.879959e+00;4.918607e-01
738637430918906;4.913796e-01;1.298660e+00;4.122039e-01
738637632844948;-2.874729e-01;6.766777e-01;4.820868e-01
738637836495156;-1.524718e+00;-6.928809e-01;1.601611e-01
738638037994636;1.630398e+00;3.366705e-01;1.959578e-01
738638240783542;1.014035e-01;2.686201e-01;-1.153389e-01
738638442882500;4.386009e-01;9.256891e-02;8.587993e-02
738638645825573;-9.129984e-01;-5.738845e-01;9.644020e-03
738638847764948;-9.683429e-01;-4.672275e-01;-1.934074e-01
738639051177917;1.571877e+00;7.843121e-01;1.889939e-01
738639253344375;-6.174621e-01;3.071046e-01;-4.554683e-01
738639456661563;3.946186e-01;1.193475e-02;2.103742e-01
738639658418490;-1.533148e+00;-1.028246e+00;2.663294e-01
738639861018021;5.302306e-01;1.025726e+00;1.839848e-01
738640063333177;9.369444e-01;2.870682e-01;1.160567e-01
738640266035156;1.545488e-01;2.714301e-01;-7.673223e-02
738640468239323;-3.693288e-01;1.928729e-01;3.195968e-01
738640671437136;-1.272553e+00;-4.591641e-01;-4.936551e-02
738640873845209;1.447016e+00;1.004956e+00;1.670028e-01
738641076828229;9.004144e-02;8.896252e-01;-1.921857e-01
738641278843334;1.292590e-01;1.350584e+00;-4.161536e-03
738641481252552;-6.506931e-01;4.764363e-01;6.503189e-01
738641683783281;-1.578597e+00;1.691713e-01;3.972988e-01
738641886243750;4.535060e-01;1.485707e+00;6.586267e-01
738642088713229;4.515512e-01;2.267614e+00;2.271652e-02
738642291695521;5.893623e-01;2.959723e+00;2.285779e-01
738642494345052;4.111119e-01;1.583934e+00;4.701138e-01
738642696994531;-2.746570e+00;3.276297e-01;1.568624e-01
738642899269011;-1.437120e+00;5.898128e-01;3.298593e-01
738643101487344;1.064493e+00;7.449724e-01;2.046320e-01
738643304233959;4.153881e-02;4.917079e-01;2.476369e-01
738643506452292;4.386009e-01;4.391736e-01;-1.306105e-01
738643709186406;-4.354244e-01;5.469529e-02;5.707843e-01
738643911953073;-1.292712e+00;-2.563570e-01;3.896554e-02
738644114844167;1.660697e+00;3.437564e-01;8.380301e-02
738644317160209;9.456180e-02;1.848095e-01;-5.180897e-02
738644519694479;8.820886e-02;5.750528e-02;-8.149700e-02
738644721722552;-1.111041e+00;-6.423013e-01;3.326693e-01
738644924685469;-5.192351e-01;1.019762e-01;-2.359236e-01
738645126661459;1.504560e+00;5.117443e-01;3.236818e-02
738645329660938;-3.606546e-01;-6.979894e-02;-2.015930e-01
738645532211771;-1.392771e-02;1.517006e-01;2.813567e-01
738645735344636;-1.617203e+00;-9.146249e-01;1.221653e-01
738645937325781;8.254004e-01;7.910317e-01;-2.592586e-01
738646140118594;9.122654e-01;2.179184e-01;2.040212e-01
738646341956875;-1.883907e-01;6.574966e-01;-9.725731e-02
738646545136406;-1.500284e-01;1.292208e-01;3.822715e-01
738646746870677;-1.463143e+00;-5.573911e-01;2.955821e-02
738646950135677;6.817250e-01;9.872413e-01;2.784780e-02
738647152471198;7.105578e-01;1.230976e+00;2.732932e-01
738647355845834;2.642601e-01;2.465900e+00;-8.039745e-02
738647557491979;3.331656e-01;2.337863e+00;3.451310e-01
738647760543750;-8.899078e-01;1.170378e+00;1.509981e-01
738647962190781;-2.129474e+00;2.527376e-01;5.578340e-01
738648165586719;1.232725e-01;9.669606e-01;4.965033e-01
738648367079896;-1.109331e-01;9.270101e-01;4.810551e-04
738648570610417;1.881462e-02;2.260406e+00;3.865475e-01
738648772729792;8.723149e-02;9.344627e-01;4.458014e-01
738648976345990;-6.086656e-01;9.631732e-01;8.218498e-01
738649177658802;-1.285259e+00;-8.590363e-01;-6.537016e-02
738649380970417;1.566135e+00;8.953673e-01;-5.261063e-03
738649582426042;-4.780627e-01;-1.017852e-02;-3.238347e-02
738649786038229;5.446469e-01;-1.823202e-01;6.975311e-02
738649987288490;-1.009881e+00;-1.872071e-01;2.750037e-01
738650191084584;-6.368875e-01;-3.639914e-01;-3.069061e-01
738650392987709;1.641882e+00;4.050874e-01;-6.573667e-02
738650596845625;-4.659676e-01;2.384434e-01;-8.088613e-02
738650797825313;3.953516e-01;3.369148e-01;1.767766e-01
738651000997031;-1.026497e+00;-5.355222e-01;3.039587e-01
738651202662136;-3.701841e-01;9.489023e-02;-2.240728e-01
738651406091146;1.347690e+00;7.238365e-01;2.791575e-01
738651607497917;-8.454367e-02;3.526751e-01;-1.664072e-01
738651811343542;4.764756e-03;1.332525e-01;1.181336e-01
738652013025990;-1.299187e+00;-8.239726e-01;1.357265e-01
738652217012136;-1.942553e-02;5.828489e-01;-4.289034e-02
738652418250000;1.358563e+00;1.091210e+00;2.807458e-01
738652621231250;-2.439793e-01;9.362952e-01;-6.280452e-02
738652823113646;2.190561e-01;7.988507e-01;1.448895e-01
738653026300573;-5.501448e-01;-8.116101e-02;4.131812e-01
738653227973750;-1.455935e+00;3.234758e-01;4.202673e-01
738653431603542;2.525315e-01;1.678862e+00;9.495203e-01
738653633527709;1.032362e-01;1.843674e+00;9.357683e-02
738653837179584;7.066482e-01;3.525629e+00;2.999269e-01
738654038676250;4.262614e-01;1.759741e+00;6.015719e-01
738654241466823;-1.788367e+00;4.794906e-01;2.344957e-02
738654443564636;-1.700647e+00;8.067921e-01;1.736001e-01
738654646509584;9.827591e-01;6.353833e-01;3.217959e-01
738654848448542;-1.637117e-01;4.130286e-01;-1.683620e-01
738655051862656;1.489288e-01;-2.809137e-01;2.870988e-01
738655254028906;-1.182268e+00;-7.675287e-01;1.276631e-01
738655457346719;7.745771e-02;3.806527e-01;-8.797216e-02
738655659103021;1.361373e+00;3.667250e-01;1.931478e-01
738655861702865;-2.171013e-01;3.651367e-01;-1.721493e-01
738656064016667;-1.087339e-02;-2.171395e-01;2.907639e-01
738656266719271;-1.636506e+00;-1.047305e+00;3.603336e-02
738656468922813;6.789150e-01;8.399009e-01;-2.824715e-01
738656672121146;1.124113e+00;2.526155e-01;1.355356e-02
738656874529219;-2.620610e-01;1.067410e-01;-2.476522e-01
738657077513386;-2.822195e-02;7.167731e-02;3.225290e-01
738657279529219;-1.617081e+00;-1.112056e+00;8.258126e-02
738657481938646;9.707863e-01;9.242001e-01;-8.015309e-02
738657684469167;7.268068e-01;5.698986e-01;5.203803e-02
738657886929636;1.795944e-02;3.876166e-01;-4.655553e-02
738658089398594;-2.564410e-01;2.136423e-01;2.735375e-01
738658292381146;-1.677068e+00;-6.142016e-01;1.081154e-01
738658495001719;7.159334e-01;1.342887e+00;4.748785e-01
738658697870448;6.020682e-01;1.909769e+00;6.107882e-02
738658900627949;1.883907e-01;2.622771e+00;-1.589014e-02
738659103075449;2.387259e-01;2.572313e+00;6.026715e-01
738659305518313;-1.901622e+00;2.934212e-01;-8.418480e-02
738659507665344;-1.538157e+00;4.561556e-01;5.202047e-01
738659710544823;4.646237e-01;1.509409e+00;3.089677e-01
738659912628209;-2.211331e-01;1.861878e+00;2.492252e-01
738660115552584;3.635867e-01;1.708184e+00;2.866101e-01
738660318262115;-7.728661e-01;-5.780316e-03;5.808025e-01
738660521219979;-1.559538e+00;-8.856699e-01;1.751884e-01
738660723375188;1.513967e+00;7.675744e-01;6.345359e-03
738660926250292;2.627940e-01;1.988593e-01;-1.182711e-01
738661128294719;1.070235e-01;9.220240e-02;7.903825e-02
738661331036073;-8.436042e-01;-2.530583e-01;4.592404e-01
738661532931073;-8.343188e-01;-2.778594e-01;-2.022039e-01
738661736063625;1.768576e+00;2.627558e-01;-7.648791e-02
738661938586646;-4.908909e-01;1.934838e-01;-1.855883e-01
738662141764771;3.685958e-01;1.901851e-01;3.627238e-01
738662343608313;-1.717507e+00;-9.553084e-01;1.154458e-01
738662546491125;3.696953e-01;6.476005e-01;-3.183903e-01
738662748313834;1.237612e+00;2.726518e-01;1.596724e-01
738662951556125;-1.756847e-01;1.917733e-01;-2.188194e-01
738663153207636;-2.894277e-01;2.292804e-01;2.889314e-01
738663356600031;-1.956111e+00;-8.820046e-01;7.134135e-02
738663558889615;1.158200e+00;1.408494e+00;3.924119e-01
738663762332219;6.533809e-01;9.444809e-01;2.896644e-01
738663963819354;6.780600e-02;1.334212e+00;-1.526016e-01
738664166977427;3.015229e-01;1.075817e+00;6.081693e-01
738664368590188;-1.416229e+00;-1.382092e-03;2.067090e-01
738664572063521;-8.589980e-01;9.026977e-01;5.228925e-01
738664773454042;2.687805e-01;2.078124e+00;5.739608e-01
738664977124667;4.073246e-01;2.704871e+00;3.171534e-01
738665179171021;5.105608e-01;2.521734e+00;3.012708e-01
738665382885240;-2.258978e-01;8.585932e-01;2.567999e-01
738665584008156;-2.670212e+00;-8.629226e-02;9.638680e-02
738665787051438;3.211927e-01;4.930518e-01;3.667555e-01
738665988845709;3.627315e-01;1.998367e-01;-7.428879e-02
738666192158781;2.414137e-01;3.343492e-01;6.914224e-02
738666393682740;-7.722552e-01;1.090623e-01;4.005975e-01
738666597443209;-1.156489e+00;-5.445631e-01;-3.714821e-02
738666799201646;1.810603e+00;4.260018e-02;-1.589012e-02
738667003111959;-4.072024e-01;2.948873e-01;-6.940188e-02
738667204426594;5.299862e-01;-6.026945e-02;2.008447e-01
738667407339563;-1.504804e+00;-5.578799e-01;1.158123e-01
738667609290188;4.610807e-01;6.936598e-01;-4.476493e-01
738667812415656;1.187032e+00;-2.662530e-01;5.240455e-02
738668014151698;-1.606575e-01;8.914807e-02;-7.355576e-02
738668217738365;-9.724966e-02;4.070421e-01;2.708498e-01
738668419700552;-1.511279e+00;-9.189010e-01;-1.218141e-01
738668623314823;8.974825e-01;6.187679e-01;-5.437460e-02
738668824851386;4.955335e-01;6.408811e-01;-4.398990e-02
738669027607896;-5.277873e-02;5.540161e-01;4.140899e-02
738669229740500;-5.849641e-01;5.779620e-01;4.067061e-01
738669432654823;-1.707611e+00;-3.066922e-01;2.479347e-02
738669634624927;1.351477e+00;1.188338e+00;6.069475e-01
738669838019094;3.446499e-01;1.447345e+00;-8.479567e-02
738670040201854;1.952324e-01;2.940542e+00;2.741485e-01
738670243503469;2.494772e-01;2.181726e+00;3.596695e-01
738670445278781;-2.249815e+00;-2.618318e-02;1.794644e-01
738670647863990;-1.317757e+00;7.301895e-01;7.481794e-01
738670850194615;4.651124e-01;1.236108e+00;2.069533e-01
738671052883573;1.047022e-01;2.498643e+00;2.659629e-01
738671255101229;1.576030e-02;1.406539e+00;2.505691e-01
738671458292375;-5.364615e-01;4.218250e-01;5.061549e-01
738671660706177;-1.489532e+00;-1.277967e+00;2.111072e-01
738671863684615;1.133887e+00;7.982398e-01;6.120101e-02
738672065706698;2.945590e-01;-3.154887e-01;7.253988e-04
738672268111594;7.855721e-02;5.386223e-01;9.565377e-02
738672470648781;-4.520399e-01;-1.668043e-01;4.018192e-01
738672673105031;-9.457407e-01;-3.134118e-01;-4.541245e-01
738672875579615;1.574809e+00;5.222511e-01;2.095190e-01
738673078561386;-2.962694e-01;9.818885e-02;-2.252945e-01
738673281211177;2.757443e-01;6.019308e-02;2.071977e-01
738673483860656;-1.139385e+00;-5.455404e-01;6.840920e-02
738673686136438;-1.660331e-01;2.689867e-01;-4.076988e-01
738673888355292;1.303463e+00;5.177307e-01;3.663891e-01
738674091102948;-3.314552e-01;4.449157e-01;-2.780733e-01
738674293322063;1.180191e-01;2.105880e-01;3.657782e-01
738674496057740;-1.440908e+00;-8.760182e-01;6.840921e-02
738674698826594;1.196073e-01;7.477823e-01;1.074359e-02
738674901715604;1.228693e+00;1.256144e+00;3.649229e-01
738675104033625;-5.488009e-01;9.452139e-01;-1.098411e-01
738675306566334;1.886350e-01;6.315958e-01;6.137892e-01
738675508596386;-1.139629e+00;-4.049193e-01;6.107882e-02
738675711557948;-2.586401e-01;8.127784e-01;7.561207e-01
738675913536646;1.996306e-01;2.149228e+00;6.302826e-01
738676116534979;3.147175e-01;1.750945e+00;-2.517526e-02
738676319088990;2.255313e-01;3.374501e+00;2.012112e-01
738676522218886;4.559494e-01;2.293637e+00;5.931420e-01
738676724204250;-1.905043e+00;6.551753e-01;-3.864407e-01
738676926995500;-2.100031e+00;1.088179e-01;-4.997637e-02
738677128836281;1.024176e+00;4.484588e-01;2.960174e-01
738677332013677;-4.532615e-02;2.202396e-01;8.074868e-02
738677533750240;2.326173e-01;7.421625e-01;1.970573e-01
738677737013313;-5.629730e-01;-3.600818e-01;4.041405e-01
738677939351542;-9.589356e-01;-7.250125e-01;-3.341506e-01
738678142723000;1.731191e+00;4.683729e-01;5.497018e-02
738678344373521;-1.886350e-01;2.956204e-01;-1.320231e-02
738678547423313;1.863137e-01;1.664835e-01;1.292513e-01
738678749074511;-1.188254e+00;-9.363716e-01;7.322729e-03
738678952468365;-3.502698e-01;5.469526e-02;-4.487489e-01
738679153963209;1.474994e+00;4.089968e-01;1.549076e-01
738679357491854;-6.379871e-01;5.117443e-01;-3.885864e-02
738679559614198;5.170358e-01;3.564625e-01;3.175198e-01
738679763227531;-7.684678e-01;-3.495750e-01;2.027994e-01
738679964543261;-7.200873e-01;-4.222679e-01;-3.728795e-01
738680167852427;1.375790e+00;6.153469e-01;3.922897e-01
738680369311959;-1.395215e-01;1.101473e+00;-4.386085e-01
738680572922271;6.179507e-01;1.939824e+00;1.893604e-01
738680774175552;-8.633962e-01;1.628283e+00;4.810398e-04
738680977969667;-2.369178e+00;1.018541e-01;1.099305e+00
738681179875917;2.240652e-01;1.599817e+00;8.065781e-01
738681383731281;3.087310e-01;1.618875e+00;5.435932e-02
738681584713052;7.441554e-01;3.148725e+00;2.533790e-01
738681787882688;5.246106e-01;2.036096e+00;5.340103e-01
738681989549354;-7.226530e-01;8.214526e-01;1.181336e-01
738682192976802;-2.622076e+00;1.398498e-01;-9.444734e-02
738682394386698;5.224115e-01;4.785132e-01;3.615021e-01
738682598231125;6.411636e-01;3.736888e-01;-1.000673e-01
738682799915292;1.343879e-03;1.308091e-01;9.479855e-02
738683003900761;-6.065887e-01;-3.117014e-01;4.484893e-01
738683205140865;-9.721300e-01;-7.266006e-01;-4.789256e-01
738683408121229;1.493564e+00;4.730155e-01;6.095666e-02
738683610003990;-5.601630e-01;6.164464e-01;-1.325653e-01
738683813190084;3.938856e-01;5.530617e-02;2.360305e-01
738684014864094;-1.364550e+00;-1.076382e+00;7.879394e-02
738684218493365;5.962044e-02;6.877955e-01;-2.034256e-01
738684420418625;1.252639e+00;7.318999e-01;2.351753e-01
738684624070396;-3.525911e-01;3.375257e-01;-7.294487e-02
738684825568209;1.698206e-02;-1.382062e-03;4.525209e-01
738685028358781;-1.640660e+00;-1.353837e+00;1.529529e-01
738685230458156;1.262413e+00;1.723822e+00;-1.012890e-01
738685433402792;6.137968e-01;2.595793e-01;-7.893138e-02
