#time;x;y;z
738062561361512;6.672835e-01;3.566009e+00;8.651174e+00
738062581512137;4.039326e-01;3.980189e+00;9.395738e+00
738062601662762;-9.822505e-01;4.212417e+00;7.195561e+00
738062621813387;-9.535214e-01;3.870061e+00;9.019864e+00
738062641964012;-1.322213e+00;3.779084e+00;1.012115e+01
738062662114637;-2.040442e+00;3.343358e+00;9.007894e+00
738062682265262;-1.382065e+00;2.981850e+00;7.133315e+00
738062702415887;-1.060104e-01;2.898056e+00;7.367937e+00
738062722566512;-4.986426e-01;3.259565e+00;7.463700e+00
738062742717137;-2.065626e-01;3.077614e+00;8.062225e+00
738062762765106;5.547608e-01;2.596400e+00;9.436438e+00
738062782941929;1.605770e+00;2.471906e+00;1.062870e+01
738062803350366;2.091772e+00;2.471906e+00;1.048266e+01
738062823758804;2.084590e+00;2.364172e+00;1.001102e+01
738062844167241;2.027132e+00;2.160674e+00;9.814706e+00
738062864575679;2.189930e+00;1.969146e+00;9.479531e+00
738062884984116;2.165989e+00;1.617213e+00;9.580084e+00
738062905392554;2.177960e+00;1.416109e+00;9.845828e+00
738062925800991;2.355123e+00;1.449626e+00;9.920046e+00
738062946209429;2.977589e+00;1.897323e+00;1.056166e+01
738062966474637;3.662301e+00;1.918870e+00;9.187451e+00
738062986596616;3.537808e+00;1.672277e+00;8.100531e+00
738063006718595;4.279978e+00;1.076147e+00;7.564253e+00
738063026840575;5.251982e+00;5.087457e-01;8.095742e+00
738063046962554;5.929513e+00;-4.668528e-02;8.620049e+00
738063067084533;6.537613e+00;2.992588e-02;8.639202e+00
738063087206512;7.274996e+00;3.148236e-01;6.786170e+00
738063107328491;8.766521e+00;3.363705e-01;6.020059e+00
738063127450470;1.087093e+01;1.351469e+00;6.802929e+00
738063147572450;1.007370e+01;2.292349e+00;1.129905e+01
738063167801356;7.483283e+00;7.912493e-01;9.546567e+00
738063188137137;6.346086e+00;1.145576e+00;5.792620e+00
738063208472918;5.493786e+00;1.289222e+00;1.200738e+00
738063228808700;6.252716e+00;1.942811e+00;1.945303e+00
738063249144481;5.606309e+00;2.538941e+00;5.917113e+00
738063269480262;5.694891e+00;2.141521e+00;6.362415e+00
738063289816043;7.116985e+00;1.011506e+00;5.598698e+00
738063310151825;7.282178e+00;-2.214545e-01;8.069407e+00
738063330487606;6.398756e+00;-1.112059e+00;1.290788e+01
738063350624012;1.026044e+01;1.382592e+00;5.021720e+00
738063370686616;8.733003e+00;2.190597e-01;3.391339e+00
738063390874741;9.489537e+00;5.590217e-01;4.222091e+00
738063411062866;9.508691e+00;8.702545e-01;6.096670e+00
738063431250991;1.021974e+01;4.560755e-01;7.269779e+00
738063451439116;9.714583e+00;-9.456724e-02;7.339208e+00
738063471627241;9.005929e+00;-2.358190e-01;6.769412e+00
738063491815366;7.871127e+00;4.656519e-01;5.921901e+00
738063512003491;5.103549e+00;-5.386758e-02;8.442886e+00
738063532191616;1.627317e+00;6.188742e-01;6.192434e+00
738063552379741;2.132472e+00;5.215544e+00;3.034618e+00
738063572655679;1.227503e+00;3.525310e+00;5.531663e+00
738063593019377;1.883486e+00;2.477889e-01;8.782848e+00
738063613383075;3.434862e+00;-6.859096e-01;6.953757e+00
738063633746772;7.965648e-01;-4.943817e-01;1.377933e+01
738063654110470;3.817917e+00;-2.573660e-01;1.093754e+01
738063674474168;4.689369e+00;-9.803838e-01;1.301083e+01
738063694837866;2.252177e+00;-2.340232e+00;1.588135e+01
738063715201564;2.984771e+00;-1.981117e+00;1.614917e+00
738063735565262;3.444438e+00;1.116847e+00;2.230201e+00
738063755861564;2.280906e+00;-3.812603e+00;2.565375e+00
738063776090522;2.132472e+00;-4.652931e+00;3.989863e+00
738063796319481;2.288088e+00;-5.864345e+00;8.758907e+00
738063816548439;-1.538924e-01;-6.388653e+00;7.631288e+00
738063836777397;-1.465858e+00;-6.513146e+00;9.314339e+00
738063857006356;-9.966151e-01;-6.692703e+00;9.431649e+00
738063877235314;-9.583095e-01;-8.291962e+00;9.673453e+00
738063897464272;-8.769103e-01;-8.011852e+00;8.184324e+00
738063917693231;2.889007e+00;-5.454954e+00;9.446013e+00
738063937922189;7.342031e+00;-3.884425e+00;1.023128e+01
738063958001720;1.292746e+01;-4.848054e-01;1.140199e+01
738063978163647;1.538141e+01;1.301192e+00;1.101415e+01
738063998557397;1.525213e+01;1.471173e+00;1.028874e+01
738064018951147;1.239837e+01;1.435262e+00;9.967928e+00
738064039344897;1.546042e+01;2.960303e+00;7.985614e+00
738064059738647;1.619541e+01;3.369694e+00;5.131848e+00
738064080132397;1.671493e+01;3.135072e+00;2.747326e+00
738064100526147;1.547718e+01;2.498242e+00;2.029097e+00
738064120919897;1.654734e+01;2.656252e+00;-8.648584e+00
738064141313647;1.484992e+01;1.033053e+00;-9.069945e+00
738064161578908;1.244625e+01;1.981116e+00;1.799263e+00
738064181715627;1.097388e+01;-3.363712e-01;1.353961e+00
738064201852345;8.187148e+00;-3.697686e+00;3.922829e+00
738064221989064;7.437794e+00;-2.670618e+00;2.689868e+00
738064242125783;6.858423e+00;-3.573193e+00;2.943642e+00
738064262262502;7.789727e+00;-3.417576e+00;1.368325e+00
738064282399220;8.845526e+00;-3.379271e+00;2.670715e+00
738064302535939;1.059322e+01;-3.774297e+00;4.058975e-01
738064322672658;9.587695e+00;-3.941884e+00;-4.224607e-01
738064342809377;1.222360e+01;-3.692898e+00;1.590976e+00
738064362856772;1.411015e+01;-5.028805e+00;1.253409e+00
738064383046304;1.184533e+01;-2.874116e+00;-6.666588e-01
738064403467189;1.258511e+01;-1.933235e+00;2.335224e-01
738064423888075;1.175196e+01;-3.010580e+00;1.550277e+00
738064444308960;1.079193e+01;-2.900451e+00;1.406631e+00
738064464729845;1.348050e+01;-1.428080e+00;2.675503e+00
738064485150731;1.085657e+01;9.301070e-01;-1.253213e+00
738064505571616;9.274069e+00;2.328261e+00;-5.349833e-01
738064525992502;1.029396e+01;2.309108e+00;4.564447e+00
738064546413387;9.336315e+00;4.078347e+00;1.346778e+00
738064566678595;5.436328e+00;5.150903e+00;1.969244e+00
738064586788179;7.844791e+00;3.434335e+00;1.461695e+00
738064606897762;8.405011e+00;1.724948e+00;1.492818e+00
738064627007345;8.790462e+00;-9.660192e-01;1.818416e+00
738064647116929;1.197222e+01;-7.047030e+00;-4.799190e-01
738064667226512;1.114625e+01;-4.423098e+00;-5.517420e-01
738064687336095;6.281445e+00;8.870133e-01;-1.308277e+00
738064707445679;3.750883e+00;3.812602e+00;1.337202e+00
738064727555262;6.204834e+00;-9.301077e-01;-1.399570e-01
