#time;x;y;z
686832511220836;-1.391641e+00;3.324206e+00;7.906609e+00
686832531627763;-1.599928e+00;3.065643e+00;7.257808e+00
686832552034690;-1.039709e+00;2.950726e+00;7.774933e+00
686832572441617;-3.837259e-01;2.910027e+00;8.833124e+00
686832592848544;2.566501e-02;2.907633e+00;9.936805e+00
686832613255471;3.584448e-01;2.876509e+00;1.057363e+01
686832633662398;1.409454e+00;2.637100e+00;1.019058e+01
686832654069325;1.639288e+00;2.412054e+00;9.936805e+00
686832674476252;1.718293e+00;2.447966e+00;9.333491e+00
686832694775263;1.636894e+00;1.413715e+00;9.297580e+00
686832714966409;2.738179e+00;1.473567e+00;8.308817e+00
686832735157554;3.142781e+00;1.167123e+00;8.325576e+00
686832755348700;3.559355e+00;5.278984e-01;8.857065e+00
686832775539846;3.937623e+00;5.183220e-01;9.709365e+00
686832795730992;2.280906e+00;9.396834e-01;1.038929e+01
686832815922138;4.052539e+00;1.856623e+00;1.037971e+01
686832836113284;4.595999e+00;1.255704e+00;9.967928e+00
686832856304429;5.678132e+00;7.888551e-01;8.112501e+00
686832876495575;6.683653e+00;6.308446e-01;7.317660e+00
686832896576357;7.119380e+00;1.927246e-01;7.497218e+00
686832916778023;7.516800e+00;3.004590e-01;7.195561e+00
686832937210888;8.831161e+00;6.045096e-01;6.898694e+00
686832957643752;8.361917e+00;2.096033e+00;5.933872e+00
686832978076617;4.574452e+00;1.777618e+00;5.218036e+00
686832998509482;5.192130e+00;1.284434e+00;5.071996e+00
686833018942346;5.587156e+00;1.547785e+00;3.932405e+00
686833039375211;7.155291e+00;9.971417e-01;4.528535e+00
686833059808075;1.025565e+01;6.332388e-01;1.684346e+00
686833080240940;9.633183e+00;1.143182e+00;6.652101e+00
686833100506669;4.904839e+00;1.684248e+00;6.556337e+00
686833120605315;5.709255e+00;8.965896e-01;5.847684e+00
686833140703961;6.616619e+00;5.853567e-01;4.832586e+00
686833160802607;7.188808e+00;2.358184e-01;3.848611e+00
686833180901252;7.605381e+00;-6.595746e-01;3.633142e+00
686833200999898;7.885491e+00;-1.107271e+00;3.958740e+00
686833221098544;8.488805e+00;-1.768042e+00;3.398521e+00
686833241197190;8.479228e+00;-2.443178e+00;2.826331e+00
686833261295836;7.823245e+00;-2.754411e+00;2.692262e+00
686833281394482;7.071497e+00;-3.415182e+00;2.989130e+00
