#time;x;y;z
686590470129723;-7.687733e-02;-1.517006e-01;-3.148244e-02
686590672548786;-1.394635e+00;1.304479e+00;-4.059425e-01
686590875572796;1.032942e+00;7.780355e-01;-2.551811e-01
686591078521651;5.943409e-01;-2.575245e+00;-1.451033e-01
686591281082953;-4.218937e-01;-1.140568e+00;1.587920e+00
686591483916182;5.111412e-01;-4.631195e-01;-2.782718e-01
686591686184828;-4.348441e-01;-3.420461e-01;-3.323944e-01
686591888441234;-2.089463e-01;-2.171830e+00;1.340764e+00
686592091171546;1.676427e+00;8.967876e-01;2.165286e-01
686592293495088;1.030132e+00;3.003171e+00;-2.534707e-01
686592496145088;2.677725e-01;5.479838e-01;-1.674609e-01
686592699102640;-5.041161e-01;-1.085102e+00;1.207451e-01
686592901757796;8.512399e-02;-2.649624e-03;-4.248793e-01
686593104416911;-2.478797e+00;-1.003124e+00;-5.215254e-03
686593306729932;-6.527087e-02;2.094693e+00;-4.886536e-01
686593508957119;1.328234e+00;2.708979e+00;6.240975e-01
686593711737588;3.413207e-01;-1.527734e+00;-4.959840e-01
686593913964411;-7.447969e-01;-2.970597e+00;3.515297e-01
686594116729776;-4.046673e-01;-4.314766e-01;3.581271e-01
686594319565401;7.812654e-01;3.917247e-01;3.167104e-01
686594522383994;8.566462e-01;1.627504e+00;-7.185831e-01
686594724787119;2.019213e-01;1.328669e+00;-1.972711e-01
686594927274098;-8.376482e-01;-1.414602e+00;1.506545e-02
686595129381911;-3.054476e+00;-4.342843e+00;8.494837e-02
686595332302536;-1.427377e+00;-6.739900e-01;6.752881e-01
686595534351651;-5.177995e-01;1.513028e+00;-4.461374e-01
686595737314046;1.084285e-02;-4.891423e-01;3.001950e+00
686595939968265;-2.543946e-01;-7.085649e-01;1.325493e+00
686596143003578;-3.837757e-01;8.328911e-01;8.901902e-01
686596345097640;1.805106e-02;9.223217e-01;6.662472e-01
686596547812432;9.938463e-01;-9.379064e-02;-2.726518e-01
686596749752171;2.297432e+00;7.269673e-01;-7.025785e-01
686596952861286;1.386388e+00;1.258664e+00;-2.521268e-01
686597154689307;-1.227502e+00;-1.128496e-01;-1.859091e-01
686597357891859;-2.014051e+00;-1.977331e+00;1.956370e-01
686597560335192;-1.144791e+00;-3.112585e-01;2.728504e-01
686597763613005;-9.274454e-01;-7.342213e-01;5.733958e-01
686597965372692;2.198716e+00;-4.654408e-01;-6.252430e-01
686598168342796;2.475438e+00;1.502888e+00;-8.293940e-01
686598370090921;-1.631161e+00;-6.587184e-01;2.958189e-01
686598573412796;-1.297751e+00;-2.160857e-01;5.152414e-01
686598775805921;-1.191461e+00;4.276434e-01;2.312885e-02
686598979159255;1.612377e-01;-1.184696e-01;3.462763e-01
686599180750869;2.518931e+00;6.735539e-02;-7.498595e-01
686599384252328;1.429026e+00;1.056468e+00;-5.499845e-01
686599585631026;-2.023581e+00;-9.122273e-01;9.802090e-02
686599788900505;-1.334281e+00;-3.929921e-01;6.688129e-01
686599990415817;-1.027016e+00;2.667417e-01;2.638096e-01
686600193990713;8.496823e-01;-4.314767e-01;1.366275e-01
686600395294255;2.595167e+00;1.876958e-01;-4.531012e-01
686600599056963;4.765662e-01;3.438328e-01;1.019304e-01
686600801015296;-1.984363e+00;-1.131161e+00;3.349142e-01
686601004833994;-1.377897e+00;-4.003456e-02;2.592892e-01
686601205867848;-8.948253e-01;-6.436988e-03;2.737056e-01
686601409005765;1.702205e+00;-1.018151e+00;-2.781496e-01
686601610721390;3.137493e+00;9.856073e-01;-3.625711e-01
686601814120244;1.987449e-01;4.299648e-01;1.461570e-01
686602015573890;-2.067319e+00;-9.443587e-01;-7.375427e-02
686602219399515;-2.279289e+00;-2.228396e+00;5.845135e-01
686602421114671;-1.439594e+00;-8.280500e-01;3.746204e-01
686602625084046;1.679856e-03;-9.498565e-01;-5.188535e-02
686602826354619;2.434388e+00;-1.284610e+00;-4.181598e-01
686603029321494;5.028333e-01;-1.125663e+00;5.378434e-01
686603231233109;-8.246979e-01;-1.056880e+00;6.014727e-02
686603434711026;-1.237154e+00;-2.119785e+00;7.335645e-01
686603636782015;-1.138438e+00;-1.641477e+00;1.665370e-02
686603840302744;-5.109885e-02;-6.522432e-01;3.730322e-01
686604041687067;2.228282e+00;-1.314421e+00;-5.901793e-01
686604245361338;2.360106e+00;5.791379e-01;-6.829086e-01
686604446851755;-1.395245e+00;-2.017915e-01;5.665541e-01
686604649662796;-1.918634e+00;-1.271416e+00;5.807261e-01
686604851754880;-1.081994e+00;8.788053e-02;1.088943e-01
686605055085192;-1.088866e-01;-5.542834e-02;3.387016e-01
686605257335140;2.198838e+00;-7.535246e-01;-7.526694e-01
686605460584046;2.168539e+00;1.117798e+00;-2.887786e-01
686605662263786;-2.253266e+00;-8.995212e-01;2.625878e-01
686605865613890;-1.393902e+00;-7.375424e-02;4.581867e-01
686606067352848;-9.355087e-01;5.019246e-01;5.330556e-02
686606269982380;1.030865e+00;-2.468733e-01;-1.106505e-01
686606472280765;2.454668e+00;1.371162e-01;-5.613465e-01
686606675442848;5.506030e-01;6.707677e-01;-1.264108e-01
686606877891338;-2.288330e+00;-1.079726e+00;7.297543e-02
686607080849776;-1.351508e+00;-5.994874e-02;2.227594e-01
686607282843578;-6.596422e-01;-1.613523e-01;2.754160e-01
686607485851911;3.429089e-01;-6.467455e-01;-1.894521e-01
686607687855244;1.855166e+00;-7.329995e-01;1.714239e-02
686607890288005;-4.682270e-02;-2.370995e-01;2.989954e-01
686608092808526;-7.528913e-02;-5.022147e-01;-1.895743e-01
686608295790557;-1.970191e+00;-2.017037e+00;3.092580e-01
686608498447223;-1.466473e+00;-1.754610e+00;4.445033e-01
686608701104776;4.124253e-01;-1.227433e+00;-2.582354e-01
686608903424463;2.681055e+00;-1.865421e+00;3.182987e-01
686609106081234;1.793713e+00;-1.914068e-01;1.094097e+00
