#time;x;y;z
738558360549657;-1.633446e+00;5.165268e+00;7.731840e+00
738558380932730;-1.621475e+00;5.268214e+00;7.770145e+00
738558401315803;-1.906373e+00;5.045563e+00;6.925028e+00
738558421698876;-2.023684e+00;4.885158e+00;6.541973e+00
738558442081949;-2.181694e+00;4.566743e+00;6.920240e+00
738558462465022;-7.619935e-01;4.617019e+00;7.782115e+00
738558482848094;8.971170e-01;4.248328e+00;8.679902e+00
738558503231167;1.785328e+00;3.798238e+00;9.082110e+00
738558523614240;1.883486e+00;3.587557e+00;9.431649e+00
738558543797469;2.663962e+00;3.793449e+00;8.280087e+00
738558563859449;3.461197e+00;3.269141e+00;8.184324e+00
738558583999917;4.354196e+00;2.811868e+00;7.920973e+00
738558604140386;5.268742e+00;2.938756e+00;7.798874e+00
738558624280855;5.589550e+00;2.969879e+00;7.549888e+00
738558644421324;5.002996e+00;2.854963e+00;7.135709e+00
738558664561792;4.026204e+00;2.634705e+00;7.492430e+00
738558684702261;4.993420e+00;2.730469e+00;8.078983e+00
738558704842730;5.350141e+00;2.675405e+00;1.043717e+01
738558724983199;5.455481e+00;2.416842e+00;9.738093e+00
738558745123667;7.073892e+00;2.340231e+00;7.533130e+00
738558765397053;8.021955e+00;2.572459e+00;7.542706e+00
738558785803355;7.404277e+00;2.598794e+00;7.236261e+00
738558806209657;3.999869e+00;2.562882e+00;7.808451e+00
738558826615959;5.814596e+00;2.826233e+00;8.452462e+00
738558847022261;4.744433e+00;3.412788e+00;6.343263e+00
738558867428563;5.498575e+00;3.182954e+00;4.957079e+00
738558887834865;5.907966e+00;2.740046e+00;4.351372e+00
738558908241167;8.294883e+00;2.191797e+00;5.079178e+00
738558928647469;9.357862e+00;1.904505e+00;5.498146e+00
738558948945647;9.659518e+00;2.689770e+00;6.082305e+00
738558969135751;1.079672e+01;2.268408e+00;4.432772e+00
738558989325855;1.212544e+01;2.091245e+00;3.879735e+00
738559009515959;1.250371e+01;1.753677e+00;4.145480e+00
738559029706063;1.179266e+01;1.681854e+00;4.729640e+00
738559049896167;1.163226e+01;2.000269e+00;4.518959e+00
738559070086272;1.196025e+01;1.574120e+00;4.085628e+00
738559090276376;1.101458e+01;1.011506e+00;3.860582e+00
738559110466480;1.001145e+01;1.131211e+00;4.040140e+00
738559130656584;8.297276e+00;1.317951e+00;4.375313e+00
738559150736532;6.611830e+00;1.119241e+00;5.151001e+00
738559170937522;5.819384e+00;1.217399e+00;5.038478e+00
738559191369709;5.362111e+00;1.179093e+00;4.710487e+00
738559211801897;5.702073e+00;9.684126e-01;3.951558e+00
738559232234084;7.765787e+00;1.255704e+00;3.180658e+00
738559252666272;4.287161e+00;9.779890e-01;-1.236454e+00
738559273098459;-6.814275e+00;-8.965904e-01;1.374582e+01
738559293530647;2.805911e-02;-1.246129e+00;1.709516e+01
738559313962834;7.519194e+00;-1.875777e+00;1.516791e+01
738559334395022;7.425825e+00;-2.816658e+00;4.729640e+00
738559354659917;6.262292e+00;1.926052e+00;5.771073e+00
738559374757469;7.100227e+00;-1.556200e-02;8.679902e+00
738559394855022;6.051611e+00;-2.321079e+00;7.243443e+00
738559414952574;4.030993e+00;-3.709656e+00;8.129259e+00
738559435050126;1.201167e+00;-5.409467e+00;7.497218e+00
738559455147678;-1.834550e+00;-6.649610e+00;2.799996e+00
