#time;x;y;z
738558447267313;-6.728064e-01;-1.327936e+00;1.362152e-01
738558648514969;-1.402301e+00;-3.224793e+00;-7.420861e-01
738558852312157;-3.302335e-01;-1.886389e+00;-4.289034e-02
738559054213199;-7.220420e-02;1.722967e+00;-8.155120e-01
738559258072678;-1.528872e+00;2.174518e+00;-9.464815e-01
738559459048199;2.871063e-02;-4.484274e+00;-7.101989e-01
738559662221480;2.302838e+00;-3.403654e+00;2.747295e+00
738559863883980;3.313331e-01;-1.972887e+00;-1.624541e+00
738560067314032;1.480247e+00;4.041100e-01;-1.318742e+00
738560268720282;-1.025031e-01;5.083234e-01;-4.161286e-01
738560472566688;-4.969995e-01;5.529165e-01;-5.793517e-01
738560674247834;-1.059484e+00;-4.133262e-02;2.809848e+00
738560878234761;-4.118450e-01;-1.492113e-01;2.689141e+00
738561079471272;4.276052e-03;1.059086e-02;4.167243e-01
738561282452626;5.100721e-01;-8.981315e-01;1.554643e+00
738561484331792;-1.466077e-02;-2.739499e-01;1.089409e+00
738561687519032;3.298669e-02;4.256124e-01;6.312599e-01
738561889190855;-3.530798e-01;7.678187e-01;-3.755673e-01
738562092820855;1.569922e-01;-1.709581e-01;4.533761e-01
738562294744292;7.991331e-01;6.446913e-02;-6.341539e-02
738562498396584;-1.259603e+00;-9.484439e-02;-1.176602e-01
738562699893355;-2.717004e+00;-1.370574e+00;-6.636511e-01
738562902684032;-5.447692e-01;-1.071984e+00;-3.708025e-01
738563104780699;2.190317e+00;1.125908e+00;-7.013490e-02
738563307725542;1.620746e+00;4.854771e-01;4.629590e-02
738563509662417;2.463007e-01;-1.518763e-02;1.408578e-01
738563713076219;-2.724457e+00;-8.204295e-01;-4.014679e-01
738563915241844;-1.406455e+00;-1.298492e+00;-7.551052e-02
738564118559553;1.812191e+00;1.006545e+00;-1.445382e-01
738564320314761;1.677557e+00;9.204129e-01;1.246087e-01
738564522914761;8.111061e-01;1.714926e-01;1.219210e-01
738564725228928;-2.320553e+00;-2.893437e-01;-2.658560e-01
738564927931376;-1.840780e+00;-1.329158e+00;-5.571850e-02
738565130134553;1.502239e+00;6.620170e-01;-2.689103e-01
738565333332678;1.726670e+00;5.741746e-01;1.837405e-01
738565535740282;7.902147e-01;9.770016e-02;-4.020254e-02
738565738723303;-1.018556e+00;-4.214126e-01;-5.816197e-02
738565940737886;-2.464839e+00;-1.656093e+00;-5.222970e-01
738566143146897;-1.737299e-01;-4.591641e-01;-2.119777e-01
738566345676792;2.052506e+00;1.409838e+00;2.542343e-01
738566548137469;1.322766e+00;-3.511632e-01;-3.910299e-02
738566750606740;8.363960e-01;-3.307603e-01;3.513618e-01
738566953588772;-1.968450e+00;-1.969222e+00;-3.124039e-01
738567156237834;-1.228693e+00;-1.499833e+00;-7.766610e-01
738567358887053;6.886889e-01;-8.380224e-01;-4.443507e-01
738567561161532;5.330405e-01;-3.576384e-01;-5.168678e-02
738567763379605;1.308106e+00;-1.240949e+00;-6.427062e-02
738567966125699;-2.905272e-01;-5.074224e-01;1.513646e-01
738568168343772;-2.708452e+00;-2.828830e+00;-1.514708e+00
738568371077886;-1.471451e+00;-3.041167e+00;-1.516785e+00
738568573844344;1.211589e+00;5.614687e-01;-1.024550e+00
738568776735386;1.752693e+00;6.359941e-01;1.523420e-01
738568979050699;9.607680e-01;5.249620e-02;-7.990873e-02
738569181584657;-9.209396e-01;-1.979584e-01;6.608791e-02
738569383612626;-2.631116e+00;-1.552245e+00;-1.479591e-01
738569586575647;2.102596e-01;-3.747426e-01;-1.100855e-01
738569788551219;1.991541e+00;1.497680e+00;1.242422e-01
738569991550282;1.095158e+00;2.617784e-01;-5.559633e-02
738570194100751;-2.315178e-01;-2.243477e-01;2.078085e-01
738570397233459;-2.470703e+00;-1.251578e+00;-6.017094e-01
738570599214240;-8.806228e-01;-9.661819e-01;-2.321362e-01
738570802007261;2.005225e+00;1.269217e+00;9.687551e-02
738571003844969;1.366871e+00;3.078376e-01;-2.297615e-02
738571207024553;8.269887e-01;1.617188e-01;1.224097e-01
738571408758615;-2.556591e+00;-1.111446e+00;-3.627391e-01
738571612023459;-2.089157e+00;-1.561164e+00;-2.356793e-01
738571814358147;1.113362e+00;6.715693e-02;-4.945637e-01
738572017732626;1.780793e+00;1.563775e+00;4.272312e-01
738572219378772;1.313237e+00;-4.284987e-01;1.772653e-01
738572422430959;3.859443e-01;-3.062036e-01;4.203894e-01
738572624077261;-2.196547e+00;-2.643494e+00;-7.479504e-01
738572827472990;-7.367029e-01;-2.550154e+00;-1.516663e+00
738573028965334;5.558869e-01;-1.315719e+00;-4.955411e-01
738573232495647;3.789805e-01;-5.164632e-01;-2.833267e-01
738573434615022;1.377011e+00;-1.044495e+00;-2.635346e-01
738573638231272;-4.279718e-01;-4.200688e-01;1.583285e-01
738573839543615;-2.177732e+00;-2.018457e+00;-1.234199e+00
738574042855178;-1.315436e+00;-1.865619e+00;-7.925435e-01
738574244310334;1.521786e+00;3.455891e-01;-4.259025e-01
738574447922469;1.850553e+00;7.308004e-01;1.618715e-01
738574649172261;8.492240e-01;1.216461e-01;2.821431e-02
738574852967834;-1.943161e+00;-6.407131e-01;-3.097160e-01
738575054871480;-1.873278e+00;-1.730496e+00;-3.210782e-01
738575258729344;1.160154e+00;3.647703e-01;-3.876624e-01
738575459707990;1.683543e+00;8.818061e-01;2.345644e-01
738575662879709;9.652883e-01;3.914039e-01;-5.016726e-03
738575864544292;-4.676780e-01;-4.854085e-02;2.385961e-01
738576067973303;-2.770393e+00;-8.655113e-01;-5.927908e-01
738576269379553;-5.265655e-01;-1.002589e+00;-2.327471e-01
738576473224761;1.937052e+00;1.306724e+00;1.690797e-01
738576674907626;1.380432e+00;5.457084e-01;1.078711e-01
738576878893719;5.605294e-01;2.180405e-01;8.160389e-02
738577080131115;-2.438572e+00;-7.076639e-01;-2.565708e-01
738577283112313;-1.515189e+00;-1.772035e+00;-2.690324e-01
738577484994240;1.335839e+00;1.113080e+00;-2.617021e-01
738577688181063;1.732046e+00;1.009110e+00;3.031034e-01
738577889853251;8.958941e-01;6.764565e-02;7.444913e-03
738578093482730;-6.206385e-01;-1.253876e-01;3.326693e-01
738578295407313;-1.739132e+00;-2.042647e+00;-9.214360e-01
738578499059084;5.119046e-02;-1.433982e+00;-8.918701e-01
738578700555334;3.747044e-01;-3.387016e-01;-1.725158e-01
738578903345803;1.042624e+00;-1.430805e+00;-1.073977e-01
738579105443199;1.257038e+00;-9.489555e-01;2.174602e-01
738579308388042;-1.565768e+00;-1.608567e+00;-4.805138e-01
738579510326480;-2.046152e+00;-3.093579e+00;-1.975422e+00
738579713740230;-3.595550e-01;-2.202938e+00;-1.280869e+00
738579915906480;1.698570e+00;1.365977e+00;-2.321362e-01
738580119224136;1.426369e+00;-1.985692e-01;-7.819833e-02
738580320980074;3.916865e-01;-9.545525e-02;7.317396e-02
738580523579605;-2.240163e+00;-1.039608e+00;-5.578493e-01
738580725892678;-1.284038e+00;-1.495191e+00;-2.156429e-01
738580928595282;1.439197e+00;7.768596e-01;-2.812497e-01
738581130798667;1.532171e+00;8.350139e-01;2.642525e-01
738581333996688;7.099469e-01;5.057579e-01;1.123227e-02
738581536404553;-1.177625e+00;-3.911138e-01;-1.245019e-01
738581739388407;-2.246394e+00;-1.664644e+00;-5.288943e-01
